linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,46.16839,16.805847,Koprivničko-križevačka,Koprivnica,Abarth,Grande Punto,2.500 €,2007. godište,Benzin,70 kW,hatchback,3,219000 km,https://www.njuskalo.hr/auti/abarth-grande-punto-1.4-oglas-42241789
2,45.336184408249,17.66321657643,Požeško-slavonska,Požega,Abarth,500,25.800 €,2016. godište,Benzin,132 kW,hatchback,3,58192 km,https://www.njuskalo.hr/auti/abarth-500-595-competizione-automatik-oglas-41875553
3,45.813492668751,16.248338842714,Zagrebačka,Dugo Selo,Abarth,500,16.000 €,2015. godište,Benzin,118 kW,coupe,2,111000 km,https://www.njuskalo.hr/auti/abarth-500-595-competizione-oglas-42072438
4,45.821575,15.978941,Grad Zagreb,Gornji Grad - Medveščak,Abarth,500,26.000 €,2016. godište,Benzin,138 kW,coupe,3,58000 km,https://www.njuskalo.hr/auti/abarth-595-competizione-by-tag-heuer-limited-edition-oglas-41011581
5,45.361542407892,14.357803941745,Primorsko-goranska,Kastav,Abarth,500,17.900 €,2017. godište,Benzin,,hatchback,2,65000 km,https://www.njuskalo.hr/auti/abarth-595-1.4-t-jet-record-monza-ispuh-alu-17-led-top-stanje-oglas-41269691
6,45.798220273284,15.770758444443,Zagrebačka,Sveta Nedelja,Abarth,500,12.900 €,2011. godište,Benzin,,limuzina,3,102357 km,https://www.njuskalo.hr/auti/abarth-500-esesse-oglas-41988745
7,45.878563616324,16.008458233657,Grad Zagreb,Podsljeme,Abarth,500,15.600 €,2015. godište,Benzin,103 kW,coupe,5,91000 km,https://www.njuskalo.hr/auti/abarth-500-automatic-f1-top-stanje-oglas-41751155
8,45.631830337078,18.628908552039,Osječko-baranjska,Darda,Abarth,500,19.999 €,2016. godište,Benzin,132 kW,coupe,3,71745 km,https://www.njuskalo.hr/auti/abarth-595-competizione-1.4-turbo-180ks-pano-brembo-rekord-monza-oglas-40769025
9,45.900845,16.849802,Bjelovarsko-bilogorska,Bjelovar,Abarth,500,20.500 €,2018. godište,Benzin,125 kW,coupe,3,102000 km,https://www.njuskalo.hr/auti/abarth-595-tirismo-oglas-39207384
10,46.013437,15.8837746,Krapinsko-zagorska,Zabok,Abarth,500,36.515 €,2023. godište,Benzin,132 kW,hatchback,3,,https://www.njuskalo.hr/novi-auti/abarth-695-kit-competizione-isporuka-odmah-oglas-39935599
