linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.771672637113,15.944290689987,Grad Zagreb,Novi Zagreb - Zapad,Alfa Romeo,Stelvio,28.100 €,2018. godište,Diesel,132 kW,terensko vozilo / SUV / pick up,5,100000 km,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-diesel-q4-navi-alu-felge-xenon-jamstvo-oglas-42028733
2,45.839785881959,15.827394884092,Grad Zagreb,Podsused - Vrapče,Alfa Romeo,MiTo,7.199 €,2013. godište,Diesel,62 kW,hatchback,3,138000 km,https://www.njuskalo.hr/auti/alfa-romeo-mito-1.3-jtdm-koza-d-n-a-tempomat-mfu-pdc-rnt-oglas-38355617
3,51.060983862919,10.610041652638,Njemačka,,Alfa Romeo,Giulia,34.900 €,2018. godište,Diesel,154 kW,limuzina,4,64000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulia-2.2-jtd-navi-automatik-bixenon-garancija-oglas-38553918
4,45.846732346093,16.053081051204,Grad Zagreb,Gornja Dubrava,Alfa Romeo,Giulietta,11.400 €,2014. godište,Diesel,110 kW,hatchback,5,160629 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-2.0-jtdm2-redizajn-sportiva-top-stanje-akcija-oglas-42261952
5,45.715824128673,15.885804313848,Grad Zagreb,Brezovica,Alfa Romeo,Giulia,17.250 €,2017. godište,Diesel,110 kW,limuzina,5,121000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulia-2.2-jtd-oglas-41754006
6,,,Istarska,,Alfa Romeo,Giulia,23.900 €,2018. godište,Diesel,100 kW,limuzina,4,114722 km,https://www.njuskalo.hr/auti/alfa-romeo-giulia-2.2-jtdm-automatic-oglas-42275037
7,45.836238580215,16.036993345405,Grad Zagreb,Gornja Dubrava,Alfa Romeo,Giulietta,8.350 €,2010. godište,Diesel,77 kW,limuzina,5,149000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-1.6-oglas-42233247
8,45.54461,18.642807,Osječko-baranjska,Osijek,Alfa Romeo,Stelvio,19.990 €,2017. godište,Diesel,154 kW,terensko vozilo / SUV / pick up,5,263000 km,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-diesel-automatik-oglas-42164563
9,45.892963660526,16.204341422843,Zagrebačka,Sveti Ivan Zelina,Alfa Romeo,166,4.550 €,2006. godište,Diesel,136 kW,limuzina,4,265000 km,https://www.njuskalo.hr/auti/alfa-romeo-166-2.4-jtd-m-jet-oglas-41274586
10,45.892963660526,16.204341422843,Zagrebačka,Sveti Ivan Zelina,Alfa Romeo,159 SW,3.550 €,2007. godište,Diesel,110 kW,karavan,5,260000 km,https://www.njuskalo.hr/auti/alfa-romeo-159-sw-1.9-jtdm-oglas-41718042
