linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.82477,16.150068,Grad Zagreb,Sesvete,Audi,A3,21.900 €,2019. godište,Diesel,85 kW,hatchback,5,71000 km,https://www.njuskalo.hr/auti/audi-a3-30-tdi-automatik-koza-xenon-led-navigacija-garancija-oglas-40929335
2,45.82606,16.113707,Grad Zagreb,Sesvete,Audi,A4,15.800 €,2014. godište,Diesel,130 kW,limuzina,4,204893 km,https://www.njuskalo.hr/auti/audi-a4-2.0-tdi-automatik-registriran-navi-xenon-top-stanje-oglas-40282577
3,45.82606,16.113707,Grad Zagreb,Sesvete,Audi,A3,14.500 €,2014. godište,Diesel,110 kW,limuzina,5,184000 km,https://www.njuskalo.hr/auti/audi-a3-2.0-tdi-line-kamera-navi-grijanje-sjedala-oglas-41912506
4,45.826302625732,16.115028558874,Grad Zagreb,Sesvete,Audi,A6,39.800 €,2020. godište,Diesel,150 kW,limuzina,4,123608 km,https://www.njuskalo.hr/auti/audi-a6-40-tdi-automatik-registiriran-odlicno-stanje-oglas-41619740
5,45.82606,16.113707,Grad Zagreb,Sesvete,Audi,Q5,33.900 €,2017. godište,Diesel,140 kW,terensko vozilo / SUV / pick up,5,115000 km,https://www.njuskalo.hr/auti/audi-q5-2.0-tdi-sport-quattro-automatik-alcantara-navi-oglas-42133124
6,45.764188227152,15.998681374149,Grad Zagreb,Novi Zagreb - Istok,Audi,A3,14.550 €,2015. godište,Diesel,81 kW,limuzina,5,180000 km,https://www.njuskalo.hr/auti/audi-a3-tdi-2015-reg-napravljen-servis-odlican-oglas-41516990
7,45.832838985441,15.933893135834,Grad Zagreb,Črnomerec,Audi,Q5,26.000 €,2017. godište,Diesel,120 kW,terensko vozilo / SUV / pick up,5,210 km,https://www.njuskalo.hr/auti/audi-q5-2.0-tdi-automatik-oglas-40972626
8,44.056565999904,15.323784891834,Zadarska,Sukošan,Audi,A3,8.200 €,2010. godište,Diesel,77 kW,hatchback,5,177000 km,https://www.njuskalo.hr/auti/audi-a3-1.6-tdi-oglas-41717378
9,45.17016,17.992455,Brodsko-posavska,Slavonski Brod,Audi,A1,5.700 €,2010. godište,Benzin,63 kW,hatchback,3,166000 km,https://www.njuskalo.hr/auti/audi-a1-1.2-tfsi-2010god-xenon-166tkm-registriran-servisiran-ime-oglas-42230726
10,45.16938,17.993174,Brodsko-posavska,Slavonski Brod,Audi,A1,7.500 €,2011. godište,Diesel,66 kW,hatchback,3,220000 km,https://www.njuskalo.hr/auti/audi-a1-1.6-tdi-12-mj-2011-servisna-top-stanje-registriran-ime-oglas-40953346
11,45.17016,17.992455,Brodsko-posavska,Slavonski Brod,Audi,A4,19.500 €,2016. godište,Diesel,110 kW,limuzina,4,130800 km,https://www.njuskalo.hr/auti/audi-a4-2.0-tdi-2016god-jamstvo-130tkm-dolasku-ime-kupca-oglas-42138466
12,45.17016,17.992455,Brodsko-posavska,Slavonski Brod,Audi,Q3,15.700 €,2013. godište,Diesel,100 kW,terensko vozilo / SUV / pick up,5,149600 km,https://www.njuskalo.hr/auti/audi-q3-2.0-tdi-149tkm-servisna-navi-6-brzina-2013god-ime-kupca-oglas-41998089
13,45.16938,17.993174,Brodsko-posavska,Slavonski Brod,Audi,A3,8.000 €,2011. godište,Diesel,66 kW,hatchback,5,189000 km,https://www.njuskalo.hr/auti/audi-a3-1.6-tdi-sportback-2011god-2-kljuca-unosa-ime-kupca-oglas-41006427
14,45.771854,15.9870205,Grad Zagreb,Novi Zagreb - Istok,Audi,Q5,25.000 €,2018. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,160000 km,https://www.njuskalo.hr/auti/audi-q5-2.0-tdi-oglas-40818480
15,45.59362,16.210941,Sisačko-moslavačka,Lekenik,Audi,A3,8.600 €,2011. godište,Diesel,77 kW,limuzina,5,177000 km,https://www.njuskalo.hr/auti/audi-a3-1.6-tdi-ambition-navi-pdc-jamstvo-oglas-41369517
16,45.59362,16.210941,Sisačko-moslavačka,Lekenik,Audi,A3,9.000 €,2012. godište,Diesel,103 kW,limuzina,5,196000 km,https://www.njuskalo.hr/auti/audi-a3-sportback-2.0-tdi-oglas-42230788
17,45.59009,16.211376,Sisačko-moslavačka,Lekenik,Audi,A4 Avant,17.000 €,2016. godište,Diesel,140 kW,karavan,5,180000 km,https://www.njuskalo.hr/auti/audi-a4-avant-2.0-tdi-tronic-190-ks-navi-2xpdc-oglas-40392090
18,45.158527,18.00045,Brodsko-posavska,Slavonski Brod,Audi,A4 Avant,10.900 €,2012. godište,Diesel,100 kW,karavan,5,260 km,https://www.njuskalo.hr/auti/audi-a4-2.0-tdi-2012god-redizajn-navi-koza-tempomat-pdc-oglas-40973892
19,46.299343,16.398289,Varaždinska,Trnovec Bartolovečki,Audi,A4 Avant,27.650 €,2020. godište,Diesel,120 kW,karavan,5,152810 km,https://www.njuskalo.hr/auti/audi-a4-avant-35-tdi-tronic-oglas-42094301
20,45.80539,15.883189,Grad Zagreb,Stenjevec,Audi,A1,8.900 €,2011. godište,Diesel,77 kW,limuzina,3,169000 km,https://www.njuskalo.hr/auti/audi-a1-1.6-tdi-ambiente-navi-klima-alu-servisna-reg-1-god-oglas-41507574
21,45.793561149834,16.023754885466,Grad Zagreb,Peščenica - Žitnjak,Audi,A6 Avant,38.900 €,2019. godište,Diesel,150 kW,karavan,5,89749 km,https://www.njuskalo.hr/auti/audi-a6-avant-40tdi-204ks-black-optic-led-matrix-virtual-b-pdv-oglas-41930355
22,45.793561149834,16.023754885466,Grad Zagreb,Peščenica - Žitnjak,Audi,A4 Avant,34.500 €,2021. godište,Diesel,120 kW,karavan,5,113297 km,https://www.njuskalo.hr/auti/audi-a4-avant-120kw-sport-matrix-animacija-virtual-b-jamstvo-oglas-41247688
23,45.793561149834,16.023754885466,Grad Zagreb,Peščenica - Žitnjak,Audi,A5 Sportback,64.000 €,2022. godište,Diesel,150 kW,limuzina,5,57500 km,https://www.njuskalo.hr/auti/audi-a5-sportback-40-tdi-line-competiton-jamstvo-2027-pdv-oglas-40376139
24,45.81151123285446,15.89943907179332,Grad Zagreb,Stenjevec,Audi,A4,33.900 €,2021. godište,Diesel,120 kW,limuzina,4,89000 km,https://www.njuskalo.hr/auti/audi-a4-35-tdi-automatik-oglas-41874603
25,45.16433664214072,18.012445783658567,Brodsko-posavska,Slavonski Brod,Audi,A6,15.999 €,2011. godište,Diesel,150 kW,limuzina,4,198000 km,https://www.njuskalo.hr/auti/audi-a6-3.0-tdi-automatik-oglas-41766969
26,45.82313,16.029964,Grad Zagreb,Maksimir,Audi,Q7,73.990 €,2019. godište,Diesel,210 kW,terensko vozilo / SUV / pick up,5,103500 km,https://www.njuskalo.hr/auti/audi-q7-50-tdi-oglas-41589249
27,45.89866,16.841032,Bjelovarsko-bilogorska,Bjelovar,Audi,A3,13.800 €,2014. godište,Diesel,135 kW,hatchback,5,140000 km,https://www.njuskalo.hr/auti/audi-a3-2.0-tdi-135kw-2014-g-reg-1g-servisna-knjiga-oglas-41480784
28,43.506619772803,16.515930703519,Splitsko-dalmatinska,Split,Audi,A6,21.050 €,2015. godište,Diesel,160 kW,limuzina,4,214654 km,https://www.njuskalo.hr/auti/audi-a6-3.0-tdi-quattro-oglas-42319288
