linenum,url
1,https://www.njuskalo.hr/auti/audi-a3-30-tdi-automatik-koza-xenon-led-navigacija-garancija-oglas-40929335
2,https://www.njuskalo.hr/auti/audi-a4-2.0-tdi-automatik-registriran-navi-xenon-top-stanje-oglas-40282577
3,https://www.njuskalo.hr/auti/audi-a3-2.0-tdi-line-kamera-navi-grijanje-sjedala-oglas-41912506
4,https://www.njuskalo.hr/auti/audi-a6-40-tdi-automatik-registiriran-odlicno-stanje-oglas-41619740
5,https://www.njuskalo.hr/auti/audi-q5-2.0-tdi-sport-quattro-automatik-alcantara-navi-oglas-42133124
6,https://www.njuskalo.hr/auti/audi-a3-tdi-2015-reg-napravljen-servis-odlican-oglas-41516990
7,https://www.njuskalo.hr/auti/audi-q5-2.0-tdi-automatik-oglas-40972626
8,https://www.njuskalo.hr/auti/audi-a3-1.6-tdi-oglas-41717378
9,https://www.njuskalo.hr/auti/audi-a1-1.2-tfsi-2010god-xenon-166tkm-registriran-servisiran-ime-oglas-42230726
10,https://www.njuskalo.hr/auti/audi-a1-1.6-tdi-12-mj-2011-servisna-top-stanje-registriran-ime-oglas-40953346
11,https://www.njuskalo.hr/auti/audi-a4-2.0-tdi-2016god-jamstvo-130tkm-dolasku-ime-kupca-oglas-42138466
12,https://www.njuskalo.hr/auti/audi-q3-2.0-tdi-149tkm-servisna-navi-6-brzina-2013god-ime-kupca-oglas-41998089
13,https://www.njuskalo.hr/auti/audi-a3-1.6-tdi-sportback-2011god-2-kljuca-unosa-ime-kupca-oglas-41006427
14,https://www.njuskalo.hr/auti/audi-q5-2.0-tdi-oglas-40818480
15,https://www.njuskalo.hr/auti/audi-a3-1.6-tdi-ambition-navi-pdc-jamstvo-oglas-41369517
16,https://www.njuskalo.hr/auti/audi-a3-sportback-2.0-tdi-oglas-42230788
17,https://www.njuskalo.hr/auti/audi-a4-avant-2.0-tdi-tronic-190-ks-navi-2xpdc-oglas-40392090
18,https://www.njuskalo.hr/auti/audi-a4-2.0-tdi-2012god-redizajn-navi-koza-tempomat-pdc-oglas-40973892
19,https://www.njuskalo.hr/auti/audi-a4-avant-35-tdi-tronic-oglas-42094301
20,https://www.njuskalo.hr/auti/audi-a1-1.6-tdi-ambiente-navi-klima-alu-servisna-reg-1-god-oglas-41507574
21,https://www.njuskalo.hr/auti/audi-a6-avant-40tdi-204ks-black-optic-led-matrix-virtual-b-pdv-oglas-41930355
22,https://www.njuskalo.hr/auti/audi-a4-avant-120kw-sport-matrix-animacija-virtual-b-jamstvo-oglas-41247688
23,https://www.njuskalo.hr/auti/audi-a5-sportback-40-tdi-line-competiton-jamstvo-2027-pdv-oglas-40376139
24,https://www.njuskalo.hr/auti/audi-a4-35-tdi-automatik-oglas-41874603
