linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,46.061016,17.192423,Koprivničko-križevačka,Ferdinandovac,BMW,serija 5,18.900 €,2015. godište,Diesel,140 kW,limuzina,4,150000 km,https://www.njuskalo.hr/auti/bmw-serija-5-520d-12-2015-lci-automatic-velika-navi-oglas-42220449
2,44.052795311234,15.325068437562,Zadarska,Sukošan,BMW,X1,26.299 €,2019. godište,Diesel,140 kW,terensko vozilo / SUV / pick up,5,135458 km,https://www.njuskalo.hr/auti/bmw-x1-sdrive20d-oglas-42250770
3,45.82476,16.146877,Grad Zagreb,Sesvete,BMW,M6,59.900 €,2014. godište,Diesel,412 kW,limuzina,4,155000 km,https://www.njuskalo.hr/auti/bmw-m6-full-oprema-alu-20-led-farovi-koza-head-up-soft-close-oglas-40051260
4,45.82492,16.147665,Grad Zagreb,Sesvete,BMW,serija 3 Touring,15.400 €,2015. godište,Diesel,105 kW,karavan,5,183000 km,https://www.njuskalo.hr/auti/bmw-serija-3-touring-318d-automatik-navigacija-alu-garancija-1-god-oglas-40049805
5,45.13656541252395,18.038755734908772,Brodsko-posavska,Slavonski Brod,BMW,serija 5,31.900 €,2017. godište,Diesel,140 kW,limuzina,4,1 km,https://www.njuskalo.hr/auti/bmw-oglas-41736323
6,45.80823,15.948808,Grad Zagreb,Trešnjevka - Sjever,BMW,serija 1,9.700 €,2013. godište,Diesel,85 kW,hatchback,5,214680 km,https://www.njuskalo.hr/auti/bmw-serija-1-116d-oglas-42129024
7,45.150389807576,18.00967157805,Brodsko-posavska,Slavonski Brod,BMW,serija 3,18.800 €,2015. godište,Diesel,140 kW,limuzina,4,260000 km,https://www.njuskalo.hr/auti/bmw-f30-lci-320d-automatik-m-paket-oglas-41875429
8,,,Istarska,Pula,BMW,X2,34.900 €,2021. godište,Diesel,140 kW,terensko vozilo / SUV / pick up,5,129850 km,https://www.njuskalo.hr/auti/bmw-x2-xdrive20d-m-sport-2021-servisna-jamstvo-registriran-oglas-42012943
9,45.836183857465905,15.992308495341407,Grad Zagreb,Maksimir,BMW,serija 5,14.250 €,2013. godište,Diesel,135 kW,limuzina,4,208500 km,https://www.njuskalo.hr/auti/bmw-serija-5-520d-automatik-oglas-42189866
10,45.301785,18.392578,Osječko-baranjska,Đakovo,BMW,serija 3,12.600 €,2012. godište,Diesel,135 kW,limuzina,4,239000 km,https://www.njuskalo.hr/auti/bmw-serija-3-320d-oglas-42195044
11,43.56017932735404,16.363592807910297,Splitsko-dalmatinska,Kaštela,BMW,serija 5 Touring,14.999 €,2012. godište,Diesel,135 kW,karavan,5,165000 km,https://www.njuskalo.hr/auti/bmw-serija-5-touring-520d-automatik-mod-2012-lanac-servisna-top-oglas-39828166
12,43.556949825984,16.35853440958,Splitsko-dalmatinska,Kaštela,BMW,X4,29.499 €,2016. godište,Diesel,140 kW,terensko vozilo / SUV / pick up,5,220000 km,https://www.njuskalo.hr/auti/bmw-x4-xdrive20d-xline-automatik-mod-2017-nije-uvoz-kamera-nav-alu-19-oglas-41709681
13,45.16938,17.993174,Brodsko-posavska,Slavonski Brod,BMW,serija 3,10.300 €,2012. godište,Diesel,100 kW,limuzina,4,259000 km,https://www.njuskalo.hr/auti/bmw-serija-3-318d-navi-tempomat-registriran-automatik-oglas-41912098
14,45.17016,17.992455,Brodsko-posavska,Slavonski Brod,BMW,serija 1,5.500 €,2010. godište,Diesel,85 kW,hatchback,5,202000 km,https://www.njuskalo.hr/auti/bmw-serija-1-116d-12mj-2010-navigacija-kozna-sijedala-tempomat-ime-oglas-41787203
15,45.803628953842,15.899992787121,Grad Zagreb,Stenjevec,BMW,serija 5,57.500 €,2020. godište,Plug-in hibrid,215 kW,limuzina,4,45000 km,https://www.njuskalo.hr/auti/bmw-serija-5-530e-lci-hybrid-m-sport-laser-live-cockpit-292ks-oglas-36505048
16,45.822647950096,16.005202028151,Grad Zagreb,Gornji Grad - Medveščak,BMW,serija 4 Coupe,59.999 €,2021. godište,Benzin,180 kW,coupe,2,19600 km,https://www.njuskalo.hr/auti/bmw-serija-4-coupe-430i-oglas-41336974
17,45.700830567981,16.074762141326,Zagrebačka,Velika Gorica,BMW,X5,35.000 €,2014. godište,Diesel,313 kW,terensko vozilo / SUV / pick up,5,204000 km,https://www.njuskalo.hr/auti/bmw-x5-xdrive40d-automatik-oglas-42216247
18,46.308173524347,16.069923702084,Varaždinska,Donja Voća,BMW,serija 3 Touring,34.000 €,2020. godište,Diesel,140 kW,karavan,5,107000 km,https://www.njuskalo.hr/auti/bmw-serija-3-touring-320d-oglas-42232160
19,45.333054,14.445058,Primorsko-goranska,Rijeka,BMW,serija 1,26.700 €,2019. godište,Diesel,110 kW,hatchback,5,138000 km,https://www.njuskalo.hr/auti/bmw-serija-1-118d-m-paket-oglas-41396902
20,49.060812282022,10.616520016587,Njemačka,,BMW,X7,77.395 €,2022. godište,Diesel,195 kW,terensko vozilo / SUV / pick up,5,97040 km,https://www.njuskalo.hr/auti/bmw-x7-30d-m-sport-acc-navi-kam-360-led-laser-pano-koza-air-susp-oglas-41606508
21,49.060812282022,10.616520016587,Njemačka,,BMW,X7,84.740 €,2022. godište,Diesel,250 kW,terensko vozilo / SUV / pick up,5,26500 km,https://www.njuskalo.hr/auti/bmw-x7-xdrive40d-m-sport-7-sjed-acc-lase-kam-360-pano-koza-apple-wba-oglas-41606396
22,49.060812282022,10.616520016587,Njemačka,,BMW,X6,68.950 €,2020. godište,Benzin,390 kW,terensko vozilo / SUV / pick up,5,120250 km,https://www.njuskalo.hr/auti/bmw-x6-xdrivem50i-acc-4-zone-navi-pdc-alu-weba-el-sjed-koza-gara-oglas-41606232
23,45.323869618456,14.450718096472,Primorsko-goranska,Rijeka,BMW,serija 4 Gran Coupe,17.000 €,2014. godište,Diesel,135 kW,coupe,5,272000 km,https://www.njuskalo.hr/auti/bmw-serija-4-gran-coupe-420d-oglas-42243378
24,45.49287,18.109812,Osječko-baranjska,Našice,BMW,X4,35.500 €,2016. godište,Diesel,190 kW,limuzina,5,186000 km,https://www.njuskalo.hr/auti/bmw-x4-3.0d-xdrive-m-paket-oglas-41088379
25,49.060812282022,10.616520016587,Njemačka,,BMW,X6,67.950 €,2020. godište,Benzin,250 kW,terensko vozilo / SUV / pick up,5,76758 km,https://www.njuskalo.hr/auti/bmw-x6-xdrive40i-acc-navi-kam-360-led-laser-koza-weba-head-up-alu-22-oglas-41587515
26,49.060812282022,10.616520016587,Njemačka,,BMW,X6,30.950 €,2014. godište,Diesel,225 kW,terensko vozilo / SUV / pick up,5,124833 km,https://www.njuskalo.hr/auti/bmw-x6-40d-m-sport-navi-kam-360-pdc-alu-led-koza-webasto-el-sjed-oglas-41585439
27,49.060812282022,10.616520016587,Njemačka,,BMW,X6,28.950 €,2013. godište,Diesel,180 kW,terensko vozilo / SUV / pick up,5,106295 km,https://www.njuskalo.hr/auti/bmw-x6-30d-auto-xnenon-navi-kam-pdc-alu-koza-el-sjedala-servisna-oglas-41585357
