linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,43.55742896884645,16.358374527157906,Splitsko-dalmatinska,Kaštela,Chevrolet,Captiva,7.999 €,2008. godište,Benzin,100 kW,terensko vozilo / SUV / pick up,5,145000 km,https://www.njuskalo.hr/auti/chevrolet-captiva-2.4-benzin-mod-2008-145.000km-1-vl-reg-god-dana-top-oglas-40595907
2,45.187941705181,13.863602319001,Istarska,Sveti Petar U Šumi,Chevrolet,Camaro,18.800 €,1988. godište,Benzin,125 kW,coupe,2,90000 km,https://www.njuskalo.hr/auti/chevrolet-camaro-irock-z-28-v8-oglas-39370388
3,45.442952508476,16.285234309307,Sisačko-moslavačka,Petrinja,Chevrolet,Cruze,6.300 €,2013. godište,Diesel,96 kW,hatchback,5,142600 km,https://www.njuskalo.hr/auti/chevrolet-cruze-1.7-vcdi-lt-oglas-41970191
4,45.808595,16.239424,Zagrebačka,Dugo Selo,Chevrolet,Spark,4.900 €,2012. godište,Benzin,50 kW,monovolumen,5,40500 km,https://www.njuskalo.hr/auti/chevrolet-spark-spark-1.0-16v-oglas-40509221
5,45.82348400629,16.10640407419,Grad Zagreb,Sesvete,Chevrolet,Aveo,4.599 €,2011. godište,Benzin,63 kW,limuzina,4,137000 km,https://www.njuskalo.hr/auti/chevrolet-aveo-1.2-top-stanje-hr-vozilo-alu-felge-oglas-42056407
6,45.809627700953,15.843055221497,Grad Zagreb,Podsused - Vrapče,Chevrolet,Cruze,4.399 €,2009. godište,Benzin,83 kW,limuzina,4,78000 km,https://www.njuskalo.hr/auti/chevrolet-cruze-1.6-odlicno-stanje-prvi-vlasnik-oglas-41233624
7,45.32116,18.986958,Vukovarsko-srijemska,Vukovar,Chevrolet,Aveo,2.700 €,2010. godište,Benzin,62 kW,limuzina,4,162000 km,https://www.njuskalo.hr/auti/chevrolet-aveo-1.2-16v-klima-el-podizaci-centralno-reg-god-dana-oglas-42183104
8,45.263334570973,15.208729533296,Karlovačka,Ogulin,Chevrolet,Aveo,5.350 €,2012. godište,Diesel,70 kW,hatchback,5,149263 km,https://www.njuskalo.hr/auti/chevrolet-aveo-1.3-d-alu-felge-kompletna-servisna-knjiga-garancija-oglas-41385563
9,45.796611633146,15.908500122765,Grad Zagreb,Stenjevec,Chevrolet,Spark,2.750 €,2010. godište,Benzin,50 kW,hatchback,5,124257 km,https://www.njuskalo.hr/auti/chevrolet-spark-spark-1.0-se-klima-hr-auto-5-vrata-oglas-42175174
10,45.80257413862492,15.90559426030346,Grad Zagreb,Stenjevec,Chevrolet,Aveo,4.290 €,2013. godište,Benzin,51 kW,limuzina,5,144336 km,https://www.njuskalo.hr/auti/chevrolet-aveo-1.4-ltz-reg-1-god-oglas-41961730
11,45.80036,15.904677,Grad Zagreb,Stenjevec,Chevrolet,Spark,3.550 €,2010. godište,Benzin,60 kW,limuzina,5,155200 km,https://www.njuskalo.hr/auti/chevrolet-spark-1.2-16v-reg-1-god-oglas-41226264
13,46.290066,16.192617,Varaždinska,Maruševec,Chevrolet,Spark,5.300 €,2013. godište,Benzin,50 kW,limuzina,5,109000 km,https://www.njuskalo.hr/auti/chevrolet-spark-1.0-ls-4-cilindara-motor-samo-109-000-km-kartice-oglas-40903931
14,45.82237437634731,16.055130592190924,Grad Zagreb,Gornja Dubrava,Chevrolet,Aveo,3.500 €,2007. godište,Benzin,53 kW,hatchback,5,30000 km,https://www.njuskalo.hr/auti/chevrolet-aveo-1.2-hr-auto-samo-30-tis-km-novoo-klima-jedinstven-oglas-41547705
15,45.823889737925,16.052061874232,Grad Zagreb,Donja Dubrava,Chevrolet,Corvette,117.000 €,2015. godište,Benzin,485 kW,coupe,2,31000 km,https://www.njuskalo.hr/auti/chevrolet-corvette-z06-tikt-performance-oglas-41184919
18,45.54843,18.666716,Osječko-baranjska,Osijek,Chevrolet,Aveo,3.350 €,2011. godište,Benzin,62 kW,limuzina,4,226117 km,https://www.njuskalo.hr/auti/chevrolet-aveo-1.2-reg-10-23-nije-uvoz-klima-zamjena-oglas-41642605
19,45.819313,16.10233,Grad Zagreb,Sesvete,Chevrolet,Captiva,9.999 €,2012. godište,Diesel,135 kW,terensko vozilo / SUV / pick up,5,205000 km,https://www.njuskalo.hr/auti/chervolet-captiva-2.2-d-lt-4x4-7-sjedala-kuka-hr-auto-oglas-42292691
20,45.458065685326,16.384456938226,Sisačko-moslavačka,Sisak,Chevrolet,Captiva,5.699 €,2006. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,224000 km,https://www.njuskalo.hr/auti/chevrolet-captiva-2.0-d-reg-4-2024-4x4-7-sjedala-alu-klima-kartice-oglas-41888714
21,45.180256,17.975128,Brodsko-posavska,Slavonski Brod,Chevrolet,Cruze,5.550 €,2012. godište,Diesel,96 kW,limuzina,5,199000 km,https://www.njuskalo.hr/auti/chevrolet-cruze-1.6-oglas-42233487
23,45.466656522728,18.66970221134,Osječko-baranjska,Ernestinovo,Chevrolet,Cruze,7.299 €,2014. godište,Benzin,104 kW,hatchback,5,246000 km,https://www.njuskalo.hr/auti/chevrolet-cruze-1.8-automatik-plin-oglas-41626612
24,45.765599532394,15.996171296872,Grad Zagreb,Novi Zagreb - Istok,Chevrolet,Epica,4.200 €,2011. godište,Diesel,110 kW,limuzina,4,153000 km,https://www.njuskalo.hr/auti/chevrolet-epica-2.0-vcdi-lt-oglas-42302638
25,45.806007674141,16.246825331757,Zagrebačka,Dugo Selo,Chevrolet,Lacetti,1.550 €,2006. godište,Benzin,81 kW,limuzina,4,197000 km,https://www.njuskalo.hr/auti/chevrolet-lacetti-1.6-16v-sx-oglas-41602607
26,45.783975169313,15.920414765033,Grad Zagreb,Trešnjevka - Jug,Chevrolet,Spark,4.700 €,2012. godište,Benzin,60 kW,hatchback,5,78000 km,https://www.njuskalo.hr/auti/chevrolet-spark-1.2-16v-servo-klima-serv-knjiz-samo-78000km-kreit-zamj-oglas-42288099
27,46.24402,16.625116,Varaždinska,Ludbreg,Chevrolet,Corvette,45.000 €,2005. godište,Benzin,298 kW,coupe,3,148000 km,https://www.njuskalo.hr/auti/chevrolet-corvette-6.0-oglas-40709131
31,45.549319267124,18.697559351434,Osječko-baranjska,Osijek,Chevrolet,Kalos,1.400 €,2005. godište,Benzin,53 kW,hatchback,3,302000 km,https://www.njuskalo.hr/auti/chevrolet-kalos-1.2-oglas-42298649
32,43.552489414665,16.292188968511,Splitsko-dalmatinska,Kaštela,Chevrolet,Spark,2.550 €,2008. godište,Benzin,38 kW,limuzina,5,125000 km,https://www.njuskalo.hr/auti/chevrolet-spark-spark-0.8-se-oglas-41496528
34,45.99317,15.918749,Krapinsko-zagorska,Oroslavje,Chevrolet,Lacetti,3.000 €,2011. godište,Benzin,70 kW,hatchback,5,207000 km,https://www.njuskalo.hr/auti/chevrolet-lacetti-1.4-sx-oglas-40425559
35,45.618626,18.727182,Osječko-baranjska,Darda,Chevrolet,Lacetti,2.500 €,2011. godište,Benzin,70 kW,coupe,5,135000 km,https://www.njuskalo.hr/auti/chevrolet-lacetti-1.4-sx-oglas-42298164
36,45.560512610211,18.639308710026,Osječko-baranjska,Osijek,Chevrolet,Spark,1.950 €,2010. godište,Benzin,38 kW,hatchback,5,110000 km,https://www.njuskalo.hr/auti/chevrolet-spark-0.8i-2010-g-klima-servo-115tkm-prvi-vl-kartice-oglas-41810270
37,45.364772772035,14.320946931839,Primorsko-goranska,Matulji,Chevrolet,Cruze,4.500 €,2010. godište,Benzin,83 kW,limuzina,5,136000 km,https://www.njuskalo.hr/auti/chevrolet-cruze-1.6-ls-oglas-41617400
38,46.073025,16.799786,Koprivničko-križevačka,Sokolovac,Chevrolet,Aveo,1.500 €,2006. godište,Benzin,53 kW,limuzina,4,182200 km,https://www.njuskalo.hr/auti/chevrolet-aveo-1.2-oglas-41508227
39,45.83036,15.966649,Grad Zagreb,Gornji Grad - Medveščak,Chevrolet,Spark,2.150 €,2008. godište,Benzin,38 kW,hatchback,5,120000 km,https://www.njuskalo.hr/auti/chevrolet-spark-spark-0.8-oglas-42242395
40,45.8199558328,15.78990789196,Zagrebačka,Sveta Nedelja,Chevrolet,Lacetti,1.700 €,2005. godište,Benzin,69 kW,limuzina,5,150500 km,https://www.njuskalo.hr/auti/chevrolet-lacetti-1.4-se-oglas-41315797
42,45.368233900964,18.982876708921,Vukovarsko-srijemska,Vukovar,Chevrolet,Aveo,3.950 €,2008. godište,Benzin,74 kW,hatchback,5,140000 km,https://www.njuskalo.hr/auti/chevrolet-aveo-1.4-benzin-plin-0995112464-oglas-40441246
43,45.792967456293646,15.927493403185956,Grad Zagreb,Trešnjevka - Jug,Chevrolet,Cruze,4.500 €,2012. godište,Diesel,120 kW,hatchback,5,215000 km,https://www.njuskalo.hr/auti/chevrolet-cruze-2.0-vcdi-ltz-oglas-41787177
45,45.31709,13.559564,Istarska,Novigrad,Chevrolet,Lacetti,3.650 €,2011. godište,Benzin,70 kW,hatchback,5,186200 km,https://www.njuskalo.hr/auti/chevrolet-lacetti-1.4-se-kao-citati-oglas-42232549
46,45.451096,13.540425,Istarska,Umag,Chevrolet,Captiva,8.900 €,2009. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,247000 km,https://www.njuskalo.hr/auti/chevrolet-captiva-2.0-d-oglas-36347580
47,45.741499985953,16.039362969608,Zagrebačka,Velika Gorica - Okolica,Chevrolet,Spark,1.050 €,2005. godište,Benzin,49 kW,hatchback,5,260000 km,https://www.njuskalo.hr/auti/chevrolet-spark-spark-1.0-sx-oglas-42213697
48,45.804646,15.789424,Zagrebačka,Sveta Nedelja,Chevrolet,Kalos,1.500 €,2005. godište,Benzin,53 kW,hatchback,5,182000 km,https://www.njuskalo.hr/auti/chevrolet-kalos-1.2-se-oglas-42288576
49,45.542418780861,18.652257477736,Osječko-baranjska,Osijek,Chevrolet,Cruze,4.650 €,2012. godište,Benzin,91 kW,limuzina,4,190000 km,https://www.njuskalo.hr/auti/chevrolet-cruze-1.6-oglas-41300400
50,45.337352220707,18.850527125348,Vukovarsko-srijemska,Nuštar,Chevrolet,Aveo,2.100 €,2007. godište,Benzin,53 kW,limuzina,3,209021 km,https://www.njuskalo.hr/auti/chevrolet-aveo-1.2-oglas-42049892
51,46.376464863179,16.384546967494,Međimurska,Nedelišće,Chevrolet,Captiva,6.900 €,2010. godište,Diesel,93 kW,terensko vozilo / SUV / pick up,5,195000 km,https://www.njuskalo.hr/auti/chevrolet-captiva-2.0-d-1-vlasnik-2-seta-alu-felgi-oglas-29775462
52,45.386735917155,14.410847091135,Primorsko-goranska,Viškovo,Chevrolet,Spark,4.300 €,2010. godište,Benzin,60 kW,hatchback,5,137683 km,https://www.njuskalo.hr/auti/chevrolet-spark-spark-1.2-ls-oglas-42286065
53,45.80821949935,16.027134919752,Grad Zagreb,Peščenica - Žitnjak,Chevrolet,Aveo,4.550 €,2011. godište,Diesel,55 kW,hatchback,5,171000 km,https://www.njuskalo.hr/auti/chevrolet-aveo-1.3-d-lt-jamstvo-kreditne-kartice-36-rata-oglas-37117481
54,45.798087443185,15.778855659951,Zagrebačka,Sveta Nedelja,Chevrolet,Captiva,10.500 €,2014. godište,Diesel,120 kW,terensko vozilo / SUV / pick up,5,194000 km,https://www.njuskalo.hr/auti/chevrolet-captiva-2.2-d-ls-oglas-41168533
55,46.386173750933,16.434644712014,Međimurska,Čakovec,Chevrolet,Cruze,3.800 €,2009. godište,Benzin,74 kW,limuzina,5,198000 km,https://www.njuskalo.hr/auti/chevrolet-cruze-1.6-oglas-41758465
56,45.890747,15.714735,Zagrebačka,Brdovec,Chevrolet,Spark,2.500 €,2008. godište,Benzin,38 kW,hatchback,5,49000 km,https://www.njuskalo.hr/auti/chevrolet-spark-spark-0.8-oglas-42206215
57,45.78893,15.984089,Grad Zagreb,Novi Zagreb - Istok,Chevrolet,Spark,1.800 €,2007. godište,Benzin,38 kW,hatchback,5,200000 km,https://www.njuskalo.hr/auti/chevrolet-spark-spark-0.8-oglas-42207256
59,45.877478761884,16.4225929197,Zagrebačka,Vrbovec,Chevrolet,Spark,1.950 €,2005. godište,Benzin,50 kW,limuzina,4,180000 km,https://www.njuskalo.hr/auti/chevrolet-spark-spark-1.0-se-oglas-41649890
61,43.51547,16.440205,Splitsko-dalmatinska,Split,Chevrolet,Spark,4.000 €,2010. godište,Benzin,50 kW,limuzina,5,177000 km,https://www.njuskalo.hr/auti/spark-1.0-benzin-plin-oglas-41615678
62,49.029323857551,10.9741448462,Njemačka,,Chevrolet,TrailBlazer,26.396 €,2022. godište,Benzin,,terensko vozilo / SUV / pick up,5,15000 km,https://www.njuskalo.hr/auti/chevrolet-trailblazer-1.3-svojim-kamionima-uvozimo-registracije-oglas-42274344
63,45.76155029118,16.009352173415,Grad Zagreb,Novi Zagreb - Istok,Chevrolet,Orlando,5.000 €,2012. godište,Benzin,104 kW,monovolumen,5,267000 km,https://www.njuskalo.hr/auti/chevrolet-orlando-1.8-lt-oglas-42095680
64,43.508934691959,16.431824122376,Splitsko-dalmatinska,Split,Chevrolet,Corvette,49.000 €,2007. godište,Benzin,297 kW,coupe,3,93741 km,https://www.njuskalo.hr/auti/chevrolet-corvette-c6-targa-oglas-39404904
65,44.875691476146,15.237950961666,Ličko-senjska,Otočac,Chevrolet,Spark,3.500 €,2013. godište,Benzin,50 kW,hatchback,5,124000 km,https://www.njuskalo.hr/auti/chevrolet-spark-spark-1.0-16v-oglas-42219327
67,45.817385882703,15.826007544584,Grad Zagreb,Podsused - Vrapče,Chevrolet,Matiz,1.500 €,2004. godište,Benzin,38 kW,hatchback,5,111000 km,https://www.njuskalo.hr/auti/chevrolet-matiz-0.8-se-registriran-1-god-111-000-km-odlican-oglas-40305437
68,45.814194,16.055756,Grad Zagreb,Donja Dubrava,Chevrolet,Captiva,8.500 €,2012. godište,Diesel,120 kW,terensko vozilo / SUV / pick up,5,173000 km,https://www.njuskalo.hr/auti/chevrolet-captiva-2.2-d-lt-oglas-42264242
69,45.819344,15.94872,Grad Zagreb,Črnomerec,Chevrolet,Spark,1.800 €,2006. godište,Benzin,,limuzina,5,94000 km,https://www.njuskalo.hr/auti/chevrolet-spark-spark-0.8-oglas-42234685
70,45.80282462489249,16.021146145537422,Grad Zagreb,Peščenica - Žitnjak,Chevrolet,Kalos,1.750 €,2004. godište,Benzin,69 kW,limuzina,5,190000 km,https://www.njuskalo.hr/auti/chevrolet-kalos-1.4-16v-sx-oglas-42262143
71,45.545542249344,18.714286022654,Osječko-baranjska,Osijek,Chevrolet,Lacetti,2.799 €,2010. godište,Benzin,70 kW,hatchback,5,205000 km,https://www.njuskalo.hr/auti/chevrolet-lacetti-1.4-se-oglas-41949109
73,44.796692856537,14.727871725166,Primorsko-goranska,Rab,Chevrolet,Aveo,3.900 €,2010. godište,Benzin,62 kW,hatchback,5,127000 km,https://www.njuskalo.hr/auti/chevrolet-aveo-1.2-16v-oglas-42241007
74,45.712300441294,16.024889569059,Zagrebačka,Velika Gorica - Okolica,Chevrolet,Cruze,4.400 €,2010. godište,Benzin,83 kW,limuzina,4,230000 km,https://www.njuskalo.hr/auti/chevrolet-cruze-1.6-ls-oglas-41821710
75,45.385545526613,14.372085218328,Primorsko-goranska,Kastav,Chevrolet,Kalos,850 €,2005. godište,Benzin,53 kW,hatchback,5,155000 km,https://www.njuskalo.hr/auti/chevrolet-kalos-1.2-se-oglas-42258087
76,45.82762859416,15.702576108048,Zagrebačka,Samobor - Okolica,Chevrolet,Cruze,4.900 €,2013. godište,Benzin,91 kW,limuzina,4,270000 km,https://www.njuskalo.hr/auti/chevrolet-cruze-1.6-ls-oglas-41578024
77,45.60551,16.158669,Sisačko-moslavačka,Lekenik,Chevrolet,Captiva,7.970 €,2012. godište,Diesel,120 kW,terensko vozilo / SUV / pick up,5,345000 km,https://www.njuskalo.hr/auti/chevrolet-captiva-2.2-d-lt-oglas-40329987
78,45.671722816762,18.42272611265,Osječko-baranjska,Valpovo,Chevrolet,Cruze,6.000 €,2012. godište,Diesel,96 kW,hatchback,5,245000 km,https://www.njuskalo.hr/auti/chevrolet-cruze-1.7-vcdi-ls-oglas-36302715
79,46.165631163264,16.811985895184,Koprivničko-križevačka,Koprivnica,Chevrolet,Cruze,5.100 €,2010. godište,Benzin,83 kW,limuzina,4,114500 km,https://www.njuskalo.hr/auti/chevrolet-cruze-1.6-oglas-42254164
80,45.432518,16.364408,Sisačko-moslavačka,Petrinja,Chevrolet,Aveo,950 €,2008. godište,Benzin,69 kW,limuzina,4,383000 km,https://www.njuskalo.hr/auti/chevrolet-aveo-1.4-16v-oglas-41291949
81,45.750526,18.162298,Osječko-baranjska,Donji Miholjac,Chevrolet,Orlando,6.400 €,2011. godište,Benzin,104 kW,limuzina,5,227000 km,https://www.njuskalo.hr/auti/chevrolet-orlando-1.8-lt-oglas-32829653
82,45.8118,15.786406,Zagrebačka,Sveta Nedelja,Chevrolet,Aveo,4.950 €,2012. godište,Benzin,62 kW,limuzina,4,84000 km,https://www.njuskalo.hr/auti/chevrolet-aveo-1.2-oglas-42250178
83,45.762157,15.780494,Zagrebačka,Sveta Nedelja,Chevrolet,Spark,1.700 €,2007. godište,Benzin,38 kW,hatchback,5,88000 km,https://www.njuskalo.hr/auti/chevrolet-spark-spark-1-vl-88240km-oglas-42045771
84,43.495801203009,16.264207519787,Splitsko-dalmatinska,Okrug,Chevrolet,Captiva,9.000 €,2013. godište,Diesel,135 kW,terensko vozilo / SUV / pick up,5,220000 km,https://www.njuskalo.hr/auti/chevrolet-captiva-2.2-d-lt-oglas-21449945
85,45.55240325171,18.707838292912,Osječko-baranjska,Osijek,Chevrolet,Matiz,1.700 €,2007. godište,Benzin,,limuzina,5,91000 km,https://www.njuskalo.hr/auti/chevrolet-matiz-0.8-2007-god-oglas-41742400
