linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,43.564928564499716,16.36089352532224,Splitsko-dalmatinska,Kaštela,Chrysler,Sebring,2.999 €,2005. godište,Benzin,104 kW,limuzina,4,199000 km,https://www.njuskalo.hr/auti/chrysler-sebring-2.0-16v-mod-2005-reg-god-dana-nije-uvoz-koza-klima-oglas-38809376
2,45.819025465689,15.844044554973,Grad Zagreb,Podsused - Vrapče,Chrysler,Sebring,2.400 €,2001. godište,Benzin,149 kW,limuzina,4,338000 km,https://www.njuskalo.hr/auti/chrysler-sebring-2.7-v6-lx-plin-automatik-full-oprema-reg-05-24-oglas-42261862
3,45.40315,18.976511,Vukovarsko-srijemska,Borovo,Chrysler,Sebring,6.850 €,2001. godište,Benzin,149 kW,limuzina,5,194500 km,https://www.njuskalo.hr/auti/chrysler-sebring-2.7-v6-lx-kuka-raptor-mat-crni-jedinstveni-hr-oglas-40572504
4,45.80298704269,16.021751030976,Grad Zagreb,Peščenica - Žitnjak,Chrysler,Crossfire,9.000 €,2004. godište,Benzin,160 kW,coupe,2,132923 km,https://www.njuskalo.hr/auti/chrysler-crossfire-3.2-v6-oglas-40326211
5,45.81155607319,15.901365590258,Grad Zagreb,Podsused - Vrapče,Chrysler,300C,19.399 €,2013. godište,Benzin,228 kW,limuzina,4,121000 km,https://www.njuskalo.hr/auti/chrysler-300c-limuzina-automatik-oglas-41611149
7,45.814705,15.878193,Grad Zagreb,Stenjevec,Chrysler,Voyager,3.299 €,2005. godište,Diesel,110 kW,monovolumen,5,205500 km,https://www.njuskalo.hr/auti/chrysler-voyager-2.8-crd-lx-oglas-40395565
8,45.81306843,15.977264245,Grad Zagreb,Gornji Grad - Medveščak,Chrysler,Crossfire,12.999 €,2005. godište,Benzin,160 kW,coupe,2,86500 km,https://www.njuskalo.hr/auti/chrysler-crossfire-3.2-v6-automatik-oglas-37559354
9,45.478349584931,16.776137694683,Sisačko-moslavačka,Kutina,Chrysler,PT Cruiser,3.700 €,2005. godište,Benzin,164 kW,karavan,5,218000 km,https://www.njuskalo.hr/auti/chrysler-pt-cruiser-2.4-turbo-gt-lpg-oglas-38765680
10,45.991987966525,15.835428516713,Krapinsko-zagorska,Veliko Trgovišće,Chrysler,300C,6.990 €,2005. godište,Benzin,142 kW,limuzina,4,224000 km,https://www.njuskalo.hr/auti/chrysler-300c-300-2.7-v6-oglas-42255792
11,43.50204,16.440668,Splitsko-dalmatinska,Split,Chrysler,PT Cruiser,4.500 €,2007. godište,Benzin,,kabriolet,3,191000 km,https://www.njuskalo.hr/auti/chrysler-pt-cruiser-2.4-cabrio-bozicna-akcija-oglas-39278844
