linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
2,45.70543,16.114426,Zagrebačka,Velika Gorica - Okolica,Citroën,C4,19.530 €,2021. godište,Diesel,96 kW,hatchback,5,70000 km,https://www.njuskalo.hr/auti/c4-1.5-bluehdi-130-ks-automatik-head-up-adapt-temp-moguce-zamjene-oglas-41482100
3,45.82606,16.113707,Grad Zagreb,Sesvete,Citroën,Berlingo,11.800 €,2015. godište,Diesel,84 kW,terensko vozilo / SUV / pick up,5,165000 km,https://www.njuskalo.hr/auti/citroen-berlingo-1.6-hdi-senzori-grijanje-sjedala-a-klima-oglas-42230703
4,45.82606,16.113707,Grad Zagreb,Sesvete,Citroën,Berlingo,8.300 €,2012. godište,Diesel,68 kW,terensko vozilo / SUV / pick up,5,194000 km,https://www.njuskalo.hr/auti/citro-n-berlingo-1.6-hdi-registriran-grijanje-sjedala-senzori-oglas-42164783
5,44.056565999904,15.323784891834,Zadarska,Sukošan,Citroën,C3,16.999 €,2023. godište,Benzin,61 kW,hatchback,5,14000 km,https://www.njuskalo.hr/auti/citro-n-c3-1.2-puretech-oglas-42240091
6,43.56307037027693,16.36244935024011,Splitsko-dalmatinska,Kaštela,Citroën,C-Elysee,9.999 €,2018. godište,Benzin,60 kW,limuzina,4,35000 km,https://www.njuskalo.hr/auti/citro-n-c-elysee-1.2-benzin-mod-2019-facelift-35tkm-reg-god-dana-nov-oglas-41575147
7,43.557080748642,16.371055087383,Splitsko-dalmatinska,Kaštela,Citroën,C5 Break,7.999 €,2013. godište,Diesel,84 kW,karavan,5,219000 km,https://www.njuskalo.hr/auti/citro-n-c5-break-1.6-ehdi-exclusive-automatik-mod-2013-reg-11-2023-ful-oglas-40625179
8,43.556771894554,16.36233265759,Splitsko-dalmatinska,Kaštela,Citroën,C5,7.999 €,2013. godište,Diesel,84 kW,karavan,5,219000 km,https://www.njuskalo.hr/auti/citro-n-c5-1.6-ehdi-exclusive-automatik-mod-2013-reg-11-2023-navi-full-oglas-40625621
9,45.793,16.025572,Grad Zagreb,Peščenica - Žitnjak,Citroën,C3,10.790 €,2017. godište,Benzin,60 kW,hatchback,5,84000 km,https://www.njuskalo.hr/auti/citro-n-c3-1.2-puretech-navigacija-oglas-41445397
10,49.060812282022,10.616520016587,Njemačka,,Citroën,C3 Aircross,13.890 €,2019. godište,Diesel,75 kW,terensko vozilo / SUV / pick up,5,92681 km,https://www.njuskalo.hr/auti/citro-n-c3-aircross-1.5-bluehdi-feel-pdc-alu-led-tempo-1-vla-serv-oglas-41617092
11,49.060812282022,10.616520016587,Njemačka,,Citroën,C3 Aircross,12.390 €,2019. godište,Benzin,61 kW,terensko vozilo / SUV / pick up,5,22700 km,https://www.njuskalo.hr/auti/citro-n-c3-aircross-1.2-feel-pdc-alu-gr-sjedala-auto-klima-servisna-oglas-41617077
12,49.060812282022,10.616520016587,Njemačka,,Citroën,C3 Aircross,11.980 €,2017. godište,Benzin,81 kW,terensko vozilo / SUV / pick up,5,78940 km,https://www.njuskalo.hr/auti/citro-n-c3-aircross-1.2-family-tempo-pdc-alu-apple-gr-sjed-serv-oglas-41617064
13,49.060812282022,10.616520016587,Njemačka,,Citroën,C5 Aircross,22.390 €,2019. godište,Benzin,133 kW,terensko vozilo / SUV / pick up,5,89300 km,https://www.njuskalo.hr/auti/citro-n-c5-aircross-puretech-180-shine-auto-navi-kam-pano-led-el-sj-oglas-41609586
14,49.060812282022,10.616520016587,Njemačka,,Citroën,C5 Aircross,19.990 €,2019. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,47750 km,https://www.njuskalo.hr/auti/citro-n-c5-aircross-1.5-bluehdi-feel-auto-kam-led-pdc-keyless-1-vla-oglas-41609564
15,51.060516510609,10.614694626581,Njemačka,,Citroën,Spacetourer,32.765 €,2018. godište,Diesel,110 kW,kombibus,4,73711 km,https://www.njuskalo.hr/auti/citro-n-spacetourer-2.0-bluehdi-8-sjed-2x-klima-acc-navi-kam-xenon-oglas-40755832
16,51.061500573616,10.616056939999,Njemačka,,Citroën,C5 X,34.840 €,2022. godište,Plug-in hibrid,165 kW,terensko vozilo / SUV / pick up,5,16385 km,https://www.njuskalo.hr/auti/citro-n-c5-x-1.6-hybrid-plug-in-13kwh-wltp-60km-navi-kam-webasto-apple-oglas-41696019
17,51.061500573616,10.616056939999,Njemačka,,Citroën,C5 X,26.940 €,2022. godište,Benzin,133 kW,karavan,5,14700 km,https://www.njuskalo.hr/auti/citro-n-c5-x-1.6-puretech-eta8-shine-acc-navi-kam-led-hud-koza-apple-oglas-41695919
18,45.824800105725,16.136219398786,Grad Zagreb,Sesvete,Citroën,C3,8.900 €,2017. godište,Benzin,60 kW,hatchback,5,93000 km,https://www.njuskalo.hr/auti/citro-n-c3-1.2i-hr-auto-feel-oprema-ime-model-2018-kartice-oglas-37413484
19,45.80128,15.78693,Zagrebačka,Sveta Nedelja,Citroën,C4,11.900 €,2017. godište,Benzin,96 kW,hatchback,5,67000 km,https://www.njuskalo.hr/auti/citro-n-c4-1.2-vti-130-garancija-kartice-krediti-67.000-km-1-vlasn-oglas-41641110
20,45.80539,15.883189,Grad Zagreb,Stenjevec,Citroën,C3,10.950 €,2019. godište,Diesel,75 kW,limuzina,4,130000 km,https://www.njuskalo.hr/auti/citro-n-c3-1.5-bluehdi-shine-dig-klima-navi-pdc-led-reg-1-god-oglas-41378062
21,45.80539,15.883189,Grad Zagreb,Stenjevec,Citroën,C3,6.950 €,2014. godište,Benzin,50 kW,limuzina,4,80000 km,https://www.njuskalo.hr/auti/citro-n-c3-1.0-vti-exclusive-klima-led-pdc-chrome-reg-1-god-oglas-40913298
22,45.80539,15.883189,Grad Zagreb,Stenjevec,Citroën,C1,7.600 €,2015. godište,Benzin,60 kW,kabriolet,4,85000 km,https://www.njuskalo.hr/auti/citro-n-c1-1.2-vti-cabrio-klima-led-5-vrata-servisna-reg-1-god-oglas-41482497
23,45.257939345908,13.658529503609,Istarska,Poreč,Citroën,C4 Grand Picasso,14.000 €,2018. godište,Diesel,88 kW,monovolumen,5,148200 km,https://www.njuskalo.hr/auti/citro-n-c4-grand-picasso-bluehdi-120-automatic-7siceva-odlicno-stanje-oglas-41596506
24,45.54567,18.659184,Osječko-baranjska,Osijek,Citroën,C4 Picasso,7.050 €,2014. godište,Diesel,68 kW,monovolumen,5,304260 km,https://www.njuskalo.hr/auti/citro-n-c4-picasso-1.6-hdi-automatik-navigacija-alu-reg-05-2024-oglas-41910874
26,45.48272,18.756247,Osječko-baranjska,Osijek - Okolica,Citroën,C4 Picasso,4.500 €,2010. godište,Diesel,80 kW,monovolumen,5,203189 km,https://www.njuskalo.hr/auti/citro-n-c4-picasso-1.6-hdi-reg-02-2024-oglas-39711800
28,44.117382,15.243766,Zadarska,Zadar,Citroën,DS3,6.500 €,2014. godište,Benzin,60 kW,limuzina,3,158000 km,https://www.njuskalo.hr/auti/citro-n-ds3-1.2-vti-top-stanje-oglas-42273097
29,44.096873767998,15.265328634865,Zadarska,Zadar,Citroën,C4,23.900 €,2023. godište,Benzin,96 kW,hatchback,5,,https://www.njuskalo.hr/novi-auti/citro-n-c4-feel-pack-puretech-130-bvm6-oglas-38526619
30,44.096873767998,15.265328634865,Zadarska,Zadar,Citroën,Jumpy,28.000 €,2023. godište,Diesel,106 kW,terensko vozilo / SUV / pick up,3,,https://www.njuskalo.hr/novi-auti/citro-n-jumpy-xl-nivo2-2.0-bluehdi-145-bvm6-oglas-38013552
31,45.760098,16.201689,Zagrebačka,Rugvica,Citroën,Berlingo,21.900 €,2019. godište,Diesel,75 kW,kombibus,5,37000 km,https://www.njuskalo.hr/auti/citro-n-berlingo-1.5-bluehdi-xl-business-feel-100-37-000-km-oglas-41988675
33,43.55720185214823,16.365669464112035,Splitsko-dalmatinska,Kaštela,Citroën,C5 Aircross,23.500 €,2020. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,94204 km,https://www.njuskalo.hr/auti/citro-n-c5-aircross-bluehdi-130-ks-automatik-business-line-virtual-oglas-42318993
34,45.816476502556,16.099225359178,Grad Zagreb,Sesvete,Citroën,C4,1.999 €,2006. godište,Benzin,65 kW,hatchback,5,210000 km,https://www.njuskalo.hr/auti/citro-n-c4-1.4-16v-x-hr-vozilo-dva-kljuca-odlicno-stanje-oglas-42223555
35,45.814766,15.881865,Grad Zagreb,Stenjevec,Citroën,C4 Picasso,4.000 €,2009. godište,Benzin,92 kW,monovolumen,5,200000 km,https://www.njuskalo.hr/auti/citro-n-c4-picasso-1.8-16v-reg-04-2024-atestirani-plin-2028-oglas-42241088
36,45.821025617387,16.094358442615,Grad Zagreb,Sesvete,Citroën,DS3,6.999 €,2015. godište,Diesel,73 kW,kabriolet,2,181000 km,https://www.njuskalo.hr/auti/citro-n-ds3-1.6-e-hdi-etg-odlicno-stanje-sport-paket-ds3-oglas-40927856
37,45.83011,16.096806,Grad Zagreb,Sesvete,Citroën,C3,2.300 €,2008. godište,Benzin,54 kW,limuzina,5,190000 km,https://www.njuskalo.hr/auti/citro-n-c3-1.4-oglas-42318932
38,45.74242894011,16.006070863345,Grad Zagreb,Novi Zagreb - Istok,Citroën,C4,25.474 €,2023. godište,Benzin,96 kW,hatchback,5,,https://www.njuskalo.hr/novi-auti/citro-n-c4-x-feel-pack-1.2-puretech-130-ks-automatik-dostupan-odmah-oglas-41239970
39,45.74242894011,16.006070863345,Grad Zagreb,Novi Zagreb - Istok,Citroën,C3,14.900 €,2023. godište,Benzin,61 kW,hatchback,5,,https://www.njuskalo.hr/novi-auti/citroen-c3-you-puretech-83-bvm-posebna-ponuda-dostupan-odmah-oglas-40789606
40,45.74242894011,16.006070863345,Grad Zagreb,Novi Zagreb - Istok,Citroën,C3 Aircross,18.500 €,2024. godište,Benzin,81 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/citroen-c3-aircross-feel-pack-puretech-110-bvm6-oglas-41231494
41,45.765356611954,15.986133489265,Grad Zagreb,Novi Zagreb - Istok,Citroën,C4 Picasso,15.500 €,2017. godište,Diesel,88 kW,monovolumen,5,87800 km,https://www.njuskalo.hr/auti/citro-n-c4-picasso-1.6-e-hdi-oglas-41055769
42,45.74242894011,16.006070863345,Grad Zagreb,Novi Zagreb - Istok,Citroën,C3,16.280 €,2024. godište,Benzin,61 kW,hatchback,5,,https://www.njuskalo.hr/novi-auti/citro-n-c3-c-series-puretech-83-posebna-ponuda-oglas-40537035
43,45.74242894011,16.006070863345,Grad Zagreb,Novi Zagreb - Istok,Citroën,C3 Aircross,18.500 €,2024. godište,Benzin,81 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/citroen-c3-aircross-feel-pack-puretech-110-dodatni-popust-500-oglas-40536840
44,45.74242894011,16.006070863345,Grad Zagreb,Novi Zagreb - Istok,Citroën,C3,14.900 €,2024. godište,Benzin,61 kW,limuzina,5,,https://www.njuskalo.hr/novi-auti/citroen-c3-feel-puretech-83-bvm-garancija-5-godina-oglas-38085121
45,45.74242894011,16.006070863345,Grad Zagreb,Novi Zagreb - Istok,Citroën,Berlingo,22.990 €,2023. godište,Diesel,75 kW,kombibus,5,,https://www.njuskalo.hr/novi-auti/citroen-berlingo-business-feel-m-bluehdi-100-bvm-poklon-4-zimske-gume-oglas-42264021
