linenum,url
1,https://www.njuskalo.hr/auti/citro-n-c3-picasso-1.6-hdi-exclusive-oglas-42290644
2,https://www.njuskalo.hr/auti/c4-1.5-bluehdi-130-ks-automatik-head-up-adapt-temp-moguce-zamjene-oglas-41482100
3,https://www.njuskalo.hr/auti/citroen-berlingo-1.6-hdi-senzori-grijanje-sjedala-a-klima-oglas-42230703
4,https://www.njuskalo.hr/auti/citro-n-berlingo-1.6-hdi-registriran-grijanje-sjedala-senzori-oglas-42164783
5,https://www.njuskalo.hr/auti/citro-n-c3-1.2-puretech-oglas-42240091
6,https://www.njuskalo.hr/auti/citro-n-c-elysee-1.2-benzin-mod-2019-facelift-35tkm-reg-god-dana-nov-oglas-41575147
7,https://www.njuskalo.hr/auti/citro-n-c5-break-1.6-ehdi-exclusive-automatik-mod-2013-reg-11-2023-ful-oglas-40625179
8,https://www.njuskalo.hr/auti/citro-n-c5-1.6-ehdi-exclusive-automatik-mod-2013-reg-11-2023-navi-full-oglas-40625621
9,https://www.njuskalo.hr/auti/citro-n-c3-1.2-puretech-navigacija-oglas-41445397
10,https://www.njuskalo.hr/auti/citro-n-c3-aircross-1.5-bluehdi-feel-pdc-alu-led-tempo-1-vla-serv-oglas-41617092
11,https://www.njuskalo.hr/auti/citro-n-c3-aircross-1.2-feel-pdc-alu-gr-sjedala-auto-klima-servisna-oglas-41617077
12,https://www.njuskalo.hr/auti/citro-n-c3-aircross-1.2-family-tempo-pdc-alu-apple-gr-sjed-serv-oglas-41617064
13,https://www.njuskalo.hr/auti/citro-n-c5-aircross-puretech-180-shine-auto-navi-kam-pano-led-el-sj-oglas-41609586
14,https://www.njuskalo.hr/auti/citro-n-c5-aircross-1.5-bluehdi-feel-auto-kam-led-pdc-keyless-1-vla-oglas-41609564
15,https://www.njuskalo.hr/auti/citro-n-spacetourer-2.0-bluehdi-8-sjed-2x-klima-acc-navi-kam-xenon-oglas-40755832
16,https://www.njuskalo.hr/auti/citro-n-c5-x-1.6-hybrid-plug-in-13kwh-wltp-60km-navi-kam-webasto-apple-oglas-41696019
17,https://www.njuskalo.hr/auti/citro-n-c5-x-1.6-puretech-eta8-shine-acc-navi-kam-led-hud-koza-apple-oglas-41695919
18,https://www.njuskalo.hr/auti/citro-n-c3-1.2i-hr-auto-feel-oprema-ime-model-2018-kartice-oglas-37413484
19,https://www.njuskalo.hr/auti/citro-n-c4-1.2-vti-130-garancija-kartice-krediti-67.000-km-1-vlasn-oglas-41641110
20,https://www.njuskalo.hr/auti/citro-n-c3-1.5-bluehdi-shine-dig-klima-navi-pdc-led-reg-1-god-oglas-41378062
21,https://www.njuskalo.hr/auti/citro-n-c3-1.0-vti-exclusive-klima-led-pdc-chrome-reg-1-god-oglas-40913298
22,https://www.njuskalo.hr/auti/citro-n-c1-1.2-vti-cabrio-klima-led-5-vrata-servisna-reg-1-god-oglas-41482497
23,https://www.njuskalo.hr/auti/citro-n-c4-grand-picasso-bluehdi-120-automatic-7siceva-odlicno-stanje-oglas-41596506
24,https://www.njuskalo.hr/auti/citro-n-c4-picasso-1.6-hdi-automatik-navigacija-alu-reg-05-2024-oglas-41910874
25,https://www.njuskalo.hr/auti/citro-n-c3-1.2-61kw-83000km-oglas-41083726
26,https://www.njuskalo.hr/auti/citro-n-c4-picasso-1.6-hdi-reg-02-2024-oglas-39711800
27,https://www.njuskalo.hr/auti/citro-n-c3-1.4-hdi-84-tkm-ko-nov-kred-kart-hr-auto-oglas-42097183
28,https://www.njuskalo.hr/auti/citro-n-ds3-1.2-vti-top-stanje-oglas-42273097
29,https://www.njuskalo.hr/novi-auti/citro-n-c4-feel-pack-puretech-130-bvm6-oglas-38526619
30,https://www.njuskalo.hr/novi-auti/citro-n-jumpy-xl-nivo2-2.0-bluehdi-145-bvm6-oglas-38013552
31,https://www.njuskalo.hr/auti/citro-n-berlingo-1.5-bluehdi-xl-business-feel-100-37-000-km-oglas-41988675
