linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,51.060323227789,10.614080613785,Njemačka,,Cupra,Formentor,43.450 €,2022. godište,Benzin,287 kW,terensko vozilo / SUV / pick up,5,31135 km,https://www.njuskalo.hr/auti/cupra-formentor-2.5-tsi-dsg-vz5-4drive-acc-navi-kam-360-koza-apple-1vl-oglas-41735616
2,51.064652743289,10.612361710958,Njemačka,,Cupra,Formentor,29.470 €,2022. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,20510 km,https://www.njuskalo.hr/auti/cupra-formentor-2.0-tdi-4drive-dsg-acc-navi-kam-alu-led-virtual-apple-oglas-41719877
3,51.060323227789,10.614080613785,Njemačka,,Cupra,Formentor,26.950 €,2022. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,36328 km,https://www.njuskalo.hr/auti/cupra-formentor-1.5-tsi-acc-navi-kam-3-zone-led-vc-apple-koza-1-vl-oglas-41718185
4,51.060323227789,10.614080613785,Njemačka,,Cupra,Formentor,23.990 €,2021. godište,Plug-in hibrid,150 kW,terensko vozilo / SUV / pick up,5,25499 km,https://www.njuskalo.hr/auti/cupra-formentor-1.4-ehybrid-plug-in-13kwh-wltp-59km-acc-led-pdc-virtua-oglas-41717615
5,51.061207835484,10.615805014144,Njemačka,,Cupra,Formentor,24.870 €,2021. godište,Plug-in hibrid,150 kW,terensko vozilo / SUV / pick up,5,32048 km,https://www.njuskalo.hr/auti/cupra-formentor-1.4-ehybrid-plug-in-13kwh-wltp-59km-navi-pdc-virtual-c-oglas-41696102
6,46.393981184294,16.42244501437,Međimurska,Čakovec,Cupra,Formentor,36.800 €,2023. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,13057 km,https://www.njuskalo.hr/auti/cupra-formentor-2.0-tdi-automatik-oglas-42307245
7,45.719036,16.073858,Zagrebačka,Velika Gorica,Cupra,Formentor,63.000 €,2022. godište,Benzin,287 kW,terensko vozilo / SUV / pick up,5,26000 km,https://www.njuskalo.hr/auti/cupra-formentor-2.5-tsi-automatik-oglas-42301262
8,46.02204083206569,16.553593316668373,Koprivničko-križevačka,Križevci,Cupra,Formentor,1 €,2022. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,49000 km,https://www.njuskalo.hr/auti/cupra-formentor-2.0-tdi-4drive-dsg-kuka-oglas-42019130
9,45.797554,15.947823,Grad Zagreb,Trešnjevka - Sjever,Cupra,Formentor,34.900 €,2023. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,8000 km,https://www.njuskalo.hr/auti/cupra-formentor-1.5-tsi-dsg-oglas-42196606
10,51.061660748338,10.609426227798,Njemačka,,Cupra,Formentor,26.500 €,2021. godište,Hibrid,180 kW,terensko vozilo / SUV / pick up,4,87425 km,https://www.njuskalo.hr/auti/cupra-formentor-1.4-ehybrid-vz-dsg-oglas-42289767
11,45.82574,16.046907,Grad Zagreb,Donja Dubrava,Cupra,Formentor,46.000 €,2021. godište,Benzin,228 kW,terensko vozilo / SUV / pick up,5,39000 km,https://www.njuskalo.hr/auti/cupra-formentor-2.0-tsi-4-drive-automatik-oglas-41466956
12,45.35306370236702,14.420075780459607,Primorsko-goranska,Rijeka,Cupra,Formentor,32.900 €,2023. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,22714 km,https://www.njuskalo.hr/auti/cupra-formentor-1.5-tsi-dsg-oglas-42287044
13,45.352322471475375,14.414499403273746,Primorsko-goranska,Rijeka,Cupra,Formentor,32.900 €,2023. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,24237 km,https://www.njuskalo.hr/auti/cupra-formentor-1.5-tsi-oglas-42286968
14,46.393981184294,16.42244501437,Međimurska,Čakovec,Cupra,Formentor,34.800 €,2022. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,25748 km,https://www.njuskalo.hr/auti/cupra-formentor-2.0-tdi-evo-dsg-4drive-oglas-37666134
15,43.539829762949,16.47535175956,Splitsko-dalmatinska,Solin,Cupra,Formentor,33.900 €,2023. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,12193 km,https://www.njuskalo.hr/auti/cupra-formentor-1.5-tsi-fr-oglas-42286746
16,51.060857465689,10.610222052041,Njemačka,,Cupra,Leon,23.059 €,2021. godište,Hibrid,180 kW,limuzina,5,11876 km,https://www.njuskalo.hr/auti/cupra-leon-1.4-ehybrid-svojim-kamionima-uvozimo-registracije-oglas-42282572
17,51.060857465689,10.610222052041,Njemačka,,Cupra,Formentor,25.202 €,2022. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,50000 km,https://www.njuskalo.hr/auti/cupra-formentor-2.0-tdi-svojim-kamionima-uvozimo-registracije-oglas-42282494
18,51.060857465689,10.610222052041,Njemačka,,Cupra,Born,33.990 €,2022. godište,Električni,170 kW,hatchback,5,13500 km,https://www.njuskalo.hr/auti/cupra-born-eboost-svojim-kamionima-uvozimo-registracije-oglas-42282441
19,45.829253402728,16.05164144986,Grad Zagreb,Gornja Dubrava,Cupra,Formentor,37.000 €,2022. godište,Benzin,140 kW,terensko vozilo / SUV / pick up,5,20000 km,https://www.njuskalo.hr/auti/cupra-formentor-2.0-tsi-4drive-oglas-39303504
20,43.539829762949,16.47535175956,Splitsko-dalmatinska,Solin,Cupra,Formentor,36.728 €,2023. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,777 km,https://www.njuskalo.hr/auti/cupra-formentor-1.5-tsi-dsg-oglas-42278616
21,43.739135673528,15.894406318183,Šibensko-kninska,Šibenik,Cupra,Ateca,38.500 €,2020. godište,Benzin,221 kW,terensko vozilo / SUV / pick up,5,32000 km,https://www.njuskalo.hr/auti/cupra-ateca-2.0-tsi-oglas-41949044
22,45.833855,16.060408,Grad Zagreb,Gornja Dubrava,Cupra,Formentor,30.900 €,2021. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,52150 km,https://www.njuskalo.hr/auti/cupra-formentor-1.5-tsi-oglas-41752915
23,43.527730250916,16.478327683471,Splitsko-dalmatinska,Split,Cupra,Formentor,34.950 €,2023. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,12276 km,https://www.njuskalo.hr/auti/cupra-formentor-2.0-tdi-evo-dsg-4drive-oglas-42271694
24,43.761159097684,15.781192193974,Šibensko-kninska,Vodice,Cupra,Formentor,31.900 €,2022. godište,Benzin,140 kW,terensko vozilo / SUV / pick up,5,35000 km,https://www.njuskalo.hr/auti/cupra-formentor-2.0-tsi-oglas-42269380
