linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,46.390085664801,16.435134049701,Međimurska,Čakovec,Dacia,Sandero,2.650 €,2009. godište,Benzin,55 kW,limuzina,5,206450 km,https://www.njuskalo.hr/auti/dacia-sandero-1.4-1-vlasnik-oglas-42239121
2,46.390085664801,16.435134049701,Međimurska,Čakovec,Dacia,Logan,4.950 €,2014. godište,Benzin,55 kW,karavan,5,98000 km,https://www.njuskalo.hr/auti/dacia-logan-1.2-16v-oglas-42045993
3,45.819956145369,15.838042222649,Grad Zagreb,Podsused - Vrapče,Dacia,Sandero,6.599 €,2019. godište,Benzin,54 kW,hatchback,5,86000 km,https://www.njuskalo.hr/auti/dacia-sandero-1.0-sce-oglas-42319650
4,45.793,16.025572,Grad Zagreb,Peščenica - Žitnjak,Dacia,Duster,12.390 €,2017. godište,Diesel,80 kW,terensko vozilo / SUV / pick up,5,132500 km,https://www.njuskalo.hr/auti/dacia-duster-1.5-dci-110-black-shadow-kamera-oglas-41758993
5,51.064645917226,10.613305819107,Njemačka,,Dacia,Duster,8.495 €,2014. godište,Diesel,79 kW,terensko vozilo / SUV / pick up,5,122090 km,https://www.njuskalo.hr/auti/dacia-duster-1.5-dci-laureate-navigacija-klima-pdc-alu-bt-oglas-41738163
6,51.064645917226,10.613305819107,Njemačka,,Dacia,Duster,10.980 €,2016. godište,Diesel,80 kW,terensko vozilo / SUV / pick up,5,114300 km,https://www.njuskalo.hr/auti/dacia-duster-1.5-dci-110-prestige-koza-navi-pdc-alu-led-serv-1-vl-oglas-41738275
7,51.06090255725,10.610154519506,Njemačka,,Dacia,Duster,18.690 €,2021. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,56850 km,https://www.njuskalo.hr/auti/dacia-duster-1.3-tce-4x4-celebration-navi-kam-alu-led-pdc-gr-sjed-oglas-41736925
8,51.06090255725,10.610154519506,Njemačka,,Dacia,Duster,22.990 €,2022. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,9200 km,https://www.njuskalo.hr/auti/dacia-duster-1.3-tce-prestige-auto-navi-kam-360-led-alu-apple-gr-sje-oglas-41736814
9,51.06090255725,10.610154519506,Njemačka,,Dacia,Duster,25.540 €,2023. godište,Diesel,85 kW,terensko vozilo / SUV / pick up,5,11500 km,https://www.njuskalo.hr/auti/dacia-duster-1.5-blue-dci-journey-navi-kam-360-auto-klima-led-apple-oglas-41736475
10,51.06090255725,10.610154519506,Njemačka,,Dacia,Duster,20.749 €,2023. godište,Benzin,74 kW,terensko vozilo / SUV / pick up,5,14900 km,https://www.njuskalo.hr/auti/dacia-duster-1.0-tce-lpg-journey-navi-kam-360-alu-led-pdc-apple-gr-sj-oglas-41736354
11,51.06090255725,10.610154519506,Njemačka,,Dacia,Duster,19.480 €,2022. godište,Benzin,67 kW,terensko vozilo / SUV / pick up,5,7700 km,https://www.njuskalo.hr/auti/dacia-duster-1.0-tce-100-prestige-navi-kam-alu-pdc-led-auto-klima-oglas-41736115
12,51.060275022218,10.611725188922,Njemačka,,Dacia,Jogger,25.990 €,2023. godište,Hibrid,140 kW,terensko vozilo / SUV / pick up,5,14700 km,https://www.njuskalo.hr/auti/dacia-jogger-1.6-tce-140-hybrid-navi-akm-alu-led-apple-gr-sjed-kuka-oglas-42049906
13,51.060275022218,10.611725188922,Njemačka,,Dacia,Jogger,21.980 €,2023. godište,Benzin,81 kW,terensko vozilo / SUV / pick up,5,5000 km,https://www.njuskalo.hr/auti/dacia-jogger-1.0-tce-extreme-7-sjed-navi-kam-apple-pdc-led-gr-sjed-oglas-42049829
14,51.060275022218,10.611725188922,Njemačka,,Dacia,Jogger,20.950 €,2023. godište,Benzin,81 kW,terensko vozilo / SUV / pick up,5,5700 km,https://www.njuskalo.hr/auti/dacia-jogger-1.0-tce-extreme-navi-kam-alu-led-pdc-gr-sjed-garancija-oglas-42049767
15,51.060275022218,10.611725188922,Njemačka,,Dacia,Jogger,23.990 €,2023. godište,Benzin,74 kW,terensko vozilo / SUV / pick up,5,26520 km,https://www.njuskalo.hr/auti/dacia-jogger-1.0-eco-g-extreame-lpg-navi-kam-pdc-alu-led-gr-sjedala-oglas-42049674
16,51.060176077053,10.612993808651,Njemačka,,Dacia,Jogger,19.980 €,2022. godište,Benzin,81 kW,terensko vozilo / SUV / pick up,5,33049 km,https://www.njuskalo.hr/auti/dacia-jogger-1.0-tce-extreme-navi-kam-pdc-alu-led-apple-gr-sjed-1vl-oglas-42018736
17,51.060176077053,10.612993808651,Njemačka,,Dacia,Jogger,19.560 €,2022. godište,Benzin,81 kW,terensko vozilo / SUV / pick up,5,20033 km,https://www.njuskalo.hr/auti/dacia-jogger-1.0-tce-extreme-7-sjedala-navi-kam-pdc-alu-auto-klima-oglas-42017949
18,51.060176077053,10.612993808651,Njemačka,,Dacia,Jogger,19.980 €,2022. godište,Benzin,74 kW,terensko vozilo / SUV / pick up,5,21300 km,https://www.njuskalo.hr/auti/dacia-jogger-1.0-eco-g-lpg-extreme-7-sjed-navi-kam-pdc-apple-1-vl-oglas-42016369
19,51.060176077053,10.612993808651,Njemačka,,Dacia,Jogger,20.950 €,2022. godište,Benzin,81 kW,terensko vozilo / SUV / pick up,5,14715 km,https://www.njuskalo.hr/auti/dacia-jogger-1.0-tce-comfort-navi-kam-pdc-alu-led-apple-kuka-serv-oglas-42015660
20,51.060176077053,10.612993808651,Njemačka,,Dacia,Jogger,17.250 €,2022. godište,Benzin,74 kW,terensko vozilo / SUV / pick up,5,19000 km,https://www.njuskalo.hr/auti/dacia-jogger-1.0-eco-g-lpg-comfort-navi-pdc-alu-led-apple-serv-1-vl-oglas-42014372
21,46.299343,16.398289,Varaždinska,Trnovec Bartolovečki,Dacia,Sandero,5.950 €,2014. godište,Benzin,55 kW,limuzina,5,140100 km,https://www.njuskalo.hr/auti/dacia-sandero-1.2-16v-oglas-42183920
22,44.892617101782,13.846481597821,Istarska,Pula,Dacia,Sandero,9.500 €,2017. godište,Diesel,55 kW,limuzina,5,74000 km,https://www.njuskalo.hr/auti/dacia-sandero-1.5-dci-oglas-41483075
23,46.173291190644,16.838114421054,Koprivničko-križevačka,Koprivnica,Dacia,Duster,17.399 €,2020. godište,Diesel,85 kW,terensko vozilo / SUV / pick up,5,104100 km,https://www.njuskalo.hr/auti/dacia-duster-1.5-dci-115-prestige-oprema-3-godine-jamstva-oglas-42270462
24,45.843587259951,15.829512475816,Grad Zagreb,Podsused - Vrapče,Dacia,Lodgy,11.999 €,2017. godište,Diesel,80 kW,monovolumen,5,150000 km,https://www.njuskalo.hr/auti/dacia-lodgy-stepway-1.5-dci-7-sjedala-navi-kamera-1-vl-servisna-oglas-40121650
25,46.040160687441,17.074512552093,Koprivničko-križevačka,Đurđevac,Dacia,Sandero,7.550 €,2014. godište,Benzin,66 kW,hatchback,5,116100 km,https://www.njuskalo.hr/auti/dacia-sandero-0.9-tce-90-2014-god-pismena-garancija-oglas-42009067
26,46.040160687441,17.074512552093,Koprivničko-križevačka,Đurđevac,Dacia,Sandero,8.300 €,2015. godište,Diesel,66 kW,hatchback,5,160030 km,https://www.njuskalo.hr/auti/dacia-sandero-1.5-dci-2015-pismena-garancija-oglas-41751202
28,45.28366261,18.825510125,Vukovarsko-srijemska,Vinkovci,Dacia,Duster,23.020 €,2023. godište,Diesel,85 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/dacia-duster-journey-1.5-blue-dci-isporuka-odmah-oglas-42319033
29,45.765335,15.940529,Grad Zagreb,Novi Zagreb - Zapad,Dacia,Sandero,7.700 €,2019. godište,Benzin,51 kW,hatchback,5,79000 km,https://www.njuskalo.hr/auti/dacia-sandero-1.0-sce-nije-uvoz-1-vlasnik-hr-auto-jamstvo-oglas-42086887
30,45.527264,18.596985,Osječko-baranjska,Čepin,Dacia,Sandero,7.700 €,2014. godište,Benzin,66 kW,hatchback,5,92500 km,https://www.njuskalo.hr/auti/dacia-sandero-0.9-tce-90-prestige-stepway-oglas-42318936
31,45.8094999047,15.861636350352,Grad Zagreb,Podsused - Vrapče,Dacia,Sandero,7.399 €,2019. godište,Benzin,66 kW,hatchback,5,85000 km,https://www.njuskalo.hr/auti/dacia-sandero-0.9-tce-90-prestige-oglas-42009512
32,45.82029984458567,16.08828902140962,Grad Zagreb,Sesvete,Dacia,Duster,14.299 €,2021. godište,Benzin,74 kW,terensko vozilo / SUV / pick up,4,58737 km,https://www.njuskalo.hr/auti/dacia-duster-1.0-tce-oglas-42107590
34,45.28366261,18.825510125,Vukovarsko-srijemska,Vinkovci,Dacia,Sandero,17.640,2023. godište,Benzin,74 kW,hatchback,5,,https://www.njuskalo.hr/novi-auti/dacia-sandero-stepway-essential-1.0-eco-g-isporuka-odmah-oglas-42112545
36,45.796900449597,15.907212469755,Grad Zagreb,Stenjevec,Dacia,Sandero,13.500 €,2022. godište,Benzin,67 kW,hatchback,5,4500 km,https://www.njuskalo.hr/auti/dacia-sandero-1.0-tce-oglas-39940649
37,45.80348,15.908546,Grad Zagreb,Stenjevec,Dacia,Sandero,5.999 €,2014. godište,Benzin,55 kW,limuzina,5,122853 km,https://www.njuskalo.hr/auti/dacia-sandero-1.2-16v-oglas-42239744
38,45.813293,15.903417,Grad Zagreb,Podsused - Vrapče,Dacia,Duster,18.900 €,2022. godište,Diesel,84 kW,terensko vozilo / SUV / pick up,5,74200 km,https://www.njuskalo.hr/auti/dacia-duster-1.5-blue-dci-4x4-84-kw-kupljen-hr-firmi-oglas-41641157
39,45.17862,18.035954,Brodsko-posavska,Slavonski Brod,Dacia,Sandero,8.350 €,2018. godište,Benzin,66 kW,hatchback,5,92000 km,https://www.njuskalo.hr/auti/dacia-sandero-benzin-plin-92000km-klima-hr-vozilo-oglas-42106540
40,45.287594,18.809908,Vukovarsko-srijemska,Vinkovci,Dacia,Logan,6.800 €,2014. godište,Diesel,55 kW,karavan,5,143000 km,https://www.njuskalo.hr/auti/dacia-logan-mcv-1.5-dci-75-klima-odrzavana-renault-mali-servis-oglas-42257321
41,45.81842,16.142216,Grad Zagreb,Sesvete,Dacia,Logan,5.800 €,2014. godište,Benzin,66 kW,limuzina,5,190000 km,https://www.njuskalo.hr/auti/dacia-logan-0.9-tce-90-ks-atest-plin-reg-10-24-klima-alu-servisna-oglas-41929740
44,,,Grad Zagreb,,Dacia,Duster,20.500 €,2023. godište,Diesel,85 kW,terensko vozilo / SUV / pick up,5,13409 km,https://www.njuskalo.hr/auti/dacia-duster-1.5-blue-dci-115-expression-oglas-42208412
45,,,Grad Zagreb,,Dacia,Sandero,14.800 €,2022. godište,Benzin,67 kW,hatchback,5,66034 km,https://www.njuskalo.hr/auti/dacia-sandero-stepway-1.0-tce-90-comfort-oglas-41540741
46,,,Grad Zagreb,,Dacia,Duster,20.500 €,2023. godište,Diesel,85 kW,terensko vozilo / SUV / pick up,5,12893 km,https://www.njuskalo.hr/auti/dacia-duster-1.5-blue-dci-115-expression-oglas-42275035
48,45.54461,18.642807,Osječko-baranjska,Osijek,Dacia,Dokker,10.550 €,2020. godište,Diesel,55 kW,monovolumen,4,110000 km,https://www.njuskalo.hr/auti/dacia-dokker-1.5-dci-75-n1-teretna-pdv-klima-leasing-jamstvo-oglas-41519891
49,45.54461,18.642807,Osječko-baranjska,Osijek,Dacia,Sandero,9.100 €,2020. godište,Diesel,55 kW,hatchback,5,150000 km,https://www.njuskalo.hr/auti/dacia-sandero-1.5dci-n1-teretni-klima-leasing-oglas-41376120
50,45.54461,18.642807,Osječko-baranjska,Osijek,Dacia,Sandero,10.750 €,2020. godište,Diesel,55 kW,hatchback,5,101000 km,https://www.njuskalo.hr/auti/dacia-sandero-1.5dci-hr-auto-klima-el-pod-pdv-jamstvo-leasing-oglas-41376062
51,45.54461,18.642807,Osječko-baranjska,Osijek,Dacia,Duster,9.150 €,2011. godište,Diesel,81 kW,terensko vozilo / SUV / pick up,5,224000 km,https://www.njuskalo.hr/auti/dacia-duster-1.5-dci-4x4-6-brzina-klima-alu-ime-oglas-42238517
52,46.165737,16.815243,Koprivničko-križevačka,Koprivnica,Dacia,Dokker,13.650 €,2018. godište,Diesel,66 kW,monovolumen,5,120000 km,https://www.njuskalo.hr/auti/dacia-dokker-stepway-1.5-dci-1-vlasnik-bogata-oprema-servisna-knjiga-oglas-41487592
53,45.817385882703,15.826007544584,Grad Zagreb,Podsused - Vrapče,Dacia,Sandero,3.850 €,2009. godište,Benzin,55 kW,hatchback,5,153000 km,https://www.njuskalo.hr/auti/dacia-sandero-1.2-laureate-153-000-km-full-oprema-odlicna-oglas-41610672
54,45.817834743217,16.093375201477,Grad Zagreb,Sesvete,Dacia,Duster,15.990 €,2018. godište,Diesel,80 kW,terensko vozilo / SUV / pick up,5,122000 km,https://www.njuskalo.hr/auti/dacia-duster-1.5-dci-automatik-navigacija-koza-kamera-360-led-svjetla-oglas-42181670
