linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,,,Grad Zagreb,Peščenica - Žitnjak,DFSK,Seres 5,59.900 €,2023. godište,Električni,155 kW,limuzina,5,,https://www.njuskalo.hr/novi-auti/dfsk-seres-5-59.900.00-oglas-42290222
2,,,Grad Zagreb,Peščenica - Žitnjak,DFSK,Seres 5,59.900 €,2023. godište,Električni,155 kW,limuzina,5,,https://www.njuskalo.hr/novi-auti/dfsk-seres-5-59.900.00-oglas-42290217
3,,,Grad Zagreb,Peščenica - Žitnjak,DFSK,Seres 3,41.130,2022. godište,Električni,62 kW,limuzina,5,,https://www.njuskalo.hr/novi-auti/dfsk-seres-3-41.130.80-oglas-42290213
4,45.801488108417,15.998111964132,Grad Zagreb,Trnje,DFSK,Seres 3,29.990 €,2022. godište,Električni,62 kW,terensko vozilo / SUV / pick up,5,29000 km,https://www.njuskalo.hr/auti/dfsk-seres-3-ev-automatik-oglas-42129018
5,51.060964889852,10.610067023321,Njemačka,,DFSK,Seres 3,32.130 €,2022. godište,Električni,120 kW,terensko vozilo / SUV / pick up,5,8300 km,https://www.njuskalo.hr/auti/dfsk-seres-3-elektro-luxury-2022-8300km-360kamera-53-kwh-baterija-oglas-38477811
6,51.060964889852,10.610067023321,Njemačka,,DFSK,Seres 3,26.990 €,2021. godište,Električni,120 kW,terensko vozilo / SUV / pick up,5,17000 km,https://www.njuskalo.hr/auti/dfsk-seres-3-elektro-2021-17000km-360kamera-53-kwh-baterija-oglas-38477761
7,51.060964889852,10.610067023321,Njemačka,,DFSK,Seres 3,29.990 €,2022. godište,Električni,120 kW,terensko vozilo / SUV / pick up,5,3200 km,https://www.njuskalo.hr/auti/dfsk-seres-3-luxury-2-paket-panorama-kamera360-navi-2022-oglas-38046386
8,,,Grad Zagreb,Peščenica - Žitnjak,DFSK,Seres 3,39.900 €,2022. godište,Električni,62 kW,limuzina,5,,https://www.njuskalo.hr/novi-auti/seres-3-ev-luxury-41.130.80-oglas-39933666
9,,,Grad Zagreb,Peščenica - Žitnjak,DFSK,Seres 3,39.900 €,2022. godište,Električni,62 kW,limuzina,5,,https://www.njuskalo.hr/novi-auti/dfsk-seres-3-41.130.80-oglas-39933665
10,,,Grad Zagreb,Peščenica - Žitnjak,DFSK,Seres 3,39.900 €,2022. godište,Električni,62 kW,limuzina,5,,https://www.njuskalo.hr/novi-auti/dfsk-seres-3-41.130.80-oglas-39933664
11,,,Grad Zagreb,Peščenica - Žitnjak,DFSK,Seres 3,30.990 €,2021. godište,Električni,62 kW,limuzina,5,12500 km,https://www.njuskalo.hr/novi-auti/seres-3-ev-luxury-309.900.00-kn-oglas-39323063
