linenum,url
1,https://www.njuskalo.hr/novi-auti/dfsk-seres-5-59.900.00-oglas-42290222
2,https://www.njuskalo.hr/novi-auti/dfsk-seres-5-59.900.00-oglas-42290217
3,https://www.njuskalo.hr/novi-auti/dfsk-seres-3-41.130.80-oglas-42290213
4,https://www.njuskalo.hr/auti/dfsk-seres-3-ev-automatik-oglas-42129018
5,https://www.njuskalo.hr/auti/dfsk-seres-3-elektro-luxury-2022-8300km-360kamera-53-kwh-baterija-oglas-38477811
6,https://www.njuskalo.hr/auti/dfsk-seres-3-elektro-2021-17000km-360kamera-53-kwh-baterija-oglas-38477761
7,https://www.njuskalo.hr/auti/dfsk-seres-3-luxury-2-paket-panorama-kamera360-navi-2022-oglas-38046386
8,https://www.njuskalo.hr/novi-auti/seres-3-ev-luxury-41.130.80-oglas-39933666
9,https://www.njuskalo.hr/novi-auti/dfsk-seres-3-41.130.80-oglas-39933665
10,https://www.njuskalo.hr/novi-auti/dfsk-seres-3-41.130.80-oglas-39933664
11,https://www.njuskalo.hr/novi-auti/seres-3-ev-luxury-309.900.00-kn-oglas-39323063
