linenum,url
1,https://www.njuskalo.hr/auti/dodge-ram-5.7-v8-oglas-41752227
2,https://www.njuskalo.hr/auti/dodge-ram-5.7-hemi-automatik-automatik-oglas-36848490
3,https://www.njuskalo.hr/auti/dodge-challenger-srt-3.5-v6-automatik-toop-stanje-oglas-41504741
4,https://www.njuskalo.hr/auti/dodge-ram-2500-oglas-41313655
5,https://www.njuskalo.hr/auti/dodge-ram-1500-3.0-ecodiesel-crewcab-longhorn-limited-edition-oglas-42252360
6,https://www.njuskalo.hr/auti/dodge-nitro-2.8-crd-oglas-42152604
7,https://www.njuskalo.hr/auti/dodge-avenger-2.0-crd-sxt-oglas-40970147
8,https://www.njuskalo.hr/auti/dodge-ram-5.7l-automatik-oglas-42107114
9,https://www.njuskalo.hr/auti/dodge-charger-sxt-automatik-oglas-39823510
10,https://www.njuskalo.hr/auti/dodge-ram-1500-automatik-oglas-41555939
11,https://www.njuskalo.hr/auti/dodge-nitro-2.8-crd-oglas-41479655
12,https://www.njuskalo.hr/auti/dodge-ram-hemi-5.7-v8-automatik-oglas-31080284
13,https://www.njuskalo.hr/auti/dodge-charger-hemi-5.7-v8-automatik-oglas-31080263
14,https://www.njuskalo.hr/auti/dodge-challenger-3.6-hellcat-automatik-oglas-31080238
15,https://www.njuskalo.hr/auti/dodge-ram-srt-10-automatik-oglas-33341351
