linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.8031104,15.8564352,Grad Zagreb,Podsused - Vrapče,DS Automobiles,DS3 Crossback,27.500 €,2022. godište,Benzin,96 kW,hatchback,5,25300 km,https://www.njuskalo.hr/auti/ds-automobiles-ds3-crossback-rivoli-1.2-puretech-130-eat8-automatik-oglas-40050111
2,45.35276,14.363699,Primorsko-goranska,Rijeka,DS Automobiles,DS7 Crossback,25.999 €,2018. godište,Diesel,132 kW,hatchback,5,143239 km,https://www.njuskalo.hr/auti/ds7-crossback-2.0-hdi-rivoli-2018-full-navi-full-reg-1-god-oglas-40631230
3,45.089737,14.079857,Istarska,Labin,DS Automobiles,DS5,15.500 €,2016. godište,Diesel,147 kW,hatchback,5,123000 km,https://www.njuskalo.hr/auti/ds-automobiles-ds5-hibrid-4x4-automatik-oglas-42297506
4,45.807103073873,15.875600086277,Grad Zagreb,Stenjevec,DS Automobiles,DS7 Crossback,27.990 €,2020. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,119868 km,https://www.njuskalo.hr/auti/ds-automobiles-ds7-crossback-bluehdi-130-ks-automatik-sport-chic-oglas-41627172
5,45.82710652285361,15.860943067892496,Grad Zagreb,Podsused - Vrapče,DS Automobiles,DS3,26.250 €,2022. godište,Benzin,96 kW,terensko vozilo / SUV / pick up,5,17000 km,https://www.njuskalo.hr/auti/ds3-crossback-rivoli-puretech-130-eat8-akcija-oglas-40607624
6,,,Njemačka,,DS Automobiles,DS7 Crossback,28.250 €,2019. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,81150 km,https://www.njuskalo.hr/auti/ds-7-crossback-bluehdi-aut-130-performance-line-131-ks-tem-kam-gr-sj-oglas-42275947
7,,,Njemačka,,DS Automobiles,DS7 Crossback,38.800 €,2022. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,13380 km,https://www.njuskalo.hr/auti/ds-7-crossback-bluehdi-aut-130-performance-line-131-ks-acc-kam-gr-sj-oglas-42259420
8,46.239650275405,15.284325684897,Slovenija,,DS Automobiles,DS7,58.888 €,2023. godište,Plug-in hibrid,221 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/ds-automobiles-ds7-e-tense-hybrid-300km-4x4-eat8-performance-line-oglas-40384016
9,45.82488,16.099699,Grad Zagreb,Sesvete,DS Automobiles,DS7 Crossback,26.990 €,2018. godište,Diesel,130 kW,terensko vozilo / SUV / pick up,5,104411 km,https://www.njuskalo.hr/auti/dostupno-odmah-ds7-crossback-2.0-180-automatik-garancija-24mj-oglas-41696214
10,45.82488,16.099699,Grad Zagreb,Sesvete,DS Automobiles,DS3 Crossback,19.490 €,2019. godište,Benzin,96 kW,hatchback,5,111000 km,https://www.njuskalo.hr/auti/vozilo-dolasku-ds3-crossback-1.2-puretech-automatik-garancija-24mj-oglas-41688774
11,44.892617101782,13.846481597821,Istarska,Pula,DS Automobiles,DS7 Crossback,24.900 €,2018. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,142000 km,https://www.njuskalo.hr/auti/ds7-crossback-1.5-hdi-automatik-oglas-42219941
12,45.823938185,16.048836315000003,Grad Zagreb,Donja Dubrava,DS Automobiles,DS7 Crossback,28.900 €,2020. godište,Benzin,133 kW,terensko vozilo / SUV / pick up,5,98407 km,https://www.njuskalo.hr/auti/ds-automobiles-ds7-crossback-1.6-puretech-automatik-oglas-41475920
