linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.70543,16.114426,Zagrebačka,Velika Gorica - Okolica,Fiat,Grande Punto,3.990 €,2014. godište,Diesel,70 kW,limuzina,4,262000 km,https://www.njuskalo.hr/auti/fiat-linea-1.3-jtd-oglas-42278556
2,45.70543,16.114426,Zagrebačka,Velika Gorica - Okolica,Fiat,Grande Punto,3.500 €,2014. godište,Diesel,55 kW,hatchback,3,172000 km,https://www.njuskalo.hr/auti/fiat-grande-punto-1.3-jtd-oglas-42242122
4,44.056565999904,15.323784891834,Zadarska,Sukošan,Fiat,Punto Evo,4.900 €,2011. godište,Diesel,55 kW,hatchback,5,190000 km,https://www.njuskalo.hr/auti/fiat-grande-punto-1.3-multijet-16v-oglas-42293145
5,44.056565999904,15.323784891834,Zadarska,Sukošan,Fiat,500,14.499 €,2021. godište,Benzin,52 kW,hatchback,3,34000 km,https://www.njuskalo.hr/auti/fiat-500-1.0-gse-oglas-41264009
6,43.55112231361653,16.363656952741458,Splitsko-dalmatinska,Kaštela,Fiat,Panda,2.499 €,2005. godište,Benzin,40 kW,hatchback,5,245 km,https://www.njuskalo.hr/auti/fiat-panda-1.1-benzin-mod-2005-reg-01-2024-g-napravljen-servis-2.599-oglas-42056080
7,45.567845228079,18.650439558048,Osječko-baranjska,Osijek,Fiat,500,13.100 €,2019. godište,Benzin,51 kW,hatchback,3,38000 km,https://www.njuskalo.hr/auti/fiat-500-1.2-8v-lounge-reg-6-24-38.000km-odlicno-stanje-oglas-42191445
8,45.16938,17.993174,Brodsko-posavska,Slavonski Brod,Fiat,Fiorino,4.500 €,2011. godište,Diesel,55 kW,kombibus,5,230000 km,https://www.njuskalo.hr/auti/fiat-fiorino-1.3-jtd-klima-servo-abs-registriran-oglas-40981079
9,45.82222,15.875688,Grad Zagreb,Podsused - Vrapče,Fiat,500,9.950 €,2018. godište,Benzin,51 kW,limuzina,3,20000 km,https://www.njuskalo.hr/auti/fiat-500-1.2-8v-oglas-41999614
10,45.80539,15.883189,Grad Zagreb,Stenjevec,Fiat,500,6.950 €,2011. godište,Benzin,51 kW,kabriolet,2,128000 km,https://www.njuskalo.hr/auti/fiat-500-500-1.2-8v-oglas-40666262
11,45.84160672262,15.827984960416,Grad Zagreb,Podsused - Vrapče,Fiat,Panda,6.499 €,2007. godište,Diesel,51 kW,terensko vozilo / SUV / pick up,4,157000 km,https://www.njuskalo.hr/auti/fiat-panda-1.3-mjet-16v-4x4-climbing-klima-elek-paket-panorama-oglas-39803444
12,45.814866501673,15.841072171794,Grad Zagreb,Podsused - Vrapče,Fiat,Bravo,3.800 €,2008. godište,Benzin,66 kW,hatchback,5,188500 km,https://www.njuskalo.hr/auti/fiat-bravo-1.4-16v-lpg-reg-10-2024-oglas-42240999
13,46.040160687441,17.074512552093,Koprivničko-križevačka,Đurđevac,Fiat,500,7.800 €,2013. godište,Benzin,51 kW,limuzina,3,68557 km,https://www.njuskalo.hr/auti/fiat-500-1.2-2013-god-pismena-garancija-oglas-42318871
14,43.5747487190705,16.589066372197422,Splitsko-dalmatinska,Dugopolje,Fiat,Punto,1.000 €,2004. godište,Benzin,44 kW,hatchback,5,216781 km,https://www.njuskalo.hr/auti/fiat-punto-1.2-oglas-42174928
15,45.809227,15.914923,Grad Zagreb,Podsused - Vrapče,Fiat,Punto Evo,4.399 €,2011. godište,Benzin,51 kW,limuzina,3,146088 km,https://www.njuskalo.hr/auti/fiat-punto-evo-1.2-8v-klima-servo-abs-2011-god-oglas-41083928
16,45.813705,15.909839,Grad Zagreb,Podsused - Vrapče,Fiat,Grande Punto,3.999 €,2007. godište,Benzin,48 kW,limuzina,3,97085 km,https://www.njuskalo.hr/auti/fiat-grande-punto-1.2-8v-97.085-km-servisna-klima-city-servo-oglas-41480764
17,45.8096,15.947925,Grad Zagreb,Trešnjevka - Sjever,Fiat,Grande Punto,2.600 €,2008. godište,Diesel,66 kW,limuzina,5,214000 km,https://www.njuskalo.hr/auti/fiat-grande-punto-1.3-multijet-16v-oglas-40929699
19,46.084023,15.91447,Krapinsko-zagorska,Sveti Križ Začretje,Fiat,500,6.850 €,2012. godište,Benzin,51 kW,coupe,3,135000 km,https://www.njuskalo.hr/auti/fiat-500-oglas-41969776
20,43.560630537411,16.2973262729,Splitsko-dalmatinska,Kaštela,Fiat,Tipo,10.900 €,2019. godište,Benzin,70 kW,limuzina,5,75600 km,https://www.njuskalo.hr/auti/fiat-tipo-1.4-easy-oglas-42184458
21,44.859904706538245,13.875317470348053,Istarska,Pula,Fiat,Punto Evo,4.800 €,2011. godište,Benzin,51 kW,hatchback,3,140000 km,https://www.njuskalo.hr/auti/fiat-punto-evo-1.2-8v-oglas-42011028
23,46.266356848061,16.212322909325,Varaždinska,Maruševec,Fiat,Punto Evo,4.390 €,2012. godište,Diesel,62 kW,hatchback,5,165000 km,https://www.njuskalo.hr/auti/fiat-punto-evo-1.3-multijet-16v-garancija-12-mjeseci-oglas-41726589
24,45.832348,16.057304,Grad Zagreb,Donja Dubrava,Fiat,Seicento,1.100 €,2000. godište,Benzin,29 kW,coupe,3,114000 km,https://www.njuskalo.hr/auti/fiat-seicento-young-900-oglas-42270880
25,46.04291,15.989377,Krapinsko-zagorska,Bedekovčina,Fiat,Doblo,7.200 €,2013. godište,Diesel,77 kW,monovolumen,6,227500 km,https://www.njuskalo.hr/auti/fiat-doblo-1.6-multijet-16v-oglas-42318684
26,45.79774,15.916272,Grad Zagreb,Trešnjevka - Sjever,Fiat,Ducato,13.999 €,2012. godište,Diesel,85 kW,karavan,5,122000 km,https://www.njuskalo.hr/auti/fiat-ducato-2.0-jtd-klima-7-sjedala-maxi-oglas-42147426
27,45.79774,15.916272,Grad Zagreb,Trešnjevka - Sjever,Fiat,Doblo,9.000 €,2015. godište,Diesel,99 kW,kombibus,5,144000 km,https://www.njuskalo.hr/auti/fiat-doblo-2.0-multijet-16v-top-stanje-klima-navi-pdv-oglas-40359162
28,43.573380566921,16.593163545983,Splitsko-dalmatinska,Dugopolje,Fiat,500,9.950 €,2016. godište,Benzin,51 kW,coupe,3,82500 km,https://www.njuskalo.hr/auti/fiat-500-facelift-jamstvo-panorama-alu-mf-pdc-oglas-42274732
29,43.577078214857,16.59970398411,Splitsko-dalmatinska,Dugopolje,Fiat,500,9.250 €,2014. godište,Benzin,77 kW,coupe,5,100000 km,https://www.njuskalo.hr/auti/fiat-500-turbo-sport-105ks-jamstvo-digital-tacho-alu-17-mf-pdc-oglas-42224037
