linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,42.650210995207,18.097147607502,Dubrovačko-neretvanska,Dubrovnik,Ford,Mondeo,12.500 €,2017. godište,Diesel,88 kW,limuzina,5,178200 km,https://www.njuskalo.hr/auti/ford-mondeo-1.5-tdci-titanium-plus-full-koza-citaj-oglas-oglas-41290025
2,45.820363284904,16.16937099476,Grad Zagreb,Sesvete,Ford,Fiesta,11.500 €,2017. godište,Benzin,74 kW,hatchback,5,123000 km,https://www.njuskalo.hr/auti/ford-fiesta-1.0-titanium-led-panorama-kamera-navigacija-acc-oglas-41321704
4,45.565715641249,18.645699827411,Osječko-baranjska,Osijek,Ford,C-Max,4.250 €,2010. godište,Benzin,74 kW,monovolumen,5,170000 km,https://www.njuskalo.hr/auti/ford-c-max-1.6i-2009-g-lpg-plin-hr-auto-redizajn-kartice-oglas-42164089
5,45.80839889724,15.864990518889,Grad Zagreb,Stenjevec,Ford,Focus Karavan,5.500 €,2011. godište,Diesel,88 kW,karavan,5,247764 km,https://www.njuskalo.hr/auti/ford-focus-karavan-1.6-sport-reg-1-god-dvd-internet-navi-5.500-oglas-42066860
7,45.562302025,18.64516014,Osječko-baranjska,Osijek,Ford,Focus C-Max,4.250 €,2009. godište,Benzin,74 kW,monovolumen,5,170000 km,https://www.njuskalo.hr/auti/ford-c-max-1.6i-2009-g-lpg-plin-hr-auto-redizajn-kartice-oglas-41933956
8,45.75666,15.976146,Grad Zagreb,Novi Zagreb - Zapad,Ford,Focus Karavan,15.300 €,2016. godište,Diesel,136 kW,karavan,5,160000 km,https://www.njuskalo.hr/auti/ford-focus-karavan-2.0-tdci-oglas-41999589
9,45.826241861406,16.109110040386,Grad Zagreb,Sesvete,Ford,Focus Karavan,2.999 €,2008. godište,Diesel,66 kW,karavan,5,210000 km,https://www.njuskalo.hr/auti/ford-focus-karavan-1.6-tdci-oglas-42153619
10,45.820114,16.179863,Grad Zagreb,Sesvete,Ford,C-Max,3.950 €,2008. godište,Diesel,66 kW,terensko vozilo / SUV / pick up,5,198000 km,https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-oglas-40382110
11,45.82606,16.113707,Grad Zagreb,Sesvete,Ford,Focus,11.400 €,2015. godište,Diesel,88 kW,limuzina,5,157000 km,https://www.njuskalo.hr/auti/ford-focus-1.5-tdci-oglas-42254500
12,45.82606,16.113707,Grad Zagreb,Sesvete,Ford,Focus Karavan,10.300 €,2016. godište,Diesel,88 kW,karavan,5,90000 km,https://www.njuskalo.hr/auti/ford-focus-1.5-tdci-automatik-oglas-42141078
