linenum,url
1,https://www.njuskalo.hr/auti/ford-mondeo-1.5-tdci-titanium-plus-full-koza-citaj-oglas-oglas-41290025
2,https://www.njuskalo.hr/auti/ford-fiesta-1.0-titanium-led-panorama-kamera-navigacija-acc-oglas-41321704
3,https://www.njuskalo.hr/auti/ford-focus-1.6-cdti-2012-god-88kw-titanium-alu-17-cijena-7.400-oglas-41374026
4,https://www.njuskalo.hr/auti/ford-c-max-1.6i-2009-g-lpg-plin-hr-auto-redizajn-kartice-oglas-42164089
5,https://www.njuskalo.hr/auti/ford-focus-karavan-1.6-sport-reg-1-god-dvd-internet-navi-5.500-oglas-42066860
6,https://www.njuskalo.hr/auti/ford-focus-karavan-1.6-tdci-88kw-titanium-start-stop-temp-7.400-oglas-41373994
7,https://www.njuskalo.hr/auti/ford-c-max-1.6i-2009-g-lpg-plin-hr-auto-redizajn-kartice-oglas-41933956
8,https://www.njuskalo.hr/auti/ford-focus-karavan-2.0-tdci-oglas-41999589
9,https://www.njuskalo.hr/auti/ford-focus-karavan-1.6-tdci-oglas-42153619
10,https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-oglas-40382110
11,https://www.njuskalo.hr/auti/ford-focus-1.5-tdci-oglas-42254500
12,https://www.njuskalo.hr/auti/ford-focus-1.5-tdci-automatik-oglas-42141078
13,https://www.njuskalo.hr/auti/ford-focus-1.5-tdci-oglas-42176128
14,https://www.njuskalo.hr/auti/ford-focus-1.6-tdci-grijanje-sjedala-kuka-parking-senzori-oglas-42150522
15,https://www.njuskalo.hr/auti/ford-focus-st-2.0-st3-kamera-navi-senzori-oglas-41691129
16,https://www.njuskalo.hr/auti/ford-focus-karavan-1.5-tdci-xenon-grijanje-sjedala-jamstvo-oglas-42005802
17,https://www.njuskalo.hr/auti/ford-focus-1.6-oglas-41543135
18,https://www.njuskalo.hr/auti/ford-connect-van-1.5-tdci-2022-nije-uvoz-oglas-41769299
19,https://www.njuskalo.hr/auti/ford-focus-karavan-1.5-tdci-2017-registriran-2-24-oglas-41768718
20,https://www.njuskalo.hr/auti/ford-focus-karavan-1.5-oglas-42218260
21,https://www.njuskalo.hr/auti/ford-focus-1.5-tdci-titanium-oglas-41469877
22,https://www.njuskalo.hr/auti/ford-mondeo-2.0-tdci-nije-uvoz-179tkm-reg-godinu-dana-servisna-oglas-42298497
23,https://www.njuskalo.hr/auti/ford-ecosport-1.5-tdci-1-vlasnik-servisna-126tkm-jamstvo-ime-kupca-oglas-42008890
24,https://www.njuskalo.hr/auti/ford-focus-1.6tdci-165tkm-servisna-odllicno-stanje-unosa-ime-oglas-41352752
25,https://www.njuskalo.hr/auti/ford-fiesta-1.4-16v-benzin-plin-2010god-servo-2-kljuca-ime-kupca-oglas-40431511
26,https://www.njuskalo.hr/auti/ford-ranger-3.2-wildtrak-n1-oglas-40682733
27,https://www.njuskalo.hr/auti/ford-puma-1.0-ecoboost-mhev-acc-navi-pdc-led-alu-apple-gr-sjed-1-vl-oglas-41785607
28,https://www.njuskalo.hr/auti/ford-puma-1.0-ecoboost-hybrid-st-line-navi-pdc-alu-led-gr-sjed-apple-oglas-41785488
29,https://www.njuskalo.hr/auti/ford-kuga-2.0-tdci-titanium-auto-acc-navi-kam-pdc-alu-bi-xenon-oglas-41782159
30,https://www.njuskalo.hr/auti/ford-kuga-1.5-tdci-cool-connect-auto-navi-kam-pdc-alu-gr-sjed-serv-oglas-41781993
31,https://www.njuskalo.hr/auti/ford-kuga-2.0-tdci-cool-connect-navi-pdc-alu-led-apple-keyless-gr-sjed-oglas-41776347
32,https://www.njuskalo.hr/auti/ford-kuga-1.5-ecoboost-titanium-navi-pdc-bi-xenon-alu-gr-sjed-tempo-oglas-41775218
33,https://www.njuskalo.hr/auti/ford-kuga-2.0-ecoblue-4x4-st-line-x-auto-acc-pano-b-kam-hud-led-1vl-oglas-41775098
34,https://www.njuskalo.hr/auti/ford-kuga-1.5-ecoblue-titanium-auto-navi-kam-panorama-alu-led-apple-oglas-41774988
35,https://www.njuskalo.hr/auti/ford-kuga-1.5-ecoblue-st-line-auto-acc-navi-kam-led-hud-apple-1-vl-oglas-41774918
36,https://www.njuskalo.hr/auti/ford-kuga-2.0-ecoblue-mhev-titanium-navi-kam-360-pdc-alu-gr-sjed-1vl-oglas-41754761
37,https://www.njuskalo.hr/auti/ford-kuga-1.5-ecoblue-titanium-navi-kam-gr-sjed-virt-cockpit-apple-oglas-41754627
38,https://www.njuskalo.hr/auti/ford-ecosport-1.0-ecoboost-st-auto-navi-kam-pdc-alu-led-dab-gr-sjed-oglas-41754145
39,https://www.njuskalo.hr/auti/ford-ecosport-1.0-ecoboost-navi-pdc-alu-gr-sjed-led-tempo-servisna-oglas-41745571
40,https://www.njuskalo.hr/auti/ford-ecosport-1.5-tdci-titanium-b-navi-kam-pdc-alu-led-serv-1-vl-oglas-41753965
41,https://www.njuskalo.hr/auti/ford-ecosport-1.5-ti-vct-powershift-auto-klima-pdc-gr-sjed-serv-oglas-41745323
42,https://www.njuskalo.hr/auti/ford-ecosport-1.5-tdci-titanium-auto-klima-pdc-alu-keyless-bt-serv-oglas-41745209
43,https://www.njuskalo.hr/auti/ford-ecosport-1.5-ti-vct-titanium-pdc-alu-tempo-keyless-serv-1-vl-oglas-41744955
44,https://www.njuskalo.hr/auti/ford-fiesta-1.0-ekoboost-oglas-42053381
45,https://www.njuskalo.hr/auti/ford-transit-custom-2.2-tdci-klima-ime-kupca-model-2014-kartice-oglas-40120164
46,https://www.njuskalo.hr/auti/ford-ranger-3.2-wildtrak-dbl-cab-full-ime-kupca-model-2018-oglas-38222308
47,https://www.njuskalo.hr/auti/ford-fiesta-1.1-krediti-kartice-garancija-12-mjeseci-prvi-vlasnik-oglas-41778144
48,https://www.njuskalo.hr/auti/ford-c-max-1.5-tdci-oglas-42298708
49,https://www.njuskalo.hr/auti/ford-c-max-1.6-tdci-navi-pdc-oglas-41627764
50,https://www.njuskalo.hr/auti/ford-c-max-grand-1.5-tdci-2xpdc-oglas-40553880
51,https://www.njuskalo.hr/auti/ford-mondeo-karavan-1.6tdci-oglas-41932530
52,https://www.njuskalo.hr/auti/ford-ka-1.3-tdci-titanium-dig-klima-panorama-alu-pdc-reg-1-god-oglas-42221991
53,https://www.njuskalo.hr/auti/ford-focus-karavan-1.5-ecoblue-120ks-business-hr-navi-jamstvo-oglas-41537932
54,https://www.njuskalo.hr/auti/ford-c-max-1.5-tdci-business-hr-navi-pdc-alu-16-jamstvo-oglas-41680128
55,https://www.njuskalo.hr/auti/ford-grand-cmax-1.5tdci-titanium-park-pilot-winter-keyless-jamstvo-oglas-41522919
56,https://www.njuskalo.hr/auti/ford-c-max-1.5-tdci-titanium-oglas-41643768
57,https://www.njuskalo.hr/auti/ford-focus-1.6-oglas-42319327
58,https://www.njuskalo.hr/auti/ford-focus-st-line-navi-keyless-xenon-kompletna-servisna-oglas-42274731
59,https://www.njuskalo.hr/auti/ford-fiesta-1.6-oglas-42170317
60,https://www.njuskalo.hr/auti/ford-focus-karavan-1.6tdci-titanium-parking-kamera-pdc-navigacija-oglas-42072623
61,https://www.njuskalo.hr/auti/ford-focus-1.6-tdci-titanium-navi-park-pilot-pdc-regan-godinu-dana-oglas-42021955
62,https://www.njuskalo.hr/auti/ford-mondeo-karavan-1.5-tdci-navi-pdc-wp-samo-72.000km-jamstvo12mj-oglas-39360852
63,https://www.njuskalo.hr/auti/ford-focus-1.5-tdci-titanium-leasing-rata-235-navi-1-vl-servisn-oglas-42130155
64,https://www.njuskalo.hr/auti/ford-fiesta-1.0-140ks-black-edition-sport-oglas-41371899
