linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.802022308718,15.891210575288,Grad Zagreb,Podsused - Vrapče,Honda,Accord,4.450 €,2005. godište,Diesel,103 kW,limuzina,4,270000 km,https://www.njuskalo.hr/auti/honda-accord-2.2-sport-oglas-42256731
2,45.5455737007018,18.71250760508695,Osječko-baranjska,Osijek,Honda,Civic,21.400 €,2019. godište,Diesel,88 kW,limuzina,4,62700 km,https://www.njuskalo.hr/auti/honda-civic-1.6-dtec-automatik-led-f1-pdc-kamerom-oglas-42241803
3,45.710358,16.071877,Zagrebačka,Velika Gorica,Honda,Civic,8.000 €,2012. godište,Diesel,110 kW,hatchback,5,199450 km,https://www.njuskalo.hr/auti/honda-civic-2.2-sport-oglas-42221408
4,45.883471509660055,16.83343512412272,Bjelovarsko-bilogorska,Bjelovar,Honda,CR-V,14.950 €,2014. godište,Diesel,88 kW,terensko vozilo / SUV / pick up,5,169054 km,https://www.njuskalo.hr/auti/honda-cr-v-1.6-dtec-kamera-dgt-klima-2xpdc-perla-bijela-alu-oglas-40752927
5,46.216763,16.917084,Koprivničko-križevačka,Drnje,Honda,Civic,7.700 €,2012. godište,Diesel,110 kW,hatchback,5,238000 km,https://www.njuskalo.hr/auti/honda-civic-2.2d-2012g-top-stanje-oglas-38415100
7,45.814766,15.881865,Grad Zagreb,Stenjevec,Honda,Civic,6.500 €,1998. godište,Benzin,118 kW,limuzina,4,280000 km,https://www.njuskalo.hr/auti/honda-civic-1.6-vti-reg-08-2024-izvrsno-stanje-oglas-42177475
8,45.814766,15.881865,Grad Zagreb,Stenjevec,Honda,Accord,5.500 €,2007. godište,Diesel,103 kW,limuzina,4,229000 km,https://www.njuskalo.hr/auti/honda-accord-2.2i-cdti-sport-oglas-41496966
9,45.80082,15.994219,Grad Zagreb,Sesvete,Honda,Civic,10.999 €,2016. godište,Diesel,88 kW,hatchback,5,130000 km,https://www.njuskalo.hr/auti/honda-civic-1.6-odlicno-stanje-alu-dva-kljuca-6-brzina-oglas-39334172
10,45.36712079582,14.392056837757,Primorsko-goranska,Viškovo,Honda,CR-V,8.300 €,2010. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,313000 km,https://www.njuskalo.hr/auti/honda-cr-v-2.2-4x4-executive-oglas-41298066
11,46.30085,16.404432,Varaždinska,Trnovec Bartolovečki,Honda,Civic,14.999 €,2017. godište,Diesel,88 kW,hatchback,5,95800 km,https://www.njuskalo.hr/auti/honda-civic-1.6-dtec-tourer-2017-servisna-navi-kamera-grij-sjed-oglas-41734115
12,46.316033007983,16.338159074272,Varaždinska,Varaždin,Honda,Civic,14.000 €,2016. godište,Benzin,73 kW,hatchback,5,78900 km,https://www.njuskalo.hr/auti/honda-civic-1.4-vtec-sport-dolasku-17-alu-navi-jamstvo-oglas-42318226
13,45.8100841859,16.048431833649,Grad Zagreb,Peščenica - Žitnjak,Honda,Civic,35.600 €,2018. godište,Benzin,235 kW,hatchback,5,134000 km,https://www.njuskalo.hr/auti/honda-civic-2.0t-oglas-42236435
14,45.941444,15.8773155,Zagrebačka,Jakovlje,Honda,Civic,6.650 €,2010. godište,Benzin,73 kW,hatchback,5,140000 km,https://www.njuskalo.hr/auti/honda-civic-1.4-vtec-sport-100-ks-oglas-42257452
15,46.290066,16.192617,Varaždinska,Maruševec,Honda,Civic,5.600 €,2006. godište,Benzin,61 kW,limuzina,5,192000 km,https://www.njuskalo.hr/auti/honda-civic-1.4-sport-oglas-41581714
16,45.828201320384,16.104340713954,Grad Zagreb,Sesvete,Honda,Civic,17.500 €,2018. godište,Diesel,88 kW,hatchback,5,94000 km,https://www.njuskalo.hr/auti/honda-civic-1.6i-dtec-xenon-navi-rcam-bluetooth-tempomat-2018-jamstvo-oglas-40508616
17,45.828201320384,16.104340713954,Grad Zagreb,Sesvete,Honda,Civic,17.900 €,2019. godište,Diesel,88 kW,hatchback,5,93000 km,https://www.njuskalo.hr/auti/honda-civic-1.6-dtec-alu-navi-xenon-r-cam-tempomat-2018-jamstvo-oglas-40815678
18,45.556496,18.678608,Osječko-baranjska,Osijek,Honda,Civic,17.990 €,2018. godište,Benzin,95 kW,limuzina,5,42000 km,https://www.njuskalo.hr/auti/honda-civic-1.0t-prvi-vlasnik-42000-tkm-servisna-knjiga-top-auto-oglas-42024271
19,45.3691,14.388825,Primorsko-goranska,Viškovo,Honda,FR-V,4.900 €,2005. godište,Benzin,110 kW,monovolumen,5,227000 km,https://www.njuskalo.hr/auti/honda-fr-v-2.0-oglas-41290545
20,45.542606132292,18.646483094894,Osječko-baranjska,Osijek,Honda,Civic,11.999 €,2014. godište,Diesel,88 kW,hatchback,5,132000 km,https://www.njuskalo.hr/auti/honda-civic-1.6-dtec-climatronic-led-p-kamera-abs-tempomat-jamstvo-oglas-40333594
21,45.352590481024,14.369690809521,Primorsko-goranska,Rijeka,Honda,Jazz,6.990 €,2012. godište,Benzin,66 kW,limuzina,5,181000 km,https://www.njuskalo.hr/auti/honda-jazz-1.2-lpg-tvornicki-plin-oglas-41810207
22,45.454831456434,16.383774595952,Sisačko-moslavačka,Sisak,Honda,Jazz,2.999 €,2007. godište,Benzin,61 kW,hatchback,5,268000 km,https://www.njuskalo.hr/auti/honda-jazz-1.4-oglas-28299193
23,46.066704,15.787187,Krapinsko-zagorska,Tuhelj,Honda,Civic,15.700 €,2018. godište,Benzin,95 kW,hatchback,5,84000 km,https://www.njuskalo.hr/auti/honda-civic-1.0t-vtec-130ks-oglas-40188272
24,45.552431269416,18.642146033633,Osječko-baranjska,Osijek,Honda,Civic,19.999 €,2019. godište,Benzin,134 kW,limuzina,5,105523 km,https://www.njuskalo.hr/auti/honda-civic-1.5t-automat-acc-lane-navi-park-kam-ser-knj-jamstvo-12mj-oglas-41642426
25,45.552424966162,18.64535670825,Osječko-baranjska,Osijek,Honda,CR-V,18.600 €,2017. godište,Diesel,88 kW,terensko vozilo / SUV / pick up,5,115967 km,https://www.njuskalo.hr/auti/honda-cr-v-1.6i-dtec-led-park-kam-pdc-gr-sjed-servisna-jamstvo-12-mj-oglas-41612375
