linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.802022308718,15.891210575288,Grad Zagreb,Podsused - Vrapče,Hyundai,Accent,2.000 €,2007. godište,Benzin,71 kW,limuzina,4,285000 km,https://www.njuskalo.hr/auti/hyundai-accent-1.4-gl-reg-05-24-atestirani-plin-2027-oglas-42093111
2,45.756639045693,16.073333432174,Zagrebačka,Velika Gorica - Okolica,Hyundai,i30,5.499 €,2009. godište,Benzin,80 kW,limuzina,5,132000 km,https://www.njuskalo.hr/auti/hyundai-i30-1.4-132-tkm-nov-nov-hr-auto-kred-kart-oglas-41464960
4,46.392597475777,16.425015639394,Međimurska,Čakovec,Hyundai,Tucson,35.900 €,2023. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/hyundai-tucson-nx4-n-line-1.6t-150-7dct-2wd-48v-premium-oglas-42319645
5,45.17016,17.992455,Brodsko-posavska,Slavonski Brod,Hyundai,Tucson,18.900 €,2018. godište,Diesel,85 kW,terensko vozilo / SUV / pick up,5,163300 km,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-163tkm-jamstvo-euro-kuka-2018god-ime-kupca-oglas-42085546
6,45.17864,18.00021,Brodsko-posavska,Slavonski Brod,Hyundai,i10,6.999,2015. godište,Benzin,48 kW,hatchback,5,117800 km,https://www.njuskalo.hr/auti/hyundai-i10-1.0.2015-god-117tkm-klima-servo-tempomat-ime-kupca-oglas-41483301
7,51.064085837931,10.615196996703,Njemačka,,Hyundai,Ioniq 6,53.290 €,2023. godište,Električni,168 kW,limuzina,4,10000 km,https://www.njuskalo.hr/auti/hyundai-ioniq-6-uniq-long-range-77-kwh-545km-wltp-panorama-acc-hud-oglas-41510321
8,51.064085837931,10.615196996703,Njemačka,,Hyundai,Ioniq 6,52.989 €,2023. godište,Električni,239 kW,limuzina,4,6000 km,https://www.njuskalo.hr/auti/hyundai-ioniq-6-uniq-long-range-4x4-77-kwh-583km-wltp-pano-acc-matrix-oglas-41508548
9,51.064085837931,10.615196996703,Njemačka,,Hyundai,Ioniq 6,50.990 €,2023. godište,Električni,168 kW,limuzina,4,9990 km,https://www.njuskalo.hr/auti/hyundai-ioniq-6-uniq-long-range-77.4-kwh-614km-wltp-panorama-acc-oglas-41508438
10,51.062950377883,10.609316187463,Njemačka,,Hyundai,Ioniq 5,44.580 €,2022. godište,Električni,160 kW,terensko vozilo / SUV / pick up,5,28000 km,https://www.njuskalo.hr/auti/hyundai-ioniq-5-uniq-long-range-72.6-kwh-488km-wltp-panorama-acc-koza-oglas-41479995
11,51.062950377883,10.609316187463,Njemačka,,Hyundai,Ioniq 5,39.990 €,2021. godište,Električni,225 kW,terensko vozilo / SUV / pick up,5,14000 km,https://www.njuskalo.hr/auti/hyundai-ioniq-5-long-range-4x4-306ks-72.6-kwh-460km-wltp-acc-temp-oglas-41479901
12,51.062950377883,10.609316187463,Njemačka,,Hyundai,Ioniq 5,39.888 €,2023. godište,Električni,173 kW,terensko vozilo / SUV / pick up,5,7500 km,https://www.njuskalo.hr/auti/hyundai-ioniq-5-4x4-235ks-58-kwh-362km-wltp-acc-temp-7500km-2023-oglas-41477841
13,51.062950377883,10.609316187463,Njemačka,,Hyundai,Ioniq 5,35.980 €,2022. godište,Električni,125 kW,terensko vozilo / SUV / pick up,5,19000 km,https://www.njuskalo.hr/auti/hyundai-ioniq-5-dynamiq-58-kwh-400km-wltp-led-nav-2022-hyundai-jamstvo-oglas-41475884
14,51.060572599803,10.614829920002,Njemačka,,Hyundai,Ioniq 5,35.997 €,2022. godište,Električni,125 kW,terensko vozilo / SUV / pick up,5,10000 km,https://www.njuskalo.hr/auti/hyundai-ioniq-5-matt-sivi-58-kwh-400km-wltp-2022-hyundai-jamstvo-oglas-41472283
15,51.060572599803,10.614829920002,Njemačka,,Hyundai,Bayon,21.990 €,2022. godište,Benzin,88 kW,terensko vozilo / SUV / pick up,5,16000 km,https://www.njuskalo.hr/auti/hyundai-bayon-1.0-t-gdi-48v-mhybrid-prime-120ks-dct-auto-acc-led-kam-oglas-41472110
16,45.80128,15.78693,Zagrebačka,Sveta Nedelja,Hyundai,i30,12.900 €,2018. godište,Benzin,73 kW,hatchback,5,48000 km,https://www.njuskalo.hr/auti/hyundai-i30-1.4-mpi-1-vlasnik-krediti-kartice-garancija-48.000-km-oglas-41691248
17,45.80539,15.883189,Grad Zagreb,Stenjevec,Hyundai,i10,6.900 €,2015. godište,Benzin,49 kW,limuzina,4,89000 km,https://www.njuskalo.hr/auti/hyundai-i10-1.0-go-like-klima-alu-5-vrata-odlican-reg-1-god-oglas-41082986
19,45.80539,15.883189,Grad Zagreb,Stenjevec,Hyundai,i10,4.350 €,2011. godište,Benzin,49 kW,hatchback,5,99000 km,https://www.njuskalo.hr/auti/hyundai-i10-1.1-5-star-facelift-odlican-servisna-reg-1-god-oglas-40666528
20,46.29205,16.396284,Varaždinska,Trnovec Bartolovečki,Hyundai,i20,14.950 €,2021. godište,Benzin,74 kW,coupe,5,24910 km,https://www.njuskalo.hr/auti/hyundai-i20-1.0-t-gdi-reg-god-dana-oglas-42055583
22,45.80539,15.883189,Grad Zagreb,Stenjevec,Hyundai,i30,5.950 €,2011. godište,Diesel,85 kW,karavan,4,138000 km,https://www.njuskalo.hr/auti/hyundai-i30-cw-1.6-crdi-fifa-edition-klima-servisna-reg-1-god-oglas-41629919
