linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,43.510036968401,16.43706398638,Splitsko-dalmatinska,Split,Infiniti,Q50,19.500 €,2018. godište,Diesel,125 kW,limuzina,4,65300 km,https://www.njuskalo.hr/auti/infiniti-q50-2.2d-premium-hr-vozilo-oglas-42301426
2,45.808125699985,15.980230932279,Grad Zagreb,Donji Grad,Infiniti,FX30,24.999 €,2012. godište,Diesel,175 kW,terensko vozilo / SUV / pick up,5,205000 km,https://www.njuskalo.hr/auti/infiniti-fx-gt-premium-v6-oglas-40753295
3,45.834118,16.061285,Grad Zagreb,Gornja Dubrava,Infiniti,Q30,17.400 €,2017. godište,Diesel,80 kW,hatchback,5,131614 km,https://www.njuskalo.hr/auti/infiniti-q30-crossover-automatic-f1-2017g-131tkm-led-alu-navi-18990e-oglas-40691588
4,45.823889737925,16.052061874232,Grad Zagreb,Donja Dubrava,Infiniti,FX30,16.999 €,2011. godište,Diesel,175 kW,terensko vozilo / SUV / pick up,5,183000 km,https://www.njuskalo.hr/auti/infiniti-fx30-30d-siber-360-kamera-bixenon-keyless-go-koza-21-oglas-40675475
5,45.823889737925,16.052061874232,Grad Zagreb,Donja Dubrava,Infiniti,FX50,12.999 €,2008. godište,Benzin,287 kW,terensko vozilo / SUV / pick up,5,300000 km,https://www.njuskalo.hr/auti/infiniti-fx50-lpg-led-panorama-kamera-tv-kupljen-hr-21-alu-oglas-41513940
6,45.81614,15.838415,Grad Zagreb,Podsused - Vrapče,Infiniti,Q30,18.000 €,2018. godište,Diesel,125 kW,hatchback,5,153121 km,https://www.njuskalo.hr/auti/infiniti-q30-2.2-d-oglas-40269351
7,45.750126074161,16.597020974055,Bjelovarsko-bilogorska,Čazma,Infiniti,Q30,19.700 €,2016. godište,Diesel,80 kW,hatchback,5,66200 km,https://www.njuskalo.hr/auti/infiniti-q30d-premium-a-t-oglas-41615139
8,,,Varaždinska,,Infiniti,Q30,17.900 €,2018. godište,Diesel,80 kW,hatchback,5,63982 km,https://www.njuskalo.hr/auti/infiniti-q30-1.5d-oglas-41430982
9,45.18051867007311,14.724254576340469,Primorsko-goranska,Crikvenica,Infiniti,Q50,14.500 €,2016. godište,Diesel,125 kW,limuzina,5,221000 km,https://www.njuskalo.hr/auti/infiniti-q50-2.2-d-automatik-oglas-38872455
10,45.207580914604,14.552373931488,Primorsko-goranska,Omišalj,Infiniti,Q30,15.900 €,2016. godište,Diesel,80 kW,hatchback,5,220000 km,https://www.njuskalo.hr/auti/infiniti-q30-1.5d-full-oprema-navi-360-kamere-oglas-42027969
11,45.558471953863,18.67418334529,Osječko-baranjska,Osijek,Infiniti,Q70,16.000 €,2016. godište,Diesel,125 kW,limuzina,4,264000 km,https://www.njuskalo.hr/auti/infiniti-q70-2.2-d-oglas-41461769
12,45.545915681625,18.689061281237,Osječko-baranjska,Osijek,Infiniti,Q60,45.500 €,2018. godište,Benzin,298 kW,coupe,2,91303 km,https://www.njuskalo.hr/auti/infiniti-q60-sport-tech-3.0t-awd-full-navigacija-leasing-autokredit-oglas-40398570
13,,,Zagrebačka,,Infiniti,Q50,16.900 €,2016. godište,Diesel,125 kW,limuzina,5,171805 km,https://www.njuskalo.hr/auti/infiniti-q50-2.2d-oglas-38077195
14,45.887190981322,16.423417165378,Zagrebačka,Vrbovec,Infiniti,Q30,20.000 €,2016. godište,Diesel,125 kW,hatchback,5,200000 km,https://www.njuskalo.hr/auti/infiniti-q30-2.2-d-automatik-oglas-42057799
15,45.548654948309,18.63950421993,Osječko-baranjska,Osijek,Infiniti,FX50,11.990 €,2008. godište,Benzin,287 kW,terensko vozilo / SUV / pick up,5,260000 km,https://www.njuskalo.hr/auti/infiniti-fx50-automatik-oglas-41582901
16,45.299299963723605,14.514917301477656,Primorsko-goranska,Kostrena,Infiniti,Q60,31.000 €,2018. godište,Benzin,298 kW,coupe,3,225000 km,https://www.njuskalo.hr/auti/infiniti-q60-rs-3.0-t-automatik-oglas-41991968
17,46.050068,16.08292,Krapinsko-zagorska,Zlatar-Bistrica,Infiniti,FX30,13.000 €,2011. godište,Diesel,183 kW,terensko vozilo / SUV / pick up,5,220000 km,https://www.njuskalo.hr/auti/infiniti-fx30-30d-oglas-42219000
18,51.060857465689,10.610222052041,Njemačka,,Infiniti,Q30,18.900 €,2018. godište,Diesel,80 kW,hatchback,5,78100 km,https://www.njuskalo.hr/auti/infiniti-q30-1.5-d-svojim-kamionima-uvozimo-registracije-oglas-42282759
19,51.060857465689,10.610222052041,Njemačka,,Infiniti,Q30,19.790 €,2019. godište,Benzin,115 kW,hatchback,5,18200 km,https://www.njuskalo.hr/auti/infiniti-q30-1.6-svojim-kamionima-uvozimo-registracije-oglas-42282737
20,46.384186,16.373152,Međimurska,Nedelišće,Infiniti,G35,14.200 €,2007. godište,Benzin,228 kW,limuzina,4,176000 km,https://www.njuskalo.hr/auti/infiniti-g35s-oglas-42279825
21,45.820154101932,16.107003165389,Grad Zagreb,Sesvete,Infiniti,FX30,16.500 €,2010. godište,Diesel,175 kW,terensko vozilo / SUV / pick up,4,180000 km,https://www.njuskalo.hr/auti/infiniti-fx30-diesel-automatik-oglas-41358823
22,45.82488,16.099699,Grad Zagreb,Sesvete,Infiniti,Q30,19.490 €,2018. godište,Benzin,115 kW,hatchback,5,110955 km,https://www.njuskalo.hr/auti/dostupno-odmah-infiniti-q30-1.6-t-automatik-garancija-24mj-oglas-40531048
23,45.82488,16.099699,Grad Zagreb,Sesvete,Infiniti,Q30,22.990 €,2017. godište,Benzin,155 kW,hatchback,5,85464 km,https://www.njuskalo.hr/auti/dostupno-odmah-infiniti-q30s-2.0t-automatik-12-2017-garancija-24mj-oglas-40485647
25,45.55103907623,18.647418783551,Osječko-baranjska,Osijek,Infiniti,Q60,28.800 €,2019. godište,Benzin,155 kW,coupe,2,101000 km,https://www.njuskalo.hr/auti/infiniti-q60-2.0t-oglas-41620072
