linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.746548,16.612787,Bjelovarsko-bilogorska,Čazma,Jaguar,F-Pace,36.900 €,2018. godište,Diesel,132 kW,terensko vozilo / SUV / pick up,5,114000 km,https://www.njuskalo.hr/auti/jaguar-f-pace-2.0-d-oglas-41877264
2,45.349619975681,14.577003619272,Primorsko-goranska,Bakar,Jaguar,XE,18.499 €,2016. godište,Diesel,132 kW,limuzina,4,160000 km,https://www.njuskalo.hr/auti/jaguar-xe-2.0-d-oglas-41777446
3,45.834118,16.061285,Grad Zagreb,Gornja Dubrava,Jaguar,XE,17.990 €,2016. godište,Diesel,132 kW,limuzina,4,192030 km,https://www.njuskalo.hr/auti/jaguar-xe-2016g-2.0d-180ks-r-sport-automatic-8g-koza-navi-led-19980e-oglas-39453351
4,45.801132,16.06057,Grad Zagreb,Peščenica - Žitnjak,Jaguar,E-Pace,39.990 €,2018. godište,Diesel,110 kW,monovolumen,4,69736 km,https://www.njuskalo.hr/auti/jaguar-e-pace-2.0-d-awd-automatik-kamera-navigacija-senzori-alu-oglas-41612733
5,45.82570097845083,16.061482741666406,Grad Zagreb,Gornja Dubrava,Jaguar,XE,17.990 €,2015. godište,Diesel,132 kW,limuzina,5,105000 km,https://www.njuskalo.hr/auti/jaguar-xe-2.0-d-prestige-132kw-automatik-pdc-led-navi-kamera-garancija-oglas-41716513
7,45.800701012581,15.972788138112,Grad Zagreb,Trnje,Jaguar,F-Pace,35.835 €,2018. godište,Diesel,132 kW,terensko vozilo / SUV / pick up,5,86127 km,https://www.njuskalo.hr/auti/jaguar-f-pace-2.0-d-automatik-navi-led-kamera-4x-garancija-oglas-40022243
8,45.800701012581,15.972788138112,Grad Zagreb,Trnje,Jaguar,S-Type,3.317,2000. godište,Benzin,171 kW,limuzina,4,107000 km,https://www.njuskalo.hr/auti/jaguar-type-2.5-v6-automatik-oglas-34924780
9,45.440521880552,18.885487634996,Vukovarsko-srijemska,Trpinja,Jaguar,F-Pace,26.999 €,2016. godište,Diesel,132 kW,terensko vozilo / SUV / pick up,5,196000 km,https://www.njuskalo.hr/auti/jaguar-f-pace-2.0-d-automatik-oglas-41981827
10,45.552431269416,18.642146033633,Osječko-baranjska,Osijek,Jaguar,F-Pace,33.999 €,2018. godište,Diesel,132 kW,terensko vozilo / SUV / pick up,5,66400 km,https://www.njuskalo.hr/auti/jaguar-f-pace-2.0d-automatik-navi-lane-park-kam-pdc-acc-jamstvo-12mj-oglas-41665475
11,45.552431269416,18.642146033633,Osječko-baranjska,Osijek,Jaguar,F-Pace,32.999 €,2017. godište,Diesel,132 kW,terensko vozilo / SUV / pick up,5,72636 km,https://www.njuskalo.hr/auti/jaguar-f-pace-2.0d-r-sport-automatik-lane-navi-park-kam-jamstvo-12mj-oglas-41523004
