linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,49.060812282022,10.616520016587,Njemačka,,Jeep,Wrangler,58.980 €,2021. godište,Benzin,200 kW,terensko vozilo / SUV / pick up,5,12000 km,https://www.njuskalo.hr/auti/jeep-wrangler-unlimited-phev-4xe-380ks-sahara-hardtop-wltp53km-2021-oglas-41617278
2,49.060812282022,10.616520016587,Njemačka,,Jeep,Wrangler,57.990 €,2021. godište,Benzin,200 kW,terensko vozilo / SUV / pick up,5,61000 km,https://www.njuskalo.hr/auti/jeep-wrangler-unlimited-phev-4xe-380ks-sahara-hardtop-wltp53km-2021-oglas-41617215
3,49.060812282022,10.616520016587,Njemačka,,Jeep,Wrangler,52.900 €,2020. godište,Diesel,147 kW,terensko vozilo / SUV / pick up,3,25000 km,https://www.njuskalo.hr/auti/jeep-wrangler-2.2-multijet-sahara-overland-acc-temp-navi-kamer-25000km-oglas-41609809
4,49.060812282022,10.616520016587,Njemačka,,Jeep,Wrangler,46.650 €,2019. godište,Diesel,147 kW,terensko vozilo / SUV / pick up,5,45000 km,https://www.njuskalo.hr/auti/jeep-wrangler-unlimited-2.2-multijet-rubicon-hardtop-led-1-vl-2019-oglas-41605809
5,49.060812282022,10.616520016587,Njemačka,,Jeep,Wrangler,45.990 €,2019. godište,Diesel,147 kW,terensko vozilo / SUV / pick up,3,47000 km,https://www.njuskalo.hr/auti/jeep-wrangler-2.2-multijet-sahara-hardtop-koza-grij-sic-navi-kamera-oglas-41587900
6,49.060812282022,10.616520016587,Njemačka,,Jeep,Wrangler,35.999 €,2018. godište,Diesel,147 kW,terensko vozilo / SUV / pick up,3,63000 km,https://www.njuskalo.hr/auti/jeep-wrangler-2.8-crd-sport-200ks-dual-top-hard-soft-top-2018-god-oglas-41587706
7,49.060812282022,10.616520016587,Njemačka,,Jeep,Wrangler,30.990 €,2015. godište,Diesel,147 kW,terensko vozilo / SUV / pick up,5,114000 km,https://www.njuskalo.hr/auti/jeep-wrangler-unlimited-sport-rucni-mjenjac-koza-navi-kamera-led-oglas-41585986
8,49.060812282022,10.616520016587,Njemačka,,Jeep,Wrangler,23.900 €,2010. godište,Diesel,130 kW,terensko vozilo / SUV / pick up,5,121000 km,https://www.njuskalo.hr/auti/jeep-wrangler-2.8-crd-unlimited-sport-automatik-navi-kamera-121000km-oglas-41584092
9,49.060812282022,10.616520016587,Njemačka,,Jeep,Wrangler,44.444 €,2016. godište,Diesel,147 kW,terensko vozilo / SUV / pick up,3,38000 km,https://www.njuskalo.hr/auti/jeep-wrangler-2.8-crd-rubicon-rucni-mj-cabrio-led-tabor-vinc-2016-oglas-41585852
10,49.060812282022,10.616520016587,Njemačka,,Jeep,Wrangler,26.850 €,2012. godište,Diesel,147 kW,terensko vozilo / SUV / pick up,5,79000 km,https://www.njuskalo.hr/auti/jeep-wrangler-unlimited-sport-oglas-41584905
