linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,46.390085664801,16.435134049701,Međimurska,Čakovec,Kia,Cerato,1.690 €,2006. godište,Diesel,75 kW,limuzina,5,213418 km,https://www.njuskalo.hr/auti/kia-cerato-1.5-crdi-1-vlasnik-oglas-42086431
2,46.170203338429,16.78860930011,Koprivničko-križevačka,Koprivnica,Kia,Rio,12.900 €,2019. godište,Benzin,62 kW,hatchback,5,48500 km,https://www.njuskalo.hr/auti/kia-rio-1.25-grijanje-sjedala-volana-parking-kamera-senzori-oglas-42263109
3,45.793,16.025572,Grad Zagreb,Peščenica - Žitnjak,Kia,Ceed (cee'd),14.650 €,2019. godište,Diesel,85 kW,hatchback,5,94000 km,https://www.njuskalo.hr/auti/kia-ceed-cee-d-1.6-crdi-navi-oglas-41469931
4,45.793,16.025572,Grad Zagreb,Peščenica - Žitnjak,Kia,Ceed (cee'd),8.190 €,2013. godište,Diesel,66 kW,hatchback,5,119000 km,https://www.njuskalo.hr/auti/kia-ceed-1.4-crdi-servisna-jamstvo-oglas-41443539
5,45.174404,18.002365,Brodsko-posavska,Slavonski Brod,Kia,Ceed (cee'd) Sportswagon,7.999,2013. godište,Diesel,81 kW,karavan,5,165123 km,https://www.njuskalo.hr/auti/kia-ceed-cee-d-sportswagon-1.6-crdi-servisna-165tkm-kamera-dig-klima-oglas-41138786
6,51.0604580749,10.611048207556,Njemačka,,Kia,Niro,22.990 €,2019. godište,Električni,150 kW,terensko vozilo / SUV / pick up,5,63500 km,https://www.njuskalo.hr/auti/kia-niro-e-niro-spirit-64kwh-wltp-455km-ccs-acc-navi-kam-vent-sjedala-oglas-42097447
7,51.060323227789,10.614080613785,Njemačka,,Kia,Niro,21.390 €,2021. godište,Hibrid,77 kW,terensko vozilo / SUV / pick up,5,52290 km,https://www.njuskalo.hr/auti/kia-niro-1.6-gdi-hybrid-acc-navi-kam-pdc-alu-led-gr-sjed-serv-1-vl-oglas-42095798
8,51.060323227789,10.614080613785,Njemačka,,Kia,Niro,21.990 €,2020. godište,Hibrid,77 kW,terensko vozilo / SUV / pick up,5,115000 km,https://www.njuskalo.hr/auti/kia-niro-1.6-spirit-hybrid-plug-in-8.9kwh-wltp-65km-acc-navi-kam-pano-oglas-42090756
10,51.060964889852,10.610067023321,Njemačka,,Kia,Niro,20.990 €,2020. godište,Hibrid,77 kW,terensko vozilo / SUV / pick up,5,63178 km,https://www.njuskalo.hr/auti/kia-niro-1.6-gdi-vision-acc-navi-kam-led-virtual-cockpit-apple-serv-oglas-42088838
11,51.060964889852,10.610067023321,Njemačka,,Kia,Niro,18.990 €,2018. godište,Plug-in hibrid,77 kW,terensko vozilo / SUV / pick up,5,97820 km,https://www.njuskalo.hr/auti/kia-niro-1.6-gdi-hybrid-plugin-8.9kwh-wltp-65km-navi-apple-kam-pdc-led-oglas-42088728
