linenum,url
1,https://www.njuskalo.hr/auti/lada-niva-1700-4x4-oglas-42292521
2,https://www.njuskalo.hr/auti/lada-niva-1.7-4x4-samo-64-t-km-originalno-stanje-vozila-oglas-42239338
3,https://www.njuskalo.hr/auti/lada-niva-n1-off-road-kuka-klima-zracni-jastuci-oglas-41249295
4,https://www.njuskalo.hr/auti/lada-niva-1.7-plin-registracija-04-2024-oglas-41597560
5,https://www.njuskalo.hr/auti/lada-niva-lada-niva-1.7i-4x4-oglas-41655824
6,https://www.njuskalo.hr/auti/lada-niva-4x4-1700-plin-oglas-41224727
7,https://www.njuskalo.hr/auti/lada-niva-1700-oglas-41930864
8,https://www.njuskalo.hr/auti/lada-niva-1700-oglas-41913557
9,https://www.njuskalo.hr/auti/lada-niva-1700-oglas-41550311
10,https://www.njuskalo.hr/auti/lada-niva-1700-oglas-41770729
11,https://www.njuskalo.hr/auti/lada-niva-1.7-4x4-gotovina-leasing-kredit-oglas-38766939
