linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,44.056565999904,15.323784891834,Zadarska,Sukošan,Lancia,Y,7.500 €,2011. godište,Diesel,70 kW,hatchback,5,135000 km,https://www.njuskalo.hr/auti/lancia-y-1.3-multijet-oglas-40189838
2,46.508614,16.438974,Međimurska,Mursko Središće,Lancia,Voyager,16.990 €,2014. godište,Diesel,120 kW,monovolumen,5,220000 km,https://www.njuskalo.hr/auti/lancia-voyager-2.8-crdi-16v-automatik-max-oprema-oglas-39319473
3,45.834118,16.061285,Grad Zagreb,Gornja Dubrava,Lancia,Y,5.990 €,2008. godište,Benzin,70 kW,hatchback,3,158445 km,https://www.njuskalo.hr/auti/lancia-ypsilon-1.4-16v-automatik-perla-boja-klima-izuzetno-stanje-5990-oglas-39776532
4,46.165737,16.815243,Koprivničko-križevačka,Koprivnica,Lancia,Musa,3.950 €,2009. godište,Benzin,57 kW,hatchback,5,132000 km,https://www.njuskalo.hr/auti/lancia-musa-1.4-8v-prvi-vlasnik-klima-pet-vrata-moguca-zamjena-oglas-38360550
5,43.508728792595,16.451361179352,Splitsko-dalmatinska,Split,Lancia,Y,16.590,2022. godište,Benzin,55 kW,hatchback,5,15000 km,https://www.njuskalo.hr/auti/lancia-ypsilon-1.0-ecochic-hybrid-oglas-37040866
6,43.508728792595,16.451361179352,Splitsko-dalmatinska,Split,Lancia,Y,16.590,2022. godište,Benzin,52 kW,coupe,5,15000 km,https://www.njuskalo.hr/auti/lancia-ypsilon-1.0-ecochic-hybrid-oglas-37040811
7,43.509788262787,16.455912764038,Splitsko-dalmatinska,Split,Lancia,Delta,6.500 €,2012. godište,Diesel,121 kW,hatchback,5,203000 km,https://www.njuskalo.hr/auti/lancia-delta-2.0-oglas-41551016
8,43.52491329701,16.473122273717,Splitsko-dalmatinska,Split,Lancia,Y,18.000 €,2022. godište,Hibrid,52 kW,hatchback,5,522 km,https://www.njuskalo.hr/auti/lancia-ypsilon-1.0-gl-hybrid-oglas-37903879
9,43.522440340987,16.458557427303,Splitsko-dalmatinska,Split,Lancia,Y,18.000 €,2022. godište,Benzin,52 kW,limuzina,5,15000 km,https://www.njuskalo.hr/auti/lancia-y-hybrid-gl-oglas-39264187
10,45.803543,15.723939,Zagrebačka,Samobor,Lancia,Y,2.450 €,2004. godište,Benzin,44 kW,coupe,5,230000 km,https://www.njuskalo.hr/auti/lancia-y-1.2-oglas-42291422
