linenum,url
1,https://www.njuskalo.hr/auti/lancia-y-1.3-multijet-oglas-40189838
2,https://www.njuskalo.hr/auti/lancia-voyager-2.8-crdi-16v-automatik-max-oprema-oglas-39319473
3,https://www.njuskalo.hr/auti/lancia-ypsilon-1.4-16v-automatik-perla-boja-klima-izuzetno-stanje-5990-oglas-39776532
4,https://www.njuskalo.hr/auti/lancia-musa-1.4-8v-prvi-vlasnik-klima-pet-vrata-moguca-zamjena-oglas-38360550
5,https://www.njuskalo.hr/auti/lancia-ypsilon-1.0-ecochic-hybrid-oglas-37040866
6,https://www.njuskalo.hr/auti/lancia-ypsilon-1.0-ecochic-hybrid-oglas-37040811
7,https://www.njuskalo.hr/auti/lancia-delta-2.0-oglas-41551016
8,https://www.njuskalo.hr/auti/lancia-ypsilon-1.0-gl-hybrid-oglas-37903879
9,https://www.njuskalo.hr/auti/lancia-y-hybrid-gl-oglas-39264187
10,https://www.njuskalo.hr/auti/lancia-y-1.2-oglas-42291422
11,https://www.njuskalo.hr/auti/lancia-delta-1.6-mjet-automatik-oglas-41549184
12,https://www.njuskalo.hr/auti/lancia-delta-1.6-multijet-16v-reg-09-24-odlicna-oglas-41716059
13,https://www.njuskalo.hr/auti/lancia-y-1.2-8v-plin-oglas-40299705
14,https://www.njuskalo.hr/auti/lancia-y-1.3-jtd-momo-design-oglas-41385744
15,https://www.njuskalo.hr/auti/lancia-y-1.3-mjt-oglas-41457208
16,https://www.njuskalo.hr/auti/lancia-delta-1.6-oglas-42184170
17,https://www.njuskalo.hr/auti/lancia-y-1.4-8v-oglas-41552944
18,https://www.njuskalo.hr/auti/lancia-y-1.2-8v-oglas-41690880
19,https://www.njuskalo.hr/auti/lancia-delta-1.6-jtdm-120ks-oglas-40475126
20,https://www.njuskalo.hr/auti/lancia-y-1.4-16v-oglas-41890281
21,https://www.njuskalo.hr/auti/lancia-lybra-2.4-jtd-lx-oglas-22686463
22,https://www.njuskalo.hr/auti/lancia-delta-1.4-t-jet-16v-oro-aca-sitz-heiz-alcantara-pdc-oglas-41536350
23,https://www.njuskalo.hr/auti/lancia-delta-1.9-oglas-41515063
24,https://www.njuskalo.hr/auti/lancia-y-1.2-8v-gold-bixenon-klima-sound-paket-2-seta-kotaca-2015-g-oglas-41632941
25,https://www.njuskalo.hr/auti/lancia-delta-1.6-jtd-m-jet-reg-07-24-top-stanje-oglas-41098417
26,https://www.njuskalo.hr/auti/lancia-dedra-1.6-le-oglas-33548531
27,https://www.njuskalo.hr/auti/lancia-delta-1.9-oglas-41657270
28,https://www.njuskalo.hr/auti/lancia-delta-1.6-automatik-oglas-41634225
