linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,43.507208510624,16.440792410717,Splitsko-dalmatinska,Split,Land Rover,Discovery Sport,23.900 €,2018. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,177250 km,https://www.njuskalo.hr/auti/land-rover-discovery-sport-2.0-d-automatik-4x4-model-reg-05-224-oglas-41155652
3,45.353985041805,14.367673265908,Primorsko-goranska,Rijeka,Land Rover,Range Rover Evoque,20.900 €,2016. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,106900 km,https://www.njuskalo.hr/auti/range-rover-evoque-2.0-ed4-pure-navigacija-150ks-jamstvo-1-g-oglas-41913007
4,51.0603192358,10.61406402766,Njemačka,,Land Rover,Freelander,13.990 €,2014. godište,Diesel,140 kW,terensko vozilo / SUV / pick up,5,144000 km,https://www.njuskalo.hr/auti/land-rover-freelander-2.2-sd4-se-4x4-automatik-panorama-bixenon-2014-oglas-41728518
5,51.0603192358,10.61406402766,Njemačka,,Land Rover,Freelander,13.650 €,2014. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,139000 km,https://www.njuskalo.hr/auti/land-rover-freelander-2.2-td4-4x4-zamjenjen-zup-remen-servisna-2014-oglas-41728424
6,51.0603192358,10.61406402766,Njemačka,,Land Rover,Freelander,10.990 €,2014. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,136000 km,https://www.njuskalo.hr/auti/land-rover-freelander-2.2-td4-automatik-4x4-navi-zimski-paket-2014-oglas-41728344
7,52.326525776001255,5.362607956206464,Nizozemska,,Land Rover,Range Rover,54.999 €,2018. godište,Diesel,250 kW,terensko vozilo / SUV / pick up,5,89000 km,https://www.njuskalo.hr/auti/land-rover-range-rover-4.4-sdv8-autobiography-panorama-acc-2018-oglas-41696137
8,51.061500573616,10.616056939999,Njemačka,,Land Rover,Range Rover,39.969 €,2014. godište,Diesel,250 kW,terensko vozilo / SUV / pick up,5,116000 km,https://www.njuskalo.hr/auti/land-rover-range-rover-4.4-sdv8-vogue-koza-oxford-bixenon-led-kamera-oglas-41695996
9,51.06043889570721,10.61448195136862,Njemačka,,Land Rover,Range Rover,94.890 €,2021. godište,Diesel,221 kW,terensko vozilo / SUV / pick up,5,53000 km,https://www.njuskalo.hr/auti/land-rover-range-rover-d300-awd-westminster-black-panora-led-hud-2021-oglas-41704950
10,51.061500573616,10.616056939999,Njemačka,,Land Rover,Range Rover Sport,48.900 €,2018. godište,Diesel,183 kW,terensko vozilo / SUV / pick up,5,123000 km,https://www.njuskalo.hr/auti/land-rover-range-rover-sport-3.0-hse-dynamic-black-pack-matrix-led-oglas-41695841
11,51.061500573616,10.616056939999,Njemačka,,Land Rover,Range Rover Sport,48.890 €,2019. godište,Diesel,225 kW,terensko vozilo / SUV / pick up,5,94000 km,https://www.njuskalo.hr/auti/land-rover-range-rover-sport-3.0-sdv6-hse-dynamic-matrix-led-navi-pro-oglas-41695740
