linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.810622363028,15.930631100166,Grad Zagreb,Trešnjevka - Sjever,Lexus,IS,11.900 €,2013. godište,Diesel,130 kW,limuzina,4,247000 km,https://www.njuskalo.hr/auti/lexus-is-220d-f-sport-130-kw-2013-oglas-41554104
2,51.063115652548,10.609390657306,Njemačka,,Lexus,RX,78.980 €,2023. godište,Hibrid,273 kW,terensko vozilo / SUV / pick up,5,9500 km,https://www.njuskalo.hr/auti/lexus-rx-500h-hybrid-direct4-ect-f-sport-performance-371ks-siber-hud-oglas-41764232
3,51.063115652548,10.609390657306,Njemačka,,Lexus,RX,76.990 €,2023. godište,Benzin,193 kW,terensko vozilo / SUV / pick up,5,7500 km,https://www.njuskalo.hr/auti/lexus-rx-450h-pluginhybrid-e-four-e-cvt-309ks-executive-wltp-65km-oglas-41758497
4,51.061770835583,10.6162175852,Njemačka,,Lexus,RX,58.990 €,2020. godište,Benzin,193 kW,terensko vozilo / SUV / pick up,5,42000 km,https://www.njuskalo.hr/auti/lexus-rx-450h-lang-luxury-6-sjedala-hybrid-e-four-312ks-siber-hud-oglas-41753368
5,51.064281364427,10.610784474806,Njemačka,,Lexus,RX,58.850 €,2021. godište,Benzin,193 kW,terensko vozilo / SUV / pick up,5,50000 km,https://www.njuskalo.hr/auti/lexus-rx-450h-luxury-hybrid-e-four-e-cvt-panorama-matrix-led-hud-2021-oglas-41752254
6,51.064281364427,10.610784474806,Njemačka,,Lexus,RX,49.990 €,2020. godište,Benzin,193 kW,terensko vozilo / SUV / pick up,5,45000 km,https://www.njuskalo.hr/auti/lexus-rx-450h-luxury-hybrid-e-four-e-cvt-panorama-mark-levinson-hud-oglas-41749416
7,51.064281364427,10.610784474806,Njemačka,,Lexus,RX,44.890 €,2019. godište,Hibrid,230 kW,terensko vozilo / SUV / pick up,5,69000 km,https://www.njuskalo.hr/auti/lexus-rx-450h-f-sport-hybrid-e-four-e-cvt-panorama-mark-levinson-hud-oglas-41747826
8,51.064281364427,10.610784474806,Njemačka,,Lexus,RX,42.900 €,2018. godište,Benzin,193 kW,terensko vozilo / SUV / pick up,5,88000 km,https://www.njuskalo.hr/auti/lexus-rx-450h-hybrid-e-four-e-cvt-luxury-panorama-hud-acc-led-2018-oglas-41747544
9,51.06090255725,10.610154519506,Njemačka,,Lexus,RX,39.950 €,2018. godište,Benzin,193 kW,terensko vozilo / SUV / pick up,5,69000 km,https://www.njuskalo.hr/auti/lexus-rx-450h-hybrid-e-four-e-cvt-executive-navi-acc-led-kamera-2018-oglas-41738890
10,51.060514891241,10.610895425112,Njemačka,,Lexus,UX,34.250 €,2021. godište,Električni,150 kW,terensko vozilo / SUV / pick up,5,16000 km,https://www.njuskalo.hr/auti/lexus-ux-300e-luxury-elektro-54-kwh-315km-wltp-acc-temp-bi-led-hud-oglas-41738513
11,51.06464591722568,10.613305819106737,Njemačka,,Lexus,UX,33.250 €,2021. godište,Električni,150 kW,terensko vozilo / SUV / pick up,5,40000 km,https://www.njuskalo.hr/auti/lexus-ux-300e-executive-elektro-54-kwh-315km-wltp-acc-temp-bi-led-oglas-41737445
12,49.060812282022,10.616520016587,Njemačka,,Lexus,UX,30.590 €,2022. godište,Benzin,112 kW,terensko vozilo / SUV / pick up,5,45000 km,https://www.njuskalo.hr/auti/lexus-ux-250h-style-184-ks-hybrid-e-cvt-bi-led-navi-acc-tempomat-2022-oglas-41737432
13,51.06090255725,10.610154519506,Njemačka,,Lexus,UX,28.989 €,2021. godište,Benzin,112 kW,terensko vozilo / SUV / pick up,5,17000 km,https://www.njuskalo.hr/auti/lexus-ux-250h-style-177-ks-hybrid-e-cvt-bi-led-navi-acc-tempomat-2021-oglas-41735922
14,51.064631259045,10.612139036175,Njemačka,,Lexus,UX,26.290 €,2020. godište,Benzin,112 kW,terensko vozilo / SUV / pick up,5,27000 km,https://www.njuskalo.hr/auti/lexus-ux-250h-177-ks-hybrid-e-cvt-bi-led-navi-acc-tempomat-2020-god-oglas-41735678
15,51.064631259045,10.612139036175,Njemačka,,Lexus,UX,24.450 €,2019. godište,Benzin,112 kW,terensko vozilo / SUV / pick up,5,83000 km,https://www.njuskalo.hr/auti/lexus-ux-250h-177-ks-hybrid-e-cvt-bi-led-navi-acc-tempomat-1-vlasnik-oglas-41735546
16,51.064631259045,10.612139036175,Njemačka,,Lexus,NX,57.890 €,2022. godište,Benzin,136 kW,terensko vozilo / SUV / pick up,5,8000 km,https://www.njuskalo.hr/auti/lexus-nx-450h-309ks-plug-in-hybrid-wltp65km-lexus-tvornicko-jamstvo-oglas-41731159
17,51.0603192358,10.61406402766,Njemačka,,Lexus,NX,47.480 €,2023. godište,Benzin,140 kW,terensko vozilo / SUV / pick up,5,5900 km,https://www.njuskalo.hr/auti/lexus-nx-350h-4x4-acc-temp-navi-led-2023-lexus-tvornicko-jamstvo-oglas-41730729
18,45.798401547919,15.89126886491,Grad Zagreb,Stenjevec,Lexus,RX,14.900 €,2008. godište,Benzin,155 kW,terensko vozilo / SUV / pick up,5,167000 km,https://www.njuskalo.hr/auti/lexus-rx-400h-oglas-41587967
19,45.800701012581,15.972788138112,Grad Zagreb,Trnje,Lexus,NX,26.544 €,2016. godište,Hibrid,145 kW,terensko vozilo / SUV / pick up,5,103113 km,https://www.njuskalo.hr/auti/lexus-nx-300h-business-hybrid-navi-4xgarancija-oglas-36220307
20,45.880046795,16.175583435,Grad Zagreb,Sesvete,Lexus,IS,6.200 €,2008. godište,Diesel,130 kW,limuzina,4,279 km,https://www.njuskalo.hr/auti/lexus-is-220d-oglas-41278575
21,46.154316635901,15.882063753609,Krapinsko-zagorska,Krapina,Lexus,LS,10.900 €,2008. godište,Hibrid,290 kW,limuzina,4,440650 km,https://www.njuskalo.hr/auti/lexus-ls-600-h-lang-4x4-automatic-automatik-oglas-42292998
22,,,Varaždinska,Varaždin,Lexus,RX,75.000 €,2018. godište,Hibrid,,terensko vozilo / SUV / pick up,5,40000 km,https://www.njuskalo.hr/auti/lexus-rx-450h-awd-oglas-27784091
23,45.550835,18.720259,Osječko-baranjska,Osijek,Lexus,GS,8.900 €,2008. godište,Benzin,183 kW,limuzina,4,330000 km,https://www.njuskalo.hr/auti/lexus-gs-300-automatik-oglas-42193923
24,45.823773487697,16.052053951919,Grad Zagreb,Donja Dubrava,Lexus,NX,63.900 €,2022. godište,Benzin,136 kW,terensko vozilo / SUV / pick up,5,71970 km,https://www.njuskalo.hr/auti/lexus-nx-450h-awd-f-sport-jamstvo-isporuka-odmah-oglas-42276996
25,45.344236754095,14.387944879627,Primorsko-goranska,Rijeka,Lexus,RX,42.000 €,2018. godište,Benzin,193 kW,terensko vozilo / SUV / pick up,5,145000 km,https://www.njuskalo.hr/auti/lexus-rx-rx-450-oglas-41400321
26,45.74237766,16.00929162,Grad Zagreb,Novi Zagreb - Istok,Lexus,UX,47.038 €,2022. godište,Benzin,112 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/lexus-ux-250h-awd-posebna-ponuda-oglas-42149995
27,45.73412627222,16.015791893005,Grad Zagreb,Novi Zagreb - Istok,Lexus,UX,55.054 €,2023. godište,Benzin,112 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/lexus-ux-250h-f-sport-design-awd-isporuka-odmah-oglas-40807446
28,45.74237766,16.00929162,Grad Zagreb,Novi Zagreb - Istok,Lexus,NX,66.184 €,2023. godište,Benzin,140 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/lexus-nx-nx-350h-oglas-40807264
29,45.823938185,16.048836315,Grad Zagreb,Donja Dubrava,Lexus,NX,76.602 €,2023. godište,Benzin,136 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/lexus-nx450h-awd-plug-in-samopuneci-hibrid-oglas-39722837
30,45.74237766,16.00929162,Grad Zagreb,Novi Zagreb - Istok,Lexus,RX,104.900 €,2022. godište,Hibrid,273 kW,terensko vozilo / SUV / pick up,5,13950 km,https://www.njuskalo.hr/auti/lexus-rx-500h-awd-f-sport-testno-vozilo-oglas-42163355
31,45.74237766,16.00929162,Grad Zagreb,Novi Zagreb - Istok,Lexus,GS,36.000 €,2014. godište,Hibrid,215 kW,limuzina,4,118500 km,https://www.njuskalo.hr/auti/lexus-gs-450h-sd-e-cvt-f-sport-premium-servisna-hr-auto-oglas-42085412
32,45.74237766,16.00929162,Grad Zagreb,Novi Zagreb - Istok,Lexus,RX,122.451 €,2023. godište,Hibrid,273 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/lexus-rx-500h-f-sport-automatik-isporuka-odmah-oglas-40807347
33,45.834349592759,16.115836295491,Grad Zagreb,Sesvete,Lexus,UX,33.200 €,2019. godište,Benzin,112 kW,terensko vozilo / SUV / pick up,5,50267 km,https://www.njuskalo.hr/auti/lexus-ux-250h-2.0-f-sport-prem-navi-head-up-cvt-garancija-x6-regan-oglas-41489061
34,,,Njemačka,,Lexus,LC,71.750 €,2018. godište,Benzin,267 kW,coupe,3,63412 km,https://www.njuskalo.hr/auti/lexus-lc-500h-3.5-v6-aut-359-ks-virt-pano-led-head-shz-kam-acc-dab-oglas-42026544
35,45.770767,15.947241,Grad Zagreb,Novi Zagreb - Zapad,Lexus,RX,46.000 €,2017. godište,Benzin,232 kW,terensko vozilo / SUV / pick up,5,70000 km,https://www.njuskalo.hr/auti/lexus-rx-450h-awd-oglas-40994451
36,45.7630819,15.9966221,Grad Zagreb,Novi Zagreb - Istok,Lexus,NX,33.800 €,2018. godište,Hibrid,114 kW,terensko vozilo / SUV / pick up,5,82667 km,https://www.njuskalo.hr/auti/lexus-nx-300h-awd-executive-oglas-41211768
37,43.054125729411,17.637979124602,Dubrovačko-neretvanska,Metković,Lexus,NX,26.999 €,2018. godište,Hibrid,114 kW,terensko vozilo / SUV / pick up,5,1 km,https://www.njuskalo.hr/auti/lexus-nx-nx-300h-awd-automatik-oglas-42223485
38,51.064669112476,10.612775587899,Njemačka,,Lexus,RX,52.929 €,2021. godište,Hibrid,230 kW,terensko vozilo / SUV / pick up,5,10100 km,https://www.njuskalo.hr/auti/lexus-rx-450h-f-sport-svojim-kamionima-uvozimo-registracije-oglas-42222887
39,51.064669112476,10.612775587899,Njemačka,,Lexus,UX,29.790 €,2019. godište,Hibrid,42.590 kW,terensko vozilo / SUV / pick up,5,42590 km,https://www.njuskalo.hr/auti/lexus-ux-ux-250h-awd-svojim-kamionima-uvozimo-registracije-oglas-42222797
40,46.401737,16.441496,Međimurska,Čakovec,Lexus,SC,15.000 €,2002. godište,Benzin,215 kW,kabriolet,2,185000 km,https://www.njuskalo.hr/auti/lexus-sc-430-oglas-41593039
41,51.06157961561733,10.61611050136329,Njemačka,,Lexus,RX,62.990 €,2022. godište,Benzin,193 kW,terensko vozilo / SUV / pick up,5,200 km,https://www.njuskalo.hr/auti/lexus-rx-rx-450-oglas-40545409
42,43.535687786641,16.516314486034,Splitsko-dalmatinska,Solin - Okolica,Lexus,LS,35.000 €,2015. godište,Benzin,272 kW,limuzina,4,160000 km,https://www.njuskalo.hr/auti/lexus-ls-ls-460-awd-oglas-42187251
43,51.060790548582,10.61032952504,Njemačka,,Lexus,UX,28.900 €,2021. godište,Benzin,112 kW,terensko vozilo / SUV / pick up,5,21000 km,https://www.njuskalo.hr/auti/lexus-ux-250h-style-svojim-kamionima-uvozimo-registracije-oglas-42185638
44,44.892617101782,13.846481597821,Istarska,Pula,Lexus,NX,30.500 €,2018. godište,Benzin,114 kW,terensko vozilo / SUV / pick up,5,116000 km,https://www.njuskalo.hr/auti/lexus-nx-300h-awd-automatik-oglas-40343006
45,51.062265604446,10.616361832556,Njemačka,,Lexus,IS,23.790 €,2018. godište,Benzin,133 kW,limuzina,4,94884 km,https://www.njuskalo.hr/auti/lexus-is-300h-svojim-kamionim-a-uvozimo-registracije-oglas-42131038
46,51.062265604446,10.616361832556,Njemačka,,Lexus,UX,19.500 €,2020. godište,Benzin,112 kW,terensko vozilo / SUV / pick up,5,53740 km,https://www.njuskalo.hr/auti/lexus-ux-ux-250h-oglas-42130973
47,45.829758,15.982254,Grad Zagreb,Gornji Grad - Medveščak,Lexus,RX,62.000 €,2021. godište,Hibrid,230 kW,terensko vozilo / SUV / pick up,5,32680 km,https://www.njuskalo.hr/auti/lexus-rx-rx-450-oglas-41913264
48,45.83436232334,15.940326639937,Grad Zagreb,Črnomerec,Lexus,IS,27.900 €,2018. godište,Hibrid,133 kW,limuzina,5,59450 km,https://www.njuskalo.hr/auti/lexus-is-300h-executive-oglas-41366795
49,45.75834328264,15.970145571631,Grad Zagreb,Novi Zagreb - Zapad,Lexus,RC,45.000 €,2019. godište,Benzin,133 kW,coupe,2,90000 km,https://www.njuskalo.hr/auti/lexus-rc-rc-300h-oglas-42085108
50,51.060330354668,10.614109629395,Njemačka,,Lexus,ES,36.798 €,2018. godište,Hibrid,160 kW,limuzina,5,48700 km,https://www.njuskalo.hr/auti/lexus-es-300h-svojim-kamionima-uvozimo-registracije-oglas-42034568
51,51.060330354668,10.614109629395,Njemačka,,Lexus,RX,48.330 €,2018. godište,Benzin,193 kW,terensko vozilo / SUV / pick up,5,34795 km,https://www.njuskalo.hr/auti/lexus-rx-450h-awd-svojim-kamionima-uvozimo-registracije-oglas-42033415
52,51.060330354668,10.614109629395,Njemačka,,Lexus,IS,23.990 €,2018. godište,Hibrid,164 kW,limuzina,5,94884 km,https://www.njuskalo.hr/auti/lexus-is-300h-automatik-svojim-kamionima-uvozimo-registracije-oglas-42031828
53,51.060330354668,10.614109629395,Njemačka,,Lexus,NX,35.197 €,2019. godište,Hibrid,145 kW,terensko vozilo / SUV / pick up,5,50300 km,https://www.njuskalo.hr/auti/lexus-nx-nx-300h-svojim-kamionima-uvozimo-registracije-oglas-42031202
54,51.060330354668,10.614109629395,Njemačka,,Lexus,UX,24.286 €,2021. godište,Hibrid,135 kW,terensko vozilo / SUV / pick up,5,25500 km,https://www.njuskalo.hr/auti/lexus-ux-ux-250h-svojim-kamionima-uvozimo-registracije-oglas-42031159
55,45.548434431988,18.660779031736,Osječko-baranjska,Osijek,Lexus,GS,19.950 €,2015. godište,Benzin,215 kW,limuzina,5,326000 km,https://www.njuskalo.hr/auti/lexus-gs-450h-luxury-automatik-oglas-42021732
56,45.95633685209286,15.492034479647753,Slovenija,,Lexus,CT,9.300 €,2011. godište,Benzin,73 kW,hatchback,5,109000 km,https://www.njuskalo.hr/auti/lexus-ct-200h-oglas-42005854
57,45.95540472061778,15.495031130261957,Slovenija,,Lexus,NX,30.900 €,2019. godište,Benzin,114 kW,terensko vozilo / SUV / pick up,5,36000 km,https://www.njuskalo.hr/auti/lexus-nx-nx-300h-awd-oglas-42005795
58,45.436836330347,13.656711494667,Istarska,Buje,Lexus,RC,39.990 €,2017. godište,Benzin,180 kW,coupe,2,35850 km,https://www.njuskalo.hr/auti/lexus-rc-200t-oglas-41891188
59,51.063911151999,10.615471562966,Njemačka,,Lexus,ES,35.703 €,2020. godište,Hibrid,160 kW,limuzina,5,17867 km,https://www.njuskalo.hr/auti/lexus-es-300h-svojim-kamionima-uvozimo-registracije-oglas-41884589
60,51.063911151999,10.615471562966,Njemačka,,Lexus,LS,47.555 €,2019. godište,Hibrid,264 kW,limuzina,5,79950 km,https://www.njuskalo.hr/auti/lexus-ls-500h-finesse-aut-svojim-kamionima-uvozimo-registracije-oglas-41884543
61,51.063911151999,10.615471562966,Njemačka,,Lexus,NX,34.960 €,2018. godište,Benzin,114 kW,terensko vozilo / SUV / pick up,5,16395 km,https://www.njuskalo.hr/auti/lexus-nx-nx-300h-awd-svojim-kamionima-uvozimo-registracije-oglas-41884476
62,51.063911151999,10.615471562966,Njemačka,,Lexus,RX,50.336 €,2022. godište,Benzin,193 kW,terensko vozilo / SUV / pick up,5,28250 km,https://www.njuskalo.hr/auti/lexus-rx-rx-450-svojim-kamionima-uvozimo-registracije-oglas-41884433
63,51.063911151999,10.615471562966,Njemačka,,Lexus,UX,26.882 €,2021. godište,Hibrid,135 kW,terensko vozilo / SUV / pick up,5,14500 km,https://www.njuskalo.hr/auti/lexus-ux-ux-250h-svojim-kamionima-uvozimo-registracije-oglas-41884389
64,45.803782755725,16.025865091684,Grad Zagreb,Peščenica - Žitnjak,Lexus,RX,6.000 €,2007. godište,Benzin,203 kW,terensko vozilo / SUV / pick up,5,390000 km,https://www.njuskalo.hr/auti/lexus-rx-350-oglas-41773458
65,51.062512226136,10.609218517774,Njemačka,,Lexus,NX,38.490 €,2019. godište,Benzin,114 kW,terensko vozilo / SUV / pick up,5,41669 km,https://www.njuskalo.hr/auti/lexus-nx-nx-300h-svojim-kamionima-uvozimo-registracije-oglas-41767814
66,51.062199964974,10.616353062692,Njemačka,,Lexus,NX,29.319 €,2020. godište,Benzin,114 kW,terensko vozilo / SUV / pick up,5,39654 km,https://www.njuskalo.hr/auti/lexus-nx-nx-300h-svojim-kamionima-uvozimo-registracije-oglas-41758439
68,45.827114470678,16.107166711123,Grad Zagreb,Sesvete,Lexus,IS,6.990 €,2007. godište,Diesel,130 kW,limuzina,4,280000 km,https://www.njuskalo.hr/auti/lexus-is-220d-base-p-d-c-1-vl-hr-auto-oglas-41451744
69,41.7305621876867,13.118932148471803,Italija,,Lexus,LS,69.900 €,2018. godište,Benzin,220 kW,limuzina,4,18000 km,https://www.njuskalo.hr/auti/lexus-ls-500h-hybrid-awd-oglas-31081379
70,51.060712561240805,10.615118778834521,Njemačka,,Lexus,IS,19.900 €,2016. godište,Hibrid,133 kW,limuzina,5,111000 km,https://www.njuskalo.hr/auti/lexus-is-300h-25th-edition-automatik-oglas-31081362
71,51.06356140679958,10.609710039749224,Njemačka,,Lexus,GS,23.990 €,2016. godište,Benzin,228 kW,limuzina,5,52000 km,https://www.njuskalo.hr/auti/lexus-gs-350-awd-automatik-oglas-31081345
