linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Mazda,CX-5,14.660 €,2016. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,182000 km,https://www.njuskalo.hr/auti/mazda-cx-5-cd150-oglas-42007366
2,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Mazda,2,3.960 €,2008. godište,Diesel,50 kW,hatchback,5,227000 km,https://www.njuskalo.hr/auti/mazda-2-cd68-ce-oglas-40994651
5,45.88230339673826,16.149045315626978,Grad Zagreb,Sesvete,Mazda,6 Sport Combi,3.630 €,2010. godište,Diesel,92 kW,karavan,5,428000 km,https://www.njuskalo.hr/auti/mazda-6-sport-combi-sport-cd125-ce-oglas-42234200
6,45.825737865374,15.856359095943,Grad Zagreb,Podsused - Vrapče,Mazda,CX-5,11.499 €,2013. godište,Benzin,121 kW,terensko vozilo / SUV / pick up,5,195000 km,https://www.njuskalo.hr/auti/mazda-cx-5-2.0-oglas-41873725
9,45.17597939216,17.968828745849,Brodsko-posavska,Slavonski Brod,Mazda,CX-5,15.500 €,2016. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,126700 km,https://www.njuskalo.hr/auti/mazda-cx-5-cd150-automatik-oglas-41788746
10,45.852201295384,16.058428266626,Grad Zagreb,Gornja Dubrava,Mazda,CX-3,15.000 €,2015. godište,Diesel,77 kW,terensko vozilo / SUV / pick up,5,119000 km,https://www.njuskalo.hr/auti/mazda-cx-3-cd105-ecxlusive-top-prvi-vlasnik-oglas-41696816
11,45.850586968718,16.064227729649,Grad Zagreb,Gornja Dubrava,Mazda,CX-3,14.999 €,2016. godište,Benzin,88 kW,terensko vozilo / SUV / pick up,5,80000 km,https://www.njuskalo.hr/auti/mazda-cx-3-g120-prime-line-garancija-reg-1-god-oglas-41581365
12,45.852201295384,16.058428266626,Grad Zagreb,Gornja Dubrava,Mazda,CX-5,15.999 €,2015. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,120342 km,https://www.njuskalo.hr/auti/mazda-cx-5-cd150-awd-reg-1-god-oglas-41572640
13,45.82606,16.113707,Grad Zagreb,Sesvete,Mazda,2,6.300 €,2014. godište,Diesel,70 kW,hatchback,5,166000 km,https://www.njuskalo.hr/auti/mazda-2-1.6-cd-sport-line-klima-el-podizanje-stakala-oglas-42094234
14,43.555511566669146,16.353527613645372,Splitsko-dalmatinska,Kaštela,Mazda,6 Sport Combi,1 €,2017. godište,Diesel,129 kW,karavan,5,159000 km,https://www.njuskalo.hr/auti/mazda-6-sport-combi-2.2-cd-175ks-automatik-automatik-oglas-42242859
15,43.561377617369864,16.358169440360026,Splitsko-dalmatinska,Kaštela,Mazda,6,1 €,2017. godište,Diesel,129 kW,karavan,5,159000 km,https://www.njuskalo.hr/auti/mazda-6-2.2-cd-175ks-automatik-mod-2017-sports-line-bose-head-up-full-oglas-42250331
16,51.062302152629,10.609220556859,Njemačka,,Mazda,CX-3,13.250 €,2018. godište,Benzin,88 kW,terensko vozilo / SUV / pick up,5,71276 km,https://www.njuskalo.hr/auti/mazda-cx-3-g120-prime-line-pdc-alu-bt-tempo-1-vlasnik-servisna-oglas-42056954
17,51.062302152629,10.609220556859,Njemačka,,Mazda,CX-3,13.790 €,2016. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,104350 km,https://www.njuskalo.hr/auti/mazda-cx-3-g150-awd-sport-line-navi-kam-alu-led-hud-koza-gr-sjed-oglas-42056754
18,51.062302152629,10.609220556859,Njemačka,,Mazda,CX-3,14.800 €,2015. godište,Diesel,77 kW,terensko vozilo / SUV / pick up,5,96000 km,https://www.njuskalo.hr/auti/mazda-cx-3-cd105-sport-line-awd-auto-navi-kam-hud-pdc-alu-led-koza-oglas-42056594
19,51.062302152629,10.609220556859,Njemačka,,Mazda,CX-3,14.475 €,2017. godište,Diesel,77 kW,terensko vozilo / SUV / pick up,5,88400 km,https://www.njuskalo.hr/auti/mazda-cx-3-skyactive-d-cd105-navi-pdc-alu-led-keyless-gr-sjed-serv-oglas-42056450
20,51.062302152629,10.609220556859,Njemačka,,Mazda,CX-3,13.000 €,2016. godište,Diesel,77 kW,terensko vozilo / SUV / pick up,5,83300 km,https://www.njuskalo.hr/auti/mazda-cx-3-skyactiv-d-cd105-pdc-auto-klima-alu-led-tempo-serv-oglas-42056290
21,51.060275022218,10.611725188922,Njemačka,,Mazda,CX-3,12.890 €,2016. godište,Diesel,77 kW,terensko vozilo / SUV / pick up,5,99408 km,https://www.njuskalo.hr/auti/mazda-cx-3-cd105-awd-sport-line-navi-kam-pdc-alu-led-hud-koza-gr-sjed-oglas-42049963
22,45.78606746152,15.924788748829,Grad Zagreb,Trešnjevka - Jug,Mazda,3,27.600 €,2023. godište,Benzin,110 kW,limuzina,4,10500 km,https://www.njuskalo.hr/auti/mazda-3-g150-oglas-42135652
23,45.713893086177,16.086464707863,Zagrebačka,Velika Gorica,Mazda,3,24.900 €,2023. godište,Benzin,90 kW,hatchback,5,11603 km,https://www.njuskalo.hr/auti/mazda-3-sdn-g122-plus-oglas-42135102
