linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.909042,16.854164,Bjelovarsko-bilogorska,Bjelovar,Mercedes-Benz,C-klasa T-model,14.850 €,2016. godište,Diesel,100 kW,karavan,5,174000 km,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-t-model-200-d-t-blue-tec-navigacija-alu-kuka-itd-oglas-42164926
2,43.750565555619,15.89111669221,Šibensko-kninska,Šibenik,Mercedes-Benz,C-klasa,3.500 €,2001. godište,Benzin,95 kW,limuzina,4,241959 km,https://www.njuskalo.hr/auti/mercedes-c-klasa-180-registriran-06-2024-oglas-41380380
3,45.568145801702,18.596196639416,Osječko-baranjska,Osijek - Okolica,Mercedes-Benz,C-klasa,53.900 €,2022. godište,Diesel,147 kW,limuzina,4,16450 km,https://www.njuskalo.hr/auti/mercedes-benz-c-220d-amg-line-night-package-keyless-burmester-kam360-oglas-41284956
5,45.92593987608144,16.83652329755886,Bjelovarsko-bilogorska,Bjelovar,Mercedes-Benz,C-klasa T-model,25.400 €,2018. godište,Diesel,125 kW,karavan,5,103000 km,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-t-model-c-220-d-t-karavan-automatik-oglas-41940236
6,45.885468,16.826378,Bjelovarsko-bilogorska,Bjelovar,Mercedes-Benz,C-klasa Coupe,24.850 €,2017. godište,Diesel,125 kW,coupe,2,251000 km,https://www.njuskalo.hr/auti/mercedes-c220-d-amg-coupe-2017-god-full-oprema-oglas-40235835
7,45.801116865662,15.98378065614,Grad Zagreb,Sesvete,Mercedes-Benz,C-klasa Coupe,29.999 €,2016. godište,Diesel,125 kW,coupe,2,160000 km,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-coupe-220-d-oglas-40496549
8,45.865536,16.034319,Grad Zagreb,Gornja Dubrava,Mercedes-Benz,B-klasa,10.950 €,2012. godište,Diesel,100 kW,limuzina,5,182000 km,https://www.njuskalo.hr/auti/mercedes-benz-b-klasa-200-cdi-oglas-41575275
9,45.160656,18.067688,Brodsko-posavska,Gornja Vrba,Mercedes-Benz,GLE,39.000 €,2016. godište,Diesel,190 kW,terensko vozilo / SUV / pick up,5,172740 km,https://www.njuskalo.hr/auti/mercedes-benz-gle-350-d-automatik-oglas-42284522
10,45.832036604654355,16.14033319599788,Grad Zagreb,Sesvete,Mercedes-Benz,C-klasa,35.000 €,2019. godište,Diesel,143 kW,limuzina,4,80000 km,https://www.njuskalo.hr/auti/mercedes-benz-c-220-d-amg-panorama-multibeam-led-navi-virtual-acc-oglas-41475175
11,45.82600067250227,16.13983653394139,Grad Zagreb,Sesvete,Mercedes-Benz,CLA klasa,24.300 €,2017. godište,Diesel,130 kW,hatchback,4,124000 km,https://www.njuskalo.hr/auti/mercedes-benz-cla-220d-full-amg-led-svjetla-kamera-ambient-light-oglas-41086520
12,45.759655,15.88565,Grad Zagreb,Novi Zagreb - Zapad,Mercedes-Benz,E-klasa,19.100 €,2013. godište,Hibrid,150 kW,limuzina,4,215650 km,https://www.njuskalo.hr/auti/mercedes-benz-e-klasa-300-hybrid-19.440-eur-pdv-zvati-0956363630-oglas-40729095
