linenum,url
1,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-t-model-200-d-t-blue-tec-navigacija-alu-kuka-itd-oglas-42164926
2,https://www.njuskalo.hr/auti/mercedes-c-klasa-180-registriran-06-2024-oglas-41380380
3,https://www.njuskalo.hr/auti/mercedes-benz-c-220d-amg-line-night-package-keyless-burmester-kam360-oglas-41284956
4,https://www.njuskalo.hr/auti/mercedes-benz-a-class-amg-line-oglas-41982700
5,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-t-model-c-220-d-t-karavan-automatik-oglas-41940236
6,https://www.njuskalo.hr/auti/mercedes-c220-d-amg-coupe-2017-god-full-oprema-oglas-40235835
7,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-coupe-220-d-oglas-40496549
8,https://www.njuskalo.hr/auti/mercedes-benz-b-klasa-200-cdi-oglas-41575275
9,https://www.njuskalo.hr/auti/mercedes-benz-gle-350-d-automatik-oglas-42284522
10,https://www.njuskalo.hr/auti/mercedes-benz-c-220-d-amg-panorama-multibeam-led-navi-virtual-acc-oglas-41475175
11,https://www.njuskalo.hr/auti/mercedes-benz-cla-220d-full-amg-led-svjetla-kamera-ambient-light-oglas-41086520
12,https://www.njuskalo.hr/auti/mercedes-benz-e-klasa-300-hybrid-19.440-eur-pdv-zvati-0956363630-oglas-40729095
13,https://www.njuskalo.hr/auti/mercedes-benz-glc-coupe-250d-4m-automatik-oglas-42319635
14,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-220-d-amg-f1-burmester-koza-led-headup-navi-18-oglas-42282990
15,https://www.njuskalo.hr/auti/mercedes-b-klasa-180d-automatik-f1-sport-paket-koza-kamere-led-alu18-oglas-41128123
16,https://www.njuskalo.hr/auti/mercedes-c43-amg-performance-biturbo-f1-kamere-perf-sivevi-karbon-led-oglas-39570182
17,https://www.njuskalo.hr/auti/mercedes-klasa-400d-4matic-amg-paket-led-panorama-softclose-tv-20-oglas-41607271
18,https://www.njuskalo.hr/auti/mercedes-benz-glc-200-4matic-oglas-41569841
19,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-200-cdi-avantgard-2014-107-tkm-oglas-42286468
20,https://www.njuskalo.hr/auti/mercedes-benz-a200d-urban-136-ks-led-svjetla-navigacija-jamstvo-1g-oglas-42108218
21,https://www.njuskalo.hr/auti/mercedes-benz-klasa-500-4matic-automatik-oglas-42273035
22,https://www.njuskalo.hr/auti/mercedes-benz-gla-220-d-4matic-automatik-navi-koza-oglas-42106265
23,https://www.njuskalo.hr/auti/mercedes-benz-cla-180d-automatik-koza-kamera-navi-oglas-42007653
24,https://www.njuskalo.hr/auti/mercedes-benz-glc-220-d-automatik-4-4-panorama-koza-oglas-41596902
25,https://www.njuskalo.hr/auti/mercedes-benz-gla-200-d-amg-line-tempomat-navigacija-mf-volan-jamstvo-oglas-40382220
26,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-amg-automatik-kamera-koza-navi-oglas-41931387
27,https://www.njuskalo.hr/auti/mercedes-benz-a-klasa-180-cdi-style-senzori-navi-led-svijetla-oglas-42285910
28,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-200-cdi-navi-koza-kuka-oglas-41922263
29,https://www.njuskalo.hr/auti/mercedes-benz-b-klasa-180-cdi-oglas-42221644
30,https://www.njuskalo.hr/auti/mercedes-b-180-d-executive-automatik-mod-2018-80.000km-reg-god-dana-oglas-40903089
31,https://www.njuskalo.hr/auti/mercedes-a-klasa-180d-urban-automatik-mod-2016-facelift-reg-god-dana-oglas-40632517
32,https://www.njuskalo.hr/auti/mercedes-a-150-benzin-elegance-automatik-mod-2007-137tkm-reg-god-dana-oglas-42150265
33,https://www.njuskalo.hr/auti/mercedes-sprinter-312d-doka-dupla-kabina-6-sjedala-alu-sanduk-kuka-oglas-41870622
34,https://www.njuskalo.hr/auti/mercedes-a-klasa-150-benzin-mod-2006-129.000km-5-vrata-reg-god-dana-oglas-40681102
35,https://www.njuskalo.hr/auti/mercedes-r-320-cdi-4matic-2008-automatik-6-sjedala-bi-xenon-alcantara-oglas-39658497
36,https://www.njuskalo.hr/auti/mercedes-a-180-cdi-avantgarde-automatik-mod-2009-150tkm-reg-god-dana-oglas-39290689
37,https://www.njuskalo.hr/auti/mercedes-b-150-benzin-mod-2009-150tkm-reg-god-dana-navi-2xpdc-alu-nov-oglas-38938674
38,https://www.njuskalo.hr/auti/mercedes-a-180-cdi-7g-automatik-mod-2015-kamera-radar-reg-09-2022-nov-oglas-37321782
39,https://www.njuskalo.hr/auti/mercedes-a-klasa-180-cdi-mod-2012-145.000km-6-brzina-reg-god-dana-nov-oglas-36747029
40,https://www.njuskalo.hr/auti/mercedes-b-160-cdi-mod-2015-46.000km-servisna-1-vl-reg-god-dana-oglas-36614762
41,https://www.njuskalo.hr/auti/mercedes-a-160-benzin-2012-g-servisna-touch-9-navi-reg-god-dana-nov-oglas-36407386
42,https://www.njuskalo.hr/auti/mercedes-a-klasa-160-cdi-mod-2012-redizajn-5-vrata-reg-04-2024-g-top-oglas-40888493
43,https://www.njuskalo.hr/auti/mercedes-klasa-500-v8-4matic-lang-3xtv-soft-close-kamere-radar-fulll-oglas-40118150
44,https://www.njuskalo.hr/auti/mercedes-benz-ml-400-cdi-v8-oglas-42319558
45,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-180-navi-alu-kotaci-170tkm-2015god-ime-kupca-oglas-41558171
46,https://www.njuskalo.hr/auti/mercedes-e220d-coupe-4matic-amg-oglas-42169333
47,https://www.njuskalo.hr/auti/mercedes-benz-gla-220-cdi-4matic-amg-oglas-41054051
48,https://www.njuskalo.hr/auti/mercedes-benz-eqc-400-edition-1886-distronic-80-kwh-408km-wltp-oglas-42097023
49,https://www.njuskalo.hr/auti/mercedes-benz-eqb-250-amg-night-distronic-71-kwh-502km-wltp-2023g-oglas-42090803
50,https://www.njuskalo.hr/auti/mercedes-benz-eqb-350-4mat-progressive-night-7-sjed-68-kwh-423km-wltp-oglas-42090441
51,https://www.njuskalo.hr/auti/mercedes-benz-eqb-350-4matic-edition-1-amg-acc-kamer-68-kwh-423km-wltp-oglas-42088983
52,https://www.njuskalo.hr/auti/mercedes-benz-glk-350-cdi-4matic-7g-tronic-panorama-sport-navi-kamera-oglas-41795831
53,https://www.njuskalo.hr/auti/mercedes-benz-glk-220-cdi-4matic-7g-tronic-panorama-navi-2015-god-oglas-41795518
54,https://www.njuskalo.hr/auti/mercedes-benz-glk-200-cdi-7g-tronic-navi-sport-paket-alcantara-2013-oglas-41785531
55,https://www.njuskalo.hr/auti/mercedes-benz-glk-200-cdi-navi-koza-led-sport-paket-ambient-2013-oglas-41785386
56,https://www.njuskalo.hr/auti/mercedes-benz-ml-350-cdi-4matic-amg-line-airmatic-bixenon-comand-kuka-oglas-41776975
57,https://www.njuskalo.hr/auti/mercedes-benz-ml-250-4matic-7g-tronic-siber-led-koza-el-sicevi-oglas-41775442
58,https://www.njuskalo.hr/auti/mercedes-benz-ml-350-cdi-4matic-airmatic-kamera360-nightvision-webasto-oglas-41778217
59,https://www.njuskalo.hr/auti/mercedes-benz-ml-250-cdi-4matic-7g-tronic-panorama-bixenon-navi-2015-oglas-41776587
60,https://www.njuskalo.hr/auti/mercedes-benz-c-klasa-coupe-220-d-automatik-oglas-42030254
