linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,51.0604580749,10.611048207556,Njemačka,,MG,4,42.998 €,2023. godište,Električni,150 kW,hatchback,5,5000 km,https://www.njuskalo.hr/auti/mg-4-ev-64kwh-luxury-acc-el-sic-grij-smart-key-64-kwh-450km-wltp-2023-oglas-42102633
2,51.0604580749,10.611048207556,Njemačka,,MG,4,33.890 €,2023. godište,Električni,150 kW,hatchback,5,5200 km,https://www.njuskalo.hr/auti/mg4-ev-64kwh-luxury-acc-el-sic-sic-volan-grij-64-kwh-450km-wltp-2023-oglas-42102528
3,51.0604580749,10.611048207556,Njemačka,,MG,4,27.990 €,2022. godište,Električni,150 kW,terensko vozilo / SUV / pick up,5,12000 km,https://www.njuskalo.hr/auti/mg4-electric-luxury-acc-el-sic-sic-volan-grij-64-kwh-450km-wltp-oglas-42097396
4,45.486661883069,15.555214133358,Karlovačka,Karlovac,MG,EHS,30.000 €,2022. godište,Plug-in hibrid,119 kW,terensko vozilo / SUV / pick up,5,19000 km,https://www.njuskalo.hr/auti/mg-ehs-1.5-phev-comfort-258-ks-demo-vozilo-oglas-42319310
6,45.800514,16.001263,Grad Zagreb,Trnje,MG,ZS,19.199 €,2022. godište,Benzin,82 kW,terensko vozilo / SUV / pick up,5,3550 km,https://www.njuskalo.hr/auti/mg-zs-1.0-t-gdi-luxury-oglas-41172086
7,,,Grad Zagreb,,MG,ZS,18.900 €,2023. godište,Benzin,82 kW,terensko vozilo / SUV / pick up,5,18000 km,https://www.njuskalo.hr/auti/mg-zs-1.0-luxury-aut-oglas-40889060
8,45.486661883069,15.555214133358,Karlovačka,Karlovac,MG,ZS,21.250 €,2022. godište,Benzin,82 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/mg-zs-1.0-gdi-luxury-111ks-akcija-21.250.00-oglas-40705763
9,,,Grad Zagreb,Stenjevec,MG,4,41.900 €,2023. godište,Električni,320 kW,hatchback,5,,https://www.njuskalo.hr/novi-auti/mg4-ev-xpower-mg4-320-kw-oglas-42266884
11,45.486661883069,15.555214133358,Karlovačka,Karlovac,MG,HS,32.400 €,2023. godište,Benzin,119 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/mg-hs-hs-luxury-1.5t-dct-my23-automatik-oglas-42261148
12,45.500876534999996,16.367629625,Sisačko-moslavačka,Sisak,MG,ZS,21.250 €,2023. godište,Benzin,82 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/mg-zs-1.0t-gdi-luxury-oglas-42204033
13,,,Njemačka,,MG,ZS,27.100 €,2021. godište,Električni,105 kW,terensko vozilo / SUV / pick up,5,16280 km,https://www.njuskalo.hr/auti/mg-zs-ev-luxury-44.5-kwh-143-ks-leder-pano-assist-acc-kam-shz-nav-le-oglas-42043141
14,46.03821,15.801027,Krapinsko-zagorska,Veliko Trgovišće,MG,ZS,17.100 €,2023. godište,Benzin,82 kW,terensko vozilo / SUV / pick up,5,26900 km,https://www.njuskalo.hr/auti/mg-zs-1.0-luxury-oglas-42243598
16,45.36336243891,14.411870022152,Primorsko-goranska,Rijeka,MG,ZS,21.250 €,2023. godište,Benzin,82 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/mg-zs-luxury-1.0t-gdi-111ks-isporuka-odmah-oglas-42006380
17,45.36336243891,14.411870022152,Primorsko-goranska,Rijeka,MG,HS,30.400 €,2023. godište,Benzin,119 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/mg-hs-luxury-1.5t-my23-oglas-41989477
18,45.36336243891,14.411870022152,Primorsko-goranska,Rijeka,MG,HS,32.400 €,2023. godište,Benzin,119 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/mg-hs-hs-luxury-1.5t-dct-my23-automatik-oglas-41979617
19,45.340389579623,14.42682087799,Primorsko-goranska,Rijeka,MG,4,31.900 €,2023. godište,Električni,125 kW,hatchback,5,,https://www.njuskalo.hr/novi-auti/mg4-ev-standard-125-kw-elektricno-vozilo-oglas-40390685
20,45.148077248955836,18.028652024996727,Brodsko-posavska,Slavonski Brod,MG,EHS,35.000 €,2022. godište,Plug-in hibrid,209 kW,terensko vozilo / SUV / pick up,5,13500 km,https://www.njuskalo.hr/auti/mg-ehs-luxury-automatik-oglas-41508547
21,,,Njemačka,,MG,ZS,26.550 €,2021. godište,Električni,105 kW,terensko vozilo / SUV / pick up,5,26270 km,https://www.njuskalo.hr/auti/mg-zs-ev-luxury-44.5-kwh-143-ks-acc-kam-pano-shz-oglas-42230049
22,44.883445985,13.877169725,Istarska,Pula,MG,HS,26.900 €,2022. godište,Benzin,119 kW,terensko vozilo / SUV / pick up,5,5000 km,https://www.njuskalo.hr/auti/mg-zs-luxury-1.0-oglas-42218788
23,45.486661883069,15.555214133358,Karlovačka,Karlovac,MG,ZS,22.900 €,2023. godište,Benzin,82 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/mg-zs-zs-luxury-1.0t-gdi-111ks-5v-oglas-41380704
24,,,Splitsko-dalmatinska,Split - Okolica,MG,EHS,42.900,2023. godište,Hibrid,119 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/ehs-luxury-1.5-phev-my23-oglas-42208711
25,46.308007,16.34024,Varaždinska,Varaždin,MG,HS,26.900 €,2023. godište,Benzin,119 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/mg-hs-1.5t-162ks-standard-automatik-oglas-41988936
26,46.308007,16.34024,Varaždinska,Varaždin,MG,ZS,21.900 €,2023. godište,Benzin,82 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/mg-zs-1.0-t-gdi-112ks-luxury-akcija-isporuka-odmah-oglas-41680268
27,46.03703,15.838785,Krapinsko-zagorska,Veliko Trgovišće,MG,ZS,18.900 €,2023. godište,Benzin,78 kW,terensko vozilo / SUV / pick up,5,20 km,https://www.njuskalo.hr/auti/mg-zs-1.5-excite-oglas-41278114
28,46.03821,15.801027,Krapinsko-zagorska,Veliko Trgovišće,MG,HS,28.900 €,2023. godište,Benzin,119 kW,terensko vozilo / SUV / pick up,5,20 km,https://www.njuskalo.hr/auti/mg-hs-luxury-1.5-automatik-oglas-41278077
29,46.032627,15.836689,Krapinsko-zagorska,Veliko Trgovišće,MG,4,34.499 €,2023. godište,Električni,150 kW,limuzina,4,6500 km,https://www.njuskalo.hr/auti/mg-4-64kwh-comfort-oglas-41538904
30,45.486661883069,15.555214133358,Karlovačka,Karlovac,MG,HS,28.200 €,2022. godište,Benzin,119 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/mg-hs-1.5-comfort-162-ks-isporuka-odmah-oglas-39706420
31,45.486743586943795,15.555447091040895,Karlovačka,Karlovac,MG,ZS,21.250 €,2022. godište,Benzin,82 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/mg-zs-1.0-gdi-luxury-111ks-akcija-21.250.00-oglas-41891181
32,45.487208576347,15.558324834253,Karlovačka,Karlovac,MG,ZS,23.900 €,2022. godište,Benzin,82 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/mg-zs-luxury-1.0t-at-isporuka-odmah-oglas-40429975
33,45.486772118838,15.555541446052,Karlovačka,Karlovac,MG,ZS,22.900 €,2022. godište,Benzin,82 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/mg-zs-1.0-gdi-luxury-111ks-akcija-21.250.00-oglas-41233550
34,45.486661883069,15.555214133358,Karlovačka,Karlovac,MG,4,32.000 €,2023. godište,Električni,150 kW,hatchback,5,,https://www.njuskalo.hr/novi-auti/mg4-ev-comfort-150-kw-isporuka-odmah-oglas-40432163
35,,,Grad Zagreb,,MG,HS,20.900 €,2023. godište,Hibrid,119 kW,terensko vozilo / SUV / pick up,5,18000 km,https://www.njuskalo.hr/auti/mg-hs-1.5-t-dct-comfort-oglas-40896692
36,,,Grad Zagreb,,MG,ZS,17.900 €,2023. godište,Benzin,82 kW,terensko vozilo / SUV / pick up,5,20000 km,https://www.njuskalo.hr/auti/mg-zs-1.0-luxury-oglas-40889058
37,51.060516510609,10.614694626581,Njemačka,,MG,Marvel R,39.990 €,2023. godište,Električni,132 kW,terensko vozilo / SUV / pick up,5,7000 km,https://www.njuskalo.hr/auti/mg-marvel-r-luxury-panorama-acc-kamera-koza-70-kwh-402km-wltp-2023-oglas-42155775
38,51.060516510609,10.614694626581,Njemačka,,MG,Marvel R,36.990 €,2022. godište,Električni,212 kW,terensko vozilo / SUV / pick up,5,9000 km,https://www.njuskalo.hr/auti/mg-marvel-r-performance-4x4-panorama-acc-koza-70-kwh-370km-wltp-oglas-42151879
39,51.060516510609,10.614694626581,Njemačka,,MG,Marvel R,35.690 €,2022. godište,Električni,132 kW,terensko vozilo / SUV / pick up,5,6000 km,https://www.njuskalo.hr/auti/mg-marvel-r-luxury-panorama-acc-kamera-hud-koza-70-kwh-402km-wltp-oglas-42151782
40,51.060516510609,10.614694626581,Njemačka,,MG,Marvel R,35.990 €,2021. godište,Električni,212 kW,terensko vozilo / SUV / pick up,5,6000 km,https://www.njuskalo.hr/auti/mg-marvel-r-performance-4x4-panorama-acc-koza-70-kwh-370km-wltp-oglas-42151060
41,51.060757994852,10.615200697261,Njemačka,,MG,Marvel R,30.990 €,2022. godište,Električni,132 kW,terensko vozilo / SUV / pick up,5,27000 km,https://www.njuskalo.hr/auti/mg-marvel-r-luxury-panorama-acc-kamera-360-koza-70-kwh-402km-wltp-oglas-42145976
42,45.773624759384,15.97338061503,Grad Zagreb,Novi Zagreb - Zapad,MG,ZS,17.000 €,2022. godište,Benzin,81 kW,terensko vozilo / SUV / pick up,5,3600 km,https://www.njuskalo.hr/auti/mg-zs-1.0-t-gdi-oglas-42134963
43,51.06075799485247,10.615200697260741,Njemačka,,MG,ZS EV,30.500 €,2022. godište,Električni,115 kW,terensko vozilo / SUV / pick up,5,22000 km,https://www.njuskalo.hr/auti/mg-zs-ev-luxury-panorama-acc-temp-led-kamera-koza-72-kwh-440km-wltp-oglas-42143495
44,51.060181019888,10.613103540779,Njemačka,,MG,ZS EV,28.990 €,2022. godište,Električni,115 kW,terensko vozilo / SUV / pick up,5,8999 km,https://www.njuskalo.hr/auti/mg-zs-ev-comfort-acc-tempomat-kamera-led-72-kwh-440km-wltp-oglas-42142801
45,51.060181019888,10.613103540779,Njemačka,,MG,ZS EV,26.480 €,2022. godište,Električni,130 kW,terensko vozilo / SUV / pick up,5,21000 km,https://www.njuskalo.hr/auti/mg-zs-ev-luxury-panorama-acc-tempomat-koza-51-kwh-320km-wltp-oglas-42142438
46,51.060181019888,10.613103540779,Njemačka,,MG,ZS EV,24.980 €,2022. godište,Električni,130 kW,terensko vozilo / SUV / pick up,5,14000 km,https://www.njuskalo.hr/auti/mg-zs-ev-comfort-acc-tempomat-navi-kamera-51-kwh-320km-wltp-1-vl-oglas-42141163
