linenum,url
1,https://www.njuskalo.hr/auti/mg-4-ev-64kwh-luxury-acc-el-sic-grij-smart-key-64-kwh-450km-wltp-2023-oglas-42102633
2,https://www.njuskalo.hr/auti/mg4-ev-64kwh-luxury-acc-el-sic-sic-volan-grij-64-kwh-450km-wltp-2023-oglas-42102528
3,https://www.njuskalo.hr/auti/mg4-electric-luxury-acc-el-sic-sic-volan-grij-64-kwh-450km-wltp-oglas-42097396
4,https://www.njuskalo.hr/auti/mg-ehs-1.5-phev-comfort-258-ks-demo-vozilo-oglas-42319310
5,https://www.njuskalo.hr/novi-auti/mg-zs-ev-luxury-standard-range-177ks-5v-oglas-42289876
6,https://www.njuskalo.hr/auti/mg-zs-1.0-t-gdi-luxury-oglas-41172086
7,https://www.njuskalo.hr/auti/mg-zs-1.0-luxury-aut-oglas-40889060
8,https://www.njuskalo.hr/novi-auti/mg-zs-1.0-gdi-luxury-111ks-akcija-21.250.00-oglas-40705763
9,https://www.njuskalo.hr/novi-auti/mg4-ev-xpower-mg4-320-kw-oglas-42266884
10,https://www.njuskalo.hr/novi-auti/zs-luxury-1.0t-gdi-111ks-at-5v-oglas-42266874
11,https://www.njuskalo.hr/novi-auti/mg-hs-hs-luxury-1.5t-dct-my23-automatik-oglas-42261148
12,https://www.njuskalo.hr/novi-auti/mg-zs-1.0t-gdi-luxury-oglas-42204033
13,https://www.njuskalo.hr/auti/mg-zs-ev-luxury-44.5-kwh-143-ks-leder-pano-assist-acc-kam-shz-nav-le-oglas-42043141
14,https://www.njuskalo.hr/auti/mg-zs-1.0-luxury-oglas-42243598
15,https://www.njuskalo.hr/auti/mg-hs-comfort-1.5-t-automatik-oglas-42023030
16,https://www.njuskalo.hr/novi-auti/mg-zs-luxury-1.0t-gdi-111ks-isporuka-odmah-oglas-42006380
17,https://www.njuskalo.hr/novi-auti/mg-hs-luxury-1.5t-my23-oglas-41989477
18,https://www.njuskalo.hr/novi-auti/mg-hs-hs-luxury-1.5t-dct-my23-automatik-oglas-41979617
19,https://www.njuskalo.hr/novi-auti/mg4-ev-standard-125-kw-elektricno-vozilo-oglas-40390685
20,https://www.njuskalo.hr/auti/mg-ehs-luxury-automatik-oglas-41508547
21,https://www.njuskalo.hr/auti/mg-zs-ev-luxury-44.5-kwh-143-ks-acc-kam-pano-shz-oglas-42230049
22,https://www.njuskalo.hr/auti/mg-zs-luxury-1.0-oglas-42218788
23,https://www.njuskalo.hr/novi-auti/mg-zs-zs-luxury-1.0t-gdi-111ks-5v-oglas-41380704
24,https://www.njuskalo.hr/novi-auti/ehs-luxury-1.5-phev-my23-oglas-42208711
25,https://www.njuskalo.hr/novi-auti/mg-hs-1.5t-162ks-standard-automatik-oglas-41988936
26,https://www.njuskalo.hr/novi-auti/mg-zs-1.0-t-gdi-112ks-luxury-akcija-isporuka-odmah-oglas-41680268
27,https://www.njuskalo.hr/auti/mg-zs-1.5-excite-oglas-41278114
28,https://www.njuskalo.hr/auti/mg-hs-luxury-1.5-automatik-oglas-41278077
29,https://www.njuskalo.hr/auti/mg-4-64kwh-comfort-oglas-41538904
30,https://www.njuskalo.hr/novi-auti/mg-hs-1.5-comfort-162-ks-isporuka-odmah-oglas-39706420
31,https://www.njuskalo.hr/novi-auti/mg-zs-1.0-gdi-luxury-111ks-akcija-21.250.00-oglas-41891181
32,https://www.njuskalo.hr/novi-auti/mg-zs-luxury-1.0t-at-isporuka-odmah-oglas-40429975
33,https://www.njuskalo.hr/novi-auti/mg-zs-1.0-gdi-luxury-111ks-akcija-21.250.00-oglas-41233550
34,https://www.njuskalo.hr/novi-auti/mg4-ev-comfort-150-kw-isporuka-odmah-oglas-40432163
35,https://www.njuskalo.hr/auti/mg-hs-1.5-t-dct-comfort-oglas-40896692
36,https://www.njuskalo.hr/auti/mg-zs-1.0-luxury-oglas-40889058
37,https://www.njuskalo.hr/auti/mg-marvel-r-luxury-panorama-acc-kamera-koza-70-kwh-402km-wltp-2023-oglas-42155775
38,https://www.njuskalo.hr/auti/mg-marvel-r-performance-4x4-panorama-acc-koza-70-kwh-370km-wltp-oglas-42151879
39,https://www.njuskalo.hr/auti/mg-marvel-r-luxury-panorama-acc-kamera-hud-koza-70-kwh-402km-wltp-oglas-42151782
40,https://www.njuskalo.hr/auti/mg-marvel-r-performance-4x4-panorama-acc-koza-70-kwh-370km-wltp-oglas-42151060
41,https://www.njuskalo.hr/auti/mg-marvel-r-luxury-panorama-acc-kamera-360-koza-70-kwh-402km-wltp-oglas-42145976
42,https://www.njuskalo.hr/auti/mg-zs-1.0-t-gdi-oglas-42134963
43,https://www.njuskalo.hr/auti/mg-zs-ev-luxury-panorama-acc-temp-led-kamera-koza-72-kwh-440km-wltp-oglas-42143495
44,https://www.njuskalo.hr/auti/mg-zs-ev-comfort-acc-tempomat-kamera-led-72-kwh-440km-wltp-oglas-42142801
45,https://www.njuskalo.hr/auti/mg-zs-ev-luxury-panorama-acc-tempomat-koza-51-kwh-320km-wltp-oglas-42142438
46,https://www.njuskalo.hr/auti/mg-zs-ev-comfort-acc-tempomat-navi-kamera-51-kwh-320km-wltp-1-vl-oglas-42141163
47,https://www.njuskalo.hr/novi-auti/mg-zs-1.0-t-gdi-112ks-automatik-dostupno-vise-boja-oglas-41455215
48,https://www.njuskalo.hr/novi-auti/mg-zs-1.5-vti-tech-106ks-akcija-dostupno-vise-boja-oglas-41455063
49,https://www.njuskalo.hr/novi-auti/mg-hs-1.5t-162ks-akcija-dostupno-vise-boja-oglas-41455354
50,https://www.njuskalo.hr/auti/mg-zs-ev-luxury-panorama-acc-temp-kamera-koza-44-kwh-263km-wltp-oglas-42138304
51,https://www.njuskalo.hr/auti/mg-zs-ev-luxury-panorama-acc-tempomat-koza-44-kwh-263km-wltp-oglas-42138180
52,https://www.njuskalo.hr/auti/mg-zs-1.0t-gdi-luxury-panorama-led-kamera360-apple-car-android-2023-oglas-42135673
53,https://www.njuskalo.hr/auti/mg-zs-1.5-vti-tech-comfort-led-dab-pdc-apple-car-android-auto-jamstvo-oglas-42135456
54,https://www.njuskalo.hr/auti/mg-ehs-ehs-1.5-phev-luxury-oglas-40889059
55,https://www.njuskalo.hr/auti/mg-zs-xct-1.5-excite-oglas-40810548
