linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.338444,16.968157,Sisačko-moslavačka,Novska,MINI,Cooper,5.999,2011. godište,Diesel,66 kW,coupe,3,189000 km,https://www.njuskalo.hr/auti/mini-cooper-one-top-stanje-oglas-42298530
2,45.17597939216,17.968828745849,Brodsko-posavska,Slavonski Brod,MINI,Cooper,23.990 €,2019. godište,Benzin,141 kW,hatchback,3,20400 km,https://www.njuskalo.hr/auti/mini-cooper-automatik-oglas-42268501
3,45.17597939216,17.968828745849,Brodsko-posavska,Slavonski Brod,MINI,Cooper,22.990 €,2020. godište,Električni,135 kW,limuzina,2,25100 km,https://www.njuskalo.hr/auti/mini-cooper-mini-cooper-se-automatik-oglas-42164992
4,45.5344015,18.6313195,Osječko-baranjska,Osijek,MINI,Cooper,15.550 €,2016. godište,Diesel,85 kW,hatchback,2,93000 km,https://www.njuskalo.hr/auti/mini-cooper-d-93tkm-led-panorama-el-paket-alu-17-tempomat-oglas-40365210
5,43.51053495655278,16.451442607092968,Splitsko-dalmatinska,Split,MINI,Cooper,13.900 €,2015. godište,Benzin,100 kW,hatchback,5,41920 km,https://www.njuskalo.hr/auti/mini-cooper-5-vrata-race-edition-oglas-42234849
6,45.17016,17.992455,Brodsko-posavska,Slavonski Brod,MINI,Cooper,12.900 €,2014. godište,Diesel,82 kW,terensko vozilo / SUV / pick up,5,138900 km,https://www.njuskalo.hr/auti/mini-cooper-d-all4-automatik-top-stanje-jamstvo-138tkm-ime-kupca-oglas-42085658
7,45.700145574243,16.081125355557,Zagrebačka,Velika Gorica,MINI,Cooper,5.200 €,2008. godište,Diesel,85 kW,coupe,2,195000 km,https://www.njuskalo.hr/auti/mini-cooper-cooper-d-oglas-37233748
8,45.824800105725,16.136219398786,Grad Zagreb,Sesvete,MINI,One,7.990 €,2013. godište,Diesel,66 kW,coupe,3,230000 km,https://www.njuskalo.hr/auti/mini-one-1.6d-klima-reg-10-23-model-2014-kartice-rate-oglas-39683455
9,45.824652145,16.13291412,Grad Zagreb,Sesvete,MINI,Cabrio,10.900 €,2015. godište,Benzin,72 kW,kabriolet,3,184000 km,https://www.njuskalo.hr/auti/mini-cabrio-cooper-1.6i-oprma-ime-kupca-model-2016-kartice-oglas-42219489
10,45.827114,16.107166,Grad Zagreb,Sesvete,MINI,Cooper,13.900 €,2015. godište,Diesel,125 kW,coupe,3,159000 km,https://www.njuskalo.hr/auti/mini-cooper-sd-170ks-svi-servisi-super-stanju-gume-top-oglas-41419692
11,43.753895417314,15.886061189597,Šibensko-kninska,Šibenik,MINI,Cooper,19.900 €,2017. godište,Diesel,85 kW,hatchback,5,80000 km,https://www.njuskalo.hr/auti/mini-cooper-d-automatik-oglas-40341070
12,46.299343,16.398289,Varaždinska,Trnovec Bartolovečki,MINI,Countryman,13.650 €,2015. godište,Diesel,66 kW,coupe,5,130100 km,https://www.njuskalo.hr/auti/mini-countryman-cooper-d-oglas-42094273
13,45.80539,15.883189,Grad Zagreb,Stenjevec,MINI,Cooper,9.450 €,2015. godište,Diesel,70 kW,limuzina,3,116000 km,https://www.njuskalo.hr/auti/mini-cooper-one-1.5-d-chill-klima-facelift-odlican-reg-1-god-oglas-41991095
14,45.26772,15.209948,Karlovačka,Ogulin,MINI,Cooper,4.850 €,2010. godište,Diesel,82 kW,hatchback,3,213000 km,https://www.njuskalo.hr/auti/mini-cooper-d-oglas-41649785
15,45.17378865536,17.969545841071,Brodsko-posavska,Slavonski Brod,MINI,Cooper,36.800 €,2022. godište,Benzin,170 kW,limuzina,2,7750 km,https://www.njuskalo.hr/auti/mini-cooper-mini-cooper-jcw-automatik-oglas-42319049
16,45.77899,15.950711,Grad Zagreb,Novi Zagreb - Zapad,MINI,Cooper,22.900 €,2021. godište,Benzin,75 kW,coupe,3,50000 km,https://www.njuskalo.hr/auti/mini-cooper-automatik-1.5-oglas-42299852
17,45.77899,15.950711,Grad Zagreb,Novi Zagreb - Zapad,MINI,Cooper,15.900 €,2020. godište,Benzin,75 kW,coupe,3,50000 km,https://www.njuskalo.hr/auti/mini-cooper-1.5-blackyard-oglas-41960961
18,45.17597939216,17.968828745849,Brodsko-posavska,Slavonski Brod,MINI,One,27.300 €,2022. godište,Benzin,100 kW,hatchback,5,12100 km,https://www.njuskalo.hr/auti/mini-cooper-1.5-automatik-clasic-trim-oglas-41960314
19,45.809227,15.914923,Grad Zagreb,Podsused - Vrapče,MINI,Cooper,12.799 €,2016. godište,Diesel,85 kW,limuzina,5,183570 km,https://www.njuskalo.hr/auti/mini-cooper-1.5-d-2016-god-klima-reg-02-2024-mog-zamjena-oglas-40393329
20,45.478554,16.43856,Sisačko-moslavačka,Sisak - Okolica,MINI,One,9.200 €,2015. godište,Diesel,85 kW,limuzina,5,197000 km,https://www.njuskalo.hr/auti/mini-one-diesel-f56-oglas-41468388
21,43.51162,16.526236,Splitsko-dalmatinska,Split,MINI,One,9.950 €,2014. godište,Diesel,70 kW,limuzina,3,181000 km,https://www.njuskalo.hr/auti/mini-one-1.5-diesel-kao-nov-oglas-39574204
22,45.803006608127,15.928790086932,Grad Zagreb,Trešnjevka - Sjever,MINI,Cooper,18.200 €,2016. godište,Diesel,125 kW,coupe,3,121000 km,https://www.njuskalo.hr/auti/mini-cooper-sd-oglas-42234045
23,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,MINI,Cooper,5.500 €,2009. godište,Diesel,80 kW,limuzina,3,210294 km,https://www.njuskalo.hr/auti/mini-cooper-1.6-d-sport-klima-10xair-1vl-servis-potvrda-km-top-oglas-41513872
24,45.802574300608,15.750514939079,Zagrebačka,Samobor - Okolica,MINI,Cooper,39.800 €,2022. godište,Benzin,170 kW,hatchback,3,15000 km,https://www.njuskalo.hr/auti/mini-cooper-2.0-jcw-model-panorama-hk-kamera-heads-up-oglas-42115434
25,45.8006673268924,15.751239675783408,Zagrebačka,Samobor - Okolica,MINI,Cooper,32.900 €,2022. godište,Benzin,131 kW,hatchback,3,8300 km,https://www.njuskalo.hr/auti/mini-cooper-2.0-sportautomatic-classic-trim-model-oglas-42019802
26,45.896873,16.83929,Bjelovarsko-bilogorska,Bjelovar,MINI,Countryman,10.700 €,2012. godište,Diesel,105 kW,terensko vozilo / SUV / pick up,5,213552 km,https://www.njuskalo.hr/auti/mini-countryman-2.0-d-all4-koza-navi-alu-18-reg-10-2024-oglas-42118651
27,45.793408603966,16.027072053464,Grad Zagreb,Peščenica - Žitnjak,MINI,Countryman,10.900 €,2011. godište,Benzin,72 kW,limuzina,5,107000 km,https://www.njuskalo.hr/auti/mini-countryman-1.6-oglas-40216518
28,45.80036,15.904677,Grad Zagreb,Stenjevec,MINI,Cooper,6.290 €,2010. godište,Diesel,80 kW,hatchback,3,180082 km,https://www.njuskalo.hr/auti/mini-cooper-cooper-d-reg-10-2024-god-navi-panorama-oglas-42285665
29,45.802260948607,15.910016298294,Grad Zagreb,Stenjevec,MINI,Cooper,4.690 €,2008. godište,Benzin,70 kW,limuzina,3,115630 km,https://www.njuskalo.hr/auti/mini-cooper-1.4-reg-1-god-oglas-42175201
30,45.798664,15.906791,Grad Zagreb,Stenjevec,MINI,Cooper,8.990 €,2014. godište,Diesel,82 kW,coupe,3,152300 km,https://www.njuskalo.hr/auti/mini-cooper-d-paceman-john-cooper-works-reg-1-god-oglas-41816583
31,45.278162266596,18.812078509017,Vukovarsko-srijemska,Vinkovci,MINI,Cooper,8.500 €,2007. godište,Benzin,120 kW,coupe,3,184000 km,https://www.njuskalo.hr/auti/mini-cooper-john-cooper-works-koza-panorama-tempomat-klima-120kw-oglas-42003851
33,45.777738538244,16.057602314965,Grad Zagreb,Peščenica - Žitnjak,MINI,Cooper,26.999 €,2021. godište,Električni,75 kW,coupe,2,3000 km,https://www.njuskalo.hr/auti/mini-cooper-se-panorama-digitalni-sat-kamera-navigacija-mod-oglas-41185512
34,45.776226,15.949068,Grad Zagreb,Novi Zagreb - Zapad,MINI,Cooper,17.500 €,2014. godište,Diesel,125 kW,coupe,3,84300 km,https://www.njuskalo.hr/auti/mini-cooper-cooper-sd-oglas-41587991
35,45.771145,15.947423,Grad Zagreb,Novi Zagreb - Zapad,MINI,One,8.900 €,2013. godište,Diesel,66 kW,hatchback,3,132000 km,https://www.njuskalo.hr/auti/mini-one-1.6-d-chilli-oglas-41768694
36,45.782413,15.982991,Grad Zagreb,Novi Zagreb - Istok,MINI,One,7.500 €,2013. godište,Diesel,66 kW,limuzina,3,157050 km,https://www.njuskalo.hr/auti/mini-one-d-jcw-oglas-41949187
37,45.17813384529,17.967916855183,Brodsko-posavska,Slavonski Brod,MINI,Countryman,35.400 €,2022. godište,Benzin,100 kW,terensko vozilo / SUV / pick up,5,10900 km,https://www.njuskalo.hr/auti/mini-countryman-cooper-automatik-all4-trim-oglas-41959532
38,45.17597939216,17.968828745849,Brodsko-posavska,Slavonski Brod,MINI,Clubman,29.990 €,2019. godište,Diesel,140 kW,karavan,5,72100 km,https://www.njuskalo.hr/auti/mini-clubman-mini-cooper-sd-automatik-chili-oglas-40674721
39,46.165737,16.815243,Koprivničko-križevačka,Koprivnica,MINI,Clubman,6.650 €,2008. godište,Diesel,80 kW,hatchback,5,197000 km,https://www.njuskalo.hr/auti/mini-cooper-1.6-d-clubman-originalno-stanje-super-atraktivan-oglas-40105394
40,46.165737,16.815243,Koprivničko-križevačka,Koprivnica,MINI,Clubman,7.950 €,2012. godište,Diesel,82 kW,hatchback,3,165000 km,https://www.njuskalo.hr/auti/mini-cooper-1.6-sd-clubman-bogata-oprema-super-atraktivan-oglas-39966897
41,45.892963660526,16.204341422843,Zagrebačka,Sveti Ivan Zelina,MINI,Cooper,5.150 €,2007. godište,Diesel,80 kW,hatchback,3,180000 km,https://www.njuskalo.hr/auti/mini-cooper-cooper-d-atraktivan-oglas-40792758
42,45.493439397849,15.557784945006,Karlovačka,Karlovac,MINI,Cooper,27.200 €,2017. godište,Benzin,223 kW,hatchback,3,45784 km,https://www.njuskalo.hr/auti/mini-cooper-john-cooper-works-f56-jcw-automatik-oglas-41511355
43,45.801530667885,16.003078195798,Grad Zagreb,Donji Grad,MINI,Cooper,16.900 €,2016. godište,Diesel,125 kW,hatchback,5,119000 km,https://www.njuskalo.hr/auti/mini-cooper-sd-fl-navi-led-kessy-koza-alu-18-full-top-stanje-original-oglas-39165320
44,45.533491385311,18.641598381164,Osječko-baranjska,Osijek,MINI,Countryman,10.499 €,2012. godište,Diesel,82 kW,limuzina,5,195760 km,https://www.njuskalo.hr/auti/mini-countryman-2.0-d-automatik-ime-kupca-oglas-41930042
45,45.794001634747,15.917685819005,Grad Zagreb,Trešnjevka - Sjever,MINI,Countryman,7.999 €,2012. godište,Diesel,66 kW,terensko vozilo / SUV / pick up,5,189000 km,https://www.njuskalo.hr/auti/mini-countryman-d-oglas-41221029
46,45.820924514818,16.146033434858,Grad Zagreb,Sesvete,MINI,Countryman,13.900 €,2016. godište,Diesel,82 kW,terensko vozilo / SUV / pick up,5,118000 km,https://www.njuskalo.hr/auti/mini-countryman-cooper-d-all4-oglas-41077511
47,43.506023,16.41648,Splitsko-dalmatinska,Split,MINI,Cabrio,15.500 €,2013. godište,Benzin,135 kW,kabriolet,2,67000 km,https://www.njuskalo.hr/auti/mini-cooper-cabrio-1.6-automatik-prvi-vlasnik-registriran-05-2024-oglas-42047278
48,45.823889737925,16.052061874232,Grad Zagreb,Donja Dubrava,MINI,Countryman,34.900 €,2020. godište,Benzin,131 kW,terensko vozilo / SUV / pick up,5,29000 km,https://www.njuskalo.hr/auti/mini-countryman-4-all-panorama-koza-swadowline-keyless-pdv-18-oglas-42279314
49,45.823889737925,16.052061874232,Grad Zagreb,Donja Dubrava,MINI,Cooper,29.999 €,2021. godište,Benzin,100 kW,coupe,2,19000 km,https://www.njuskalo.hr/auti/mini-cooper-jcw-facelift-19-tkm-led-virtual-koza-keyless-pdv-18-oglas-41981335
50,45.37176435320606,18.913728955092118,Vukovarsko-srijemska,Vukovar,MINI,Countryman,8.500 €,2011. godište,Diesel,66 kW,monovolumen,5,162000 km,https://www.njuskalo.hr/auti/mini-countryman-1.6d-oglas-41241141
51,45.816342435529,15.906618935422,Grad Zagreb,Podsused - Vrapče,MINI,Cooper,18.900 €,2017. godište,Diesel,125 kW,limuzina,5,123807 km,https://www.njuskalo.hr/auti/mini-cooper-sd-aut-oglas-41990368
52,45.365539192463,14.326149814419,Primorsko-goranska,Matulji,MINI,Countryman,28.000 €,2020. godište,Diesel,110 kW,hatchback,5,152505 km,https://www.njuskalo.hr/auti/mini-countryman-2.0d-chilli-aut-led-professional-navi-panorama-oglas-41913272
53,45.340246407377,17.674920558929,Požeško-slavonska,Požega,MINI,Clubman,39.900 €,2020. godište,Benzin,225 kW,karavan,6,57800 km,https://www.njuskalo.hr/auti/mini-clubman-jcw-all4-306ks-oglas-40902176
54,45.759811445561,15.880007158008,Grad Zagreb,Novi Zagreb - Zapad,MINI,Cooper,13.299 €,2019. godište,Benzin,75 kW,hatchback,5,165 km,https://www.njuskalo.hr/auti/mini-cooper-one-2019-navi-pdv-garancija-1god-oglas-41970451
55,45.759811445561,15.880007158008,Grad Zagreb,Novi Zagreb - Zapad,MINI,Cooper,13.999 €,2017. godište,Diesel,70 kW,hatchback,5,72200 km,https://www.njuskalo.hr/auti/mini-cooper-diesel-f55-oglas-41876396
56,45.82174603543011,16.09263678119496,Grad Zagreb,Sesvete,MINI,Cooper,12.499 €,2015. godište,Diesel,74 kW,coupe,3,120000 km,https://www.njuskalo.hr/auti/mini-cooper-cooper-d-oglas-41557886
57,45.800701012581,15.972788138112,Grad Zagreb,Trnje,MINI,Clubman,16.999 €,2017. godište,Diesel,85 kW,hatchback,4,95311 km,https://www.njuskalo.hr/auti/mini-clubman-one-d-navi-tempomat-isofix-4x-garancija-oglas-38526989
58,45.806488,15.915004,Grad Zagreb,Stenjevec,MINI,One,4.100 €,2004. godište,Diesel,55 kW,coupe,3,315000 km,https://www.njuskalo.hr/auti/mini-one-1.4d-2004g-reg-10-24-stanje-odlicno-kredit-oglas-42185132
60,45.354916,14.364039,Primorsko-goranska,Rijeka,MINI,One,5.999 €,2010. godište,Benzin,55 kW,coupe,3,163929 km,https://www.njuskalo.hr/auti/mini-one-1.6-servisna-garancija-klima-reg-1-god-oglas-41475944
