linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.80539,15.883189,Grad Zagreb,Stenjevec,Mitsubishi,Space Star,8.950 €,2017. godište,Benzin,52 kW,limuzina,4,9000 km,https://www.njuskalo.hr/auti/mitsubishi-space-star-1.0-entry-klima-9.000-km-reg-1-god-oglas-42009611
2,45.72727377526,16.033354997635,Zagrebačka,Velika Gorica - Okolica,Mitsubishi,Outlander,21.000 €,2016. godište,Plug-in hibrid,150 kW,terensko vozilo / SUV / pick up,5,135000 km,https://www.njuskalo.hr/auti/mitsubishi-outlander-2.0-automatik-oglas-42319173
3,45.545732237414,18.627436994112,Osječko-baranjska,Osijek,Mitsubishi,Outlander,2.999 €,2003. godište,Benzin,100 kW,terensko vozilo / SUV / pick up,5,284104 km,https://www.njuskalo.hr/auti/mitsubishi-outlander-2.0-benz-lpg-4x4-panorama-koza-kuka-reg-02-24-oglas-41969621
4,45.814766,15.881865,Grad Zagreb,Stenjevec,Mitsubishi,Lancer,2.650 €,2006. godište,Benzin,72 kW,limuzina,4,247000 km,https://www.njuskalo.hr/auti/mitsubishi-lancer-1.6-special-reg-06-24-atestirani-plin-oglas-41754075
5,45.47565306802,16.340646673705,Sisačko-moslavačka,Sisak,Mitsubishi,Colt,2.999 €,2006. godište,Benzin,269.000 kW,limuzina,5,269000 km,https://www.njuskalo.hr/auti/mitsubishi-colt-1.3-oglas-42202135
7,45.346484504105,14.444017135487,Primorsko-goranska,Rijeka,Mitsubishi,Pajero,230 €,2007. godište,Diesel,,terensko vozilo / SUV / pick up,5,240000 km,https://www.njuskalo.hr/auti/mitsubishi-pajero-4x4td-oglas-42263110
8,45.808740526459,15.900170508915,Grad Zagreb,Stenjevec,Mitsubishi,Space Star,10.999 €,2021. godište,Benzin,59 kW,limuzina,5,13400 km,https://www.njuskalo.hr/auti/mitsubishi-space-star-1.2-klima-reg-1-godinu-oglas-42278955
9,45.808740526459,15.900170508915,Grad Zagreb,Stenjevec,Mitsubishi,Colt,4.999 €,2011. godište,Benzin,70 kW,hatchback,5,145000 km,https://www.njuskalo.hr/auti/mitsubishi-colt-1.3-oglas-41903210
10,45.986174630946,16.852879570889,Bjelovarsko-bilogorska,Kapela,Mitsubishi,L200,29.900 €,2016. godište,Diesel,133 kW,terensko vozilo / SUV / pick up,4,68000 km,https://www.njuskalo.hr/auti/mitsubishi-l200-2.4-di-d-oglas-42028461
11,45.814905311284,15.839189843376,Grad Zagreb,Podsused - Vrapče,Mitsubishi,Space Star,6.200 €,2020. godište,Benzin,52 kW,limuzina,4,164000 km,https://www.njuskalo.hr/auti/mitsubishi-space-star-1.0-164-000km-garancija-kilometre-oglas-42314163
12,46.3069,16.336807,Varaždinska,Varaždin,Mitsubishi,ASX,9.950 €,2013. godište,Diesel,85 kW,terensko vozilo / SUV / pick up,5,190500 km,https://www.njuskalo.hr/auti/mitsubishi-asx-1.8did-kamera-alu-auto-klima-touchscreen-nema-prijepisa-oglas-41648375
13,51.061207835484,10.615805014144,Njemačka,,Mitsubishi,Outlander,15.990 €,2014. godište,Plug-in hibrid,149 kW,terensko vozilo / SUV / pick up,5,15990 km,https://www.njuskalo.hr/auti/mitsubishi-outlander-2.0-plug-in-hybrd-4wd-12kwh-52km-navi-kam-led-oglas-42309423
