linenum,url
1,https://www.njuskalo.hr/auti/mitsubishi-space-star-1.0-entry-klima-9.000-km-reg-1-god-oglas-42009611
2,https://www.njuskalo.hr/auti/mitsubishi-outlander-2.0-automatik-oglas-42319173
3,https://www.njuskalo.hr/auti/mitsubishi-outlander-2.0-benz-lpg-4x4-panorama-koza-kuka-reg-02-24-oglas-41969621
4,https://www.njuskalo.hr/auti/mitsubishi-lancer-1.6-special-reg-06-24-atestirani-plin-oglas-41754075
5,https://www.njuskalo.hr/auti/mitsubishi-colt-1.3-oglas-42202135
6,https://www.njuskalo.hr/auti/mitsubishi-l200-2.5-did-vozilo-dolasku-oglas-42167704
7,https://www.njuskalo.hr/auti/mitsubishi-pajero-4x4td-oglas-42263110
8,https://www.njuskalo.hr/auti/mitsubishi-space-star-1.2-klima-reg-1-godinu-oglas-42278955
9,https://www.njuskalo.hr/auti/mitsubishi-colt-1.3-oglas-41903210
10,https://www.njuskalo.hr/auti/mitsubishi-l200-2.4-di-d-oglas-42028461
11,https://www.njuskalo.hr/auti/mitsubishi-space-star-1.0-164-000km-garancija-kilometre-oglas-42314163
12,https://www.njuskalo.hr/auti/mitsubishi-asx-1.8did-kamera-alu-auto-klima-touchscreen-nema-prijepisa-oglas-41648375
13,https://www.njuskalo.hr/auti/mitsubishi-outlander-2.0-plug-in-hybrd-4wd-12kwh-52km-navi-kam-led-oglas-42309423
14,https://www.njuskalo.hr/auti/mitsubishi-outlander-2.0-mivec-kamera-gr-sjedala-alu-tempo-serv-oglas-42308883
15,https://www.njuskalo.hr/auti/mitsubishi-outlander-2.2-di-d-navi-kam-alu-led-gr-sjedala-kuka-serv-oglas-42306561
16,https://www.njuskalo.hr/auti/mitsubishi-space-star-1.0-klima-1-vlasnik-4x-garancija-oglas-41247609
17,https://www.njuskalo.hr/auti/mitsubishi-space-star-1.0-klima-1-vlasnik-4x-garancija-oglas-40688807
18,https://www.njuskalo.hr/auti/mitsubishi-outlander-2.2-di-d-4wd-navi-kam-alu-el-sjed-dab-koza-oglas-42303964
19,https://www.njuskalo.hr/auti/mitsubishi-outlander-2wd-2.2-pdc-alu-tempo-auto-klima-2-zone-servisna-oglas-42303676
20,https://www.njuskalo.hr/auti/mitsubishi-outlander-2.2-did-4x4-138.000km-servisna-nov-reg-oglas-41941273
21,https://www.njuskalo.hr/auti/mitsubishi-colt-1.3-motion-oglas-41698300
22,https://www.njuskalo.hr/auti/mitsubishi-colt-1.3-oglas-41504624
23,https://www.njuskalo.hr/auti/mitsubishi-colt-1.3-oglas-40245924
24,https://www.njuskalo.hr/auti/mitsubishi-colt-1.3-oglas-38808891
25,https://www.njuskalo.hr/auti/mitsubishi-colt-1.3-oglas-36521410
26,https://www.njuskalo.hr/auti/mitsubishi-lancer-1.6-oglas-42294679
27,https://www.njuskalo.hr/auti/mitsubishi-space-star-1.0-alu-felge-maglenke-samo-30-000km-oglas-42294258
28,https://www.njuskalo.hr/auti/mitsubishi-space-star-1.2-2016-kupljen-hrvatskoj-oglas-42011087
