linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.51598687498004,18.554032365103843,Osječko-baranjska,Čepin,Nissan,Qashqai,9.650 €,2013. godište,Diesel,81 kW,terensko vozilo / SUV / pick up,5,163000 km,https://www.njuskalo.hr/auti/nissan-qashqai-1.5-dci-oglas-42022640
2,45.836523479361,16.147274313841,Grad Zagreb,Sesvete,Nissan,Qashqai,15.880 €,2015. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,112000 km,https://www.njuskalo.hr/auti/nissan-qashqai-1.6-dci-automatik-360cam-panorama-navi-led-oglas-42232642
3,45.852163411177,16.058421945713,Grad Zagreb,Gornja Dubrava,Nissan,X-Trail,19.200 €,2016. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,126000 km,https://www.njuskalo.hr/auti/nissan-x-trail-1.6-dci-automatik-registriran-vidi-plati-vozi-oglas-41284168
4,45.824028,16.15149,Grad Zagreb,Sesvete,Nissan,Micra,17.800 €,2022. godište,Benzin,70 kW,hatchback,5,5900 km,https://www.njuskalo.hr/auti/nissan-micra1.0-ig-t-n-design-5900km-navi-kamera-pdc-garancija-oglas-40946200
5,45.793,16.025572,Grad Zagreb,Peščenica - Žitnjak,Nissan,Qashqai+2,11.990 €,2012. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,147000 km,https://www.njuskalo.hr/auti/nissan-qashqai-2-1.6-dci-tekna-koza-panorama-7-sjedala-oglas-41924417
6,45.17467,18.003489,Brodsko-posavska,Slavonski Brod,Nissan,Qashqai,9.500 €,2013. godište,Diesel,81 kW,terensko vozilo / SUV / pick up,5,189521 km,https://www.njuskalo.hr/auti/nissan-qashqai-1.5-dci-2013god-1vlasnik-servisna-ime-kupca-oglas-41138756
7,43.443052633852,16.682444060459,Splitsko-dalmatinska,Omiš,Nissan,Qashqai,16.200 €,2015. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,143000 km,https://www.njuskalo.hr/auti/nissan-qashqai-1.6-dci-automatik-oglas-42319018
8,45.824800105725,16.136219398786,Grad Zagreb,Sesvete,Nissan,Note,9.499 €,2014. godište,Diesel,66 kW,hatchback,5,89000 km,https://www.njuskalo.hr/auti/nissan-note-1.5-dci-hr-auto-oprema-89.000km-1-vlasnik-model-2015-oglas-41980242
9,45.59009,16.211376,Sisačko-moslavačka,Lekenik,Nissan,Qashqai,10.300 €,2013. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,169000 km,https://www.njuskalo.hr/auti/nissan-qashqai-1.6-dci-360-oglas-41304870
10,45.59362,16.210941,Sisačko-moslavačka,Lekenik,Nissan,Qashqai,10.200 €,2012. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,168000 km,https://www.njuskalo.hr/auti/nissan-qashqai-1.6-dci-tekna-2xpdc-navi-jamstvo-oglas-41520623
11,45.80539,15.883189,Grad Zagreb,Stenjevec,Nissan,Note,7.600 €,2015. godište,Diesel,66 kW,limuzina,4,147000 km,https://www.njuskalo.hr/auti/nissan-note-1.5-dci-look-klima-navigacija-alu-reg-1-god-oglas-41470272
12,46.174263419767,16.841712370495,Koprivničko-križevačka,Koprivnica,Nissan,Qashqai,21.999 €,2019. godište,Benzin,103 kW,terensko vozilo / SUV / pick up,5,66600 km,https://www.njuskalo.hr/auti/nissan-qashqai-1.3-dig-t-oglas-42269263
13,46.170217859864,16.83591493657,Koprivničko-križevačka,Koprivnica,Nissan,X-Trail,19.999 €,2017. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,82650 km,https://www.njuskalo.hr/auti/nissan-x-trail-1.6-dci-tekna-x-automatik-3-godine-jamstva-oglas-42271051
14,46.17484787703,16.830128962437,Koprivničko-križevačka,Koprivnica,Nissan,Qashqai,19.999 €,2017. godište,Diesel,81 kW,terensko vozilo / SUV / pick up,5,73550 km,https://www.njuskalo.hr/auti/nissan-qashqai-1.5-dci-n-connecta-android-3-godine-jamstva-oglas-42269567
15,46.173393490277,16.837794163797,Koprivničko-križevačka,Koprivnica,Nissan,Qashqai,20.999 €,2017. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,96750 km,https://www.njuskalo.hr/auti/nissan-qashqai-1.6-dci-n-connecta-automatik-3-godine-jamstva-oglas-42132692
16,46.173967630417,16.835566794449,Koprivničko-križevačka,Koprivnica,Nissan,Qashqai,20.999 €,2017. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,71800 km,https://www.njuskalo.hr/auti/nissan-qashqai-1.6-dci-tekna-x-panorama-3-godine-jamstva-oglas-41815899
17,46.173403395154,16.834633559038,Koprivničko-križevačka,Koprivnica,Nissan,Qashqai,16.999 €,2016. godište,Diesel,81 kW,terensko vozilo / SUV / pick up,5,120750 km,https://www.njuskalo.hr/auti/nissan-qashqai-1.5-dci-tekna-panorama-3-godine-jamstva-oglas-41815812
18,45.819093680165,16.079656729411,Grad Zagreb,Sesvete,Nissan,X-Trail,13.999 €,2015. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,210000 km,https://www.njuskalo.hr/auti/nissan-x-trail-1.6-dci-navigacija-regan-godinu-dana-360cam-led-oglas-42319260
