linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.720218110747,16.048054347155,Zagrebačka,Velika Gorica - Okolica,Opel,Astra Karavan,7.190 €,2015. godište,Diesel,81 kW,karavan,5,148400 km,https://www.njuskalo.hr/auti/opel-astra-karavan-1.6-cdti-oglas-42260995
2,45.720218110747,16.048054347155,Zagrebačka,Velika Gorica - Okolica,Opel,Astra Karavan,6.590 €,2015. godište,Diesel,81 kW,karavan,5,214000 km,https://www.njuskalo.hr/auti/opel-astra-karavan-1.6-cdti-oglas-42129888
3,45.726220121146,16.038434366215,Zagrebačka,Velika Gorica - Okolica,Opel,Astra Karavan,5.090 €,2011. godište,Diesel,70 kW,karavan,5,189300 km,https://www.njuskalo.hr/auti/opel-astra-karavan-1.3-cdti-oglas-41504318
4,45.727591343783,16.040986721832,Zagrebačka,Velika Gorica - Okolica,Opel,Insignia Karavan,8.190 €,2015. godište,Diesel,103 kW,karavan,5,197300 km,https://www.njuskalo.hr/auti/opel-insignia-karavan-2.0-cdti-oglas-41487727
5,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Opel,Astra,5.690 €,2010. godište,Diesel,92 kW,hatchback,5,221000 km,https://www.njuskalo.hr/auti/opel-astra-1.7-cdti-oglas-42319901
6,46.296703,16.244778,Varaždinska,Vidovec,Opel,Corsa,4.850 €,2010. godište,Benzin,59 kW,limuzina,5,187000 km,https://www.njuskalo.hr/auti/opel-corsa-1.2-16v-nije-uvoz-2-vlasnik-cijena-5100-eura-zamjena-oglas-42201527
7,43.547913,16.3317,Splitsko-dalmatinska,Kaštela,Opel,Mokka,10.950 €,2015. godište,Diesel,100 kW,terensko vozilo / SUV / pick up,5,158200 km,https://www.njuskalo.hr/auti/opel-mokka-1.6-cdti-automatik-oglas-42217316
8,43.5533,16.432522,Splitsko-dalmatinska,Kaštela,Opel,Grandland,18.000 €,2019. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,65000 km,https://www.njuskalo.hr/auti/opel-grandland-x-1.5-oglas-38980342
9,45.888954,16.858547,Bjelovarsko-bilogorska,Bjelovar,Opel,Crossland,12.799 €,2018. godište,Benzin,61 kW,monovolumen,5,112000 km,https://www.njuskalo.hr/auti/opel-crossland-1.2-x-innovation-hr-auto-navigacija-kamera-servisiran-oglas-41649334
11,45.361343,14.3857765,Primorsko-goranska,Viškovo,Opel,Corsa,4.200 €,2010. godište,Diesel,55 kW,hatchback,3,181000 km,https://www.njuskalo.hr/auti/opel-corsa-1.3-cdti-oglas-42319793
12,43.760125927479,15.874343204845,Šibensko-kninska,Šibenik,Opel,Corsa,15.800 €,2022. godište,Benzin,55 kW,hatchback,5,22863 km,https://www.njuskalo.hr/auti/opel-corsa-1.2-edition-garancija-oglas-41643772
13,43.754339149467,15.882666303977,Šibensko-kninska,Šibenik,Opel,Astra,3.170 €,2000. godište,Benzin,66 kW,hatchback,5,237550 km,https://www.njuskalo.hr/auti/opel-astra-1.4i-16v-garancija-oglas-40743591
14,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Opel,Corsa,8.290 €,2015. godište,Diesel,70 kW,hatchback,5,134000 km,https://www.njuskalo.hr/auti/opel-corsa-1.3-cdti-6-brzina-park-pilot-oglas-41030949
15,45.904570186905,16.843464921173,Bjelovarsko-bilogorska,Bjelovar,Opel,Astra Karavan,7.650 €,2014. godište,Diesel,81 kW,karavan,5,175000 km,https://www.njuskalo.hr/auti/opel-astra-karavan-1.7-cdti-oglas-41592140
16,45.93025754198075,16.83445283946006,Bjelovarsko-bilogorska,Bjelovar,Opel,Combo,13.900 €,2019. godište,Diesel,75 kW,limuzina,5,116000 km,https://www.njuskalo.hr/auti/opel-combo-1.5-life-oglas-41886653
17,45.614834,15.4786,Karlovačka,Ozalj,Opel,Corsa,15.950 €,2022. godište,Benzin,55 kW,hatchback,5,8500 km,https://www.njuskalo.hr/auti/opel-corsa-1.2i-12-2022-8-500km-oglas-41687441
18,45.819717,16.054276,Grad Zagreb,Donja Dubrava,Opel,Cascada,15.900 €,2013. godište,Benzin,103 kW,kabriolet,2,171000 km,https://www.njuskalo.hr/auti/opel-cascada-turbo-kabrio-auto-tip-top-oglas-42319758
19,46.31101,16.352512,Varaždinska,Varaždin,Opel,Astra Karavan,6.900 €,2013. godište,Diesel,81 kW,karavan,5,205100 km,https://www.njuskalo.hr/auti/opel-astra-karavan-1.7-cdti-sport-oglas-42300275
21,45.794967179655,16.011393246362,Zagrebačka,Velika Gorica,Opel,Crossland,15.300 €,2021. godište,Benzin,61 kW,terensko vozilo / SUV / pick up,5,18093 km,https://www.njuskalo.hr/auti/opel-crossland-1.2-oglas-42319750
22,45.839665354221,15.905399652992,Grad Zagreb,Stenjevec,Opel,Insignia,10.900 €,2014. godište,Diesel,96 kW,limuzina,5,225411 km,https://www.njuskalo.hr/auti/opel-insignia-2.0-cdti-cosmo-oprema-automatik-navi-sport-10.900-oglas-41914678
23,45.834995,16.054234,Grad Zagreb,Gornja Dubrava,Opel,Insignia,8.500 €,2017. godište,Diesel,100 kW,karavan,5,190000 km,https://www.njuskalo.hr/auti/insignija-sports-tourer-2017g-1.6-cdti-automatic-navi-170000km-zamjen-oglas-40124512
27,45.750454425939,16.612647068748,Bjelovarsko-bilogorska,Čazma,Opel,Meriva,4.500 €,2011. godište,Diesel,55 kW,monovolumen,5,249663 km,https://www.njuskalo.hr/auti/opel-meriva-1.3-cdti-oglas-40954122
28,45.852201295384,16.058428266626,Grad Zagreb,Gornja Dubrava,Opel,Mokka,14.000 €,2016. godište,Diesel,100 kW,terensko vozilo / SUV / pick up,5,106000 km,https://www.njuskalo.hr/auti/opel-mokka-1.6-cdti-edition-automatik-top-servisna-oglas-40545110
29,45.552431269416,18.642146033633,Osječko-baranjska,Osijek,Opel,Corsa,8.499 €,2017. godište,Benzin,66 kW,hatchback,5,126245 km,https://www.njuskalo.hr/auti/opel-corsa-1.4-tempomat-gr-sjed-alu-serv-knjiz-jamstvo-12-mj-oglas-42319643
