linenum,url
1,https://www.njuskalo.hr/auti/opel-astra-karavan-1.6-cdti-oglas-42260995
2,https://www.njuskalo.hr/auti/opel-astra-karavan-1.6-cdti-oglas-42129888
3,https://www.njuskalo.hr/auti/opel-astra-karavan-1.3-cdti-oglas-41504318
4,https://www.njuskalo.hr/auti/opel-insignia-karavan-2.0-cdti-oglas-41487727
5,https://www.njuskalo.hr/auti/opel-astra-1.7-cdti-oglas-42319901
6,https://www.njuskalo.hr/auti/opel-corsa-1.2-16v-nije-uvoz-2-vlasnik-cijena-5100-eura-zamjena-oglas-42201527
7,https://www.njuskalo.hr/auti/opel-mokka-1.6-cdti-automatik-oglas-42217316
8,https://www.njuskalo.hr/auti/opel-grandland-x-1.5-oglas-38980342
9,https://www.njuskalo.hr/auti/opel-crossland-1.2-x-innovation-hr-auto-navigacija-kamera-servisiran-oglas-41649334
10,https://www.njuskalo.hr/auti/opel-astra-1.7-cdti-edition-puno-opreme-top-stanje-jamstvo-oglas-42186051
11,https://www.njuskalo.hr/auti/opel-corsa-1.3-cdti-oglas-42319793
12,https://www.njuskalo.hr/auti/opel-corsa-1.2-edition-garancija-oglas-41643772
13,https://www.njuskalo.hr/auti/opel-astra-1.4i-16v-garancija-oglas-40743591
14,https://www.njuskalo.hr/auti/opel-corsa-1.3-cdti-6-brzina-park-pilot-oglas-41030949
15,https://www.njuskalo.hr/auti/opel-astra-karavan-1.7-cdti-oglas-41592140
16,https://www.njuskalo.hr/auti/opel-combo-1.5-life-oglas-41886653
17,https://www.njuskalo.hr/auti/opel-corsa-1.2i-12-2022-8-500km-oglas-41687441
18,https://www.njuskalo.hr/auti/opel-cascada-turbo-kabrio-auto-tip-top-oglas-42319758
19,https://www.njuskalo.hr/auti/opel-astra-karavan-1.7-cdti-sport-oglas-42300275
20,https://www.njuskalo.hr/auti/opel-astra-karavan-1.6-cdti-2015god-65.000tkm-oglas-42188980
21,https://www.njuskalo.hr/auti/opel-crossland-1.2-oglas-42319750
22,https://www.njuskalo.hr/auti/opel-insignia-2.0-cdti-cosmo-oprema-automatik-navi-sport-10.900-oglas-41914678
23,https://www.njuskalo.hr/auti/insignija-sports-tourer-2017g-1.6-cdti-automatic-navi-170000km-zamjen-oglas-40124512
24,https://www.njuskalo.hr/auti/opel-astra-1.4-16v-oglas-41539191
25,https://www.njuskalo.hr/auti/opel-astra-1.4-knjiga-178-tkm-nov-nov-kred-kart-hr-au-oglas-42297264
26,https://www.njuskalo.hr/auti/opel-astra-2.0-dti-oglas-42217860
27,https://www.njuskalo.hr/auti/opel-meriva-1.3-cdti-oglas-40954122
28,https://www.njuskalo.hr/auti/opel-mokka-1.6-cdti-edition-automatik-top-servisna-oglas-40545110
29,https://www.njuskalo.hr/auti/opel-corsa-1.4-tempomat-gr-sjed-alu-serv-knjiz-jamstvo-12-mj-oglas-42319643
30,https://www.njuskalo.hr/auti/opel-astra-1.3-cdti-oglas-39943021
