linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,,,Istarska,,Peugeot,2008,20.990 €,2021. godište,Benzin,74 kW,limuzina,5,26600 km,https://www.njuskalo.hr/auti/peugeot-2008-1.2-pripremi-oglas-42275331
2,,,Grad Zagreb,,Peugeot,2008,14.894 €,2018. godište,Diesel,75 kW,terensko vozilo / SUV / pick up,5,80516 km,https://www.njuskalo.hr/auti/peugeot-2008-1.5-bluehdi-allure-senzori-navi-tempomat-2-godine-jam-oglas-41620387
4,45.727591343783,16.040986721832,Zagrebačka,Velika Gorica - Okolica,Peugeot,308 SW,7.090 €,2015. godište,Diesel,88 kW,karavan,5,215000 km,https://www.njuskalo.hr/auti/peugeot-308-sw-1.6-bluehdi-business-oglas-41557023
5,,,Grad Zagreb,,Peugeot,5008,25.825 €,2020. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,80881 km,https://www.njuskalo.hr/auti/peugeot-5008-1.5-bluehdi-7-sjedala-automatik-2-godine-jamstva-oglas-42200638
6,45.345776,16.968098,Sisačko-moslavačka,Novska,Peugeot,308 SW,9.999,2014. godište,Diesel,85 kW,karavan,5,160000 km,https://www.njuskalo.hr/auti/pegueot-308-1.6-hdi-top-stanje-oglas-41984017
7,45.904081645597,16.160954351546,Grad Zagreb,Sesvete,Peugeot,407,2.900 €,2008. godište,Diesel,80 kW,limuzina,4,250000 km,https://www.njuskalo.hr/auti/peugeot-407-1.6-hdi-odlicno-stanje-org-km-reg-1god-oglas-42286581
8,,,Istarska,,Peugeot,3008,21.590 €,2019. godište,Benzin,96 kW,terensko vozilo / SUV / pick up,5,79569 km,https://www.njuskalo.hr/auti/peugeot-3008-1.2-pripremi-oglas-42279587
9,45.888954,16.858547,Bjelovarsko-bilogorska,Bjelovar,Peugeot,2008,12.299 €,2018. godište,Diesel,75 kW,monovolumen,5,108000 km,https://www.njuskalo.hr/auti/peugeot-2008-1.6-bluehdi-style-navigacija-park-senzori-itd-oglas-41628699
11,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Peugeot,208,6.960 €,2015. godište,Diesel,50 kW,hatchback,5,193000 km,https://www.njuskalo.hr/auti/peugeot-208-1.4-hdi-oglas-42066615
12,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Peugeot,208,6.630 €,2012. godište,Diesel,50 kW,hatchback,5,231000 km,https://www.njuskalo.hr/auti/peugeot-208-1.4-hdi-oglas-40930557
13,45.882923,16.420294,Zagrebačka,Vrbovec,Peugeot,3008,7.300 €,2010. godište,Diesel,81 kW,monovolumen,5,194000 km,https://www.njuskalo.hr/auti/peugeot-3008-1.6-hdi-110-ks-oglas-42279279
14,45.882923,16.420294,Zagrebačka,Vrbovec,Peugeot,508,27.500 €,2019. godište,Diesel,132 kW,limuzina,5,98000 km,https://www.njuskalo.hr/auti/peugeot-508-gt-2.0-bluehdi-180-eat8-automatic-oglas-42009360
15,45.825942001365,16.09551869956,Grad Zagreb,Sesvete,Peugeot,308,12.999 €,2019. godište,Diesel,96 kW,hatchback,5,105000 km,https://www.njuskalo.hr/auti/peugeot-308-1.5-bluehdi-oglas-41767891
16,45.820361113826,16.163686190092,Grad Zagreb,Sesvete,Peugeot,208,6.500 €,2014. godište,Diesel,50 kW,hatchback,5,180000 km,https://www.njuskalo.hr/auti/peugeot-208-1.4-hdi-klima-alu-ljetne-zimski-set-nema-prijenosa-oglas-42020604
17,45.838286978595,15.902644594028,Grad Zagreb,Stenjevec,Peugeot,3008,19.700 €,2018. godište,Diesel,100 kW,terensko vozilo / SUV / pick up,5,144311 km,https://www.njuskalo.hr/auti/peugeot-3008-2.0-bluehdi-oprema-exclusive-crossway-alcantara-19.700-oglas-42263198
18,45.545915681625,18.689061281237,Osječko-baranjska,Osijek,Peugeot,308 SW,12.400 €,2017. godište,Diesel,88 kW,karavan,5,130492 km,https://www.njuskalo.hr/auti/peugeot-308-sw-1.6-bluehdi-navi-leasing-rata-vec-190.00-oglas-41889437
19,45.561546,18.686954,Osječko-baranjska,Osijek,Peugeot,508,5.950 €,2012. godište,Diesel,103 kW,limuzina,4,300700 km,https://www.njuskalo.hr/auti/peugeot-508-2.0-hdi-oglas-42181930
20,45.82606,16.113707,Grad Zagreb,Sesvete,Peugeot,3008,16.499 €,2016. godište,Diesel,88 kW,terensko vozilo / SUV / pick up,5,153000 km,https://www.njuskalo.hr/auti/peugeot-3008-1.6-bluehdi-kamera-key-less-navigacija-allure-oglas-42285837
21,45.82492,16.147665,Grad Zagreb,Sesvete,Peugeot,3008,22.900 €,2018. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,112000 km,https://www.njuskalo.hr/auti/peugeot-3008-1.5-bluehdi-gt-line-panorama-kamera-navi-virtual-cocpit-oglas-41626759
22,45.82492,16.147665,Grad Zagreb,Sesvete,Peugeot,308 SW,12.900 €,2017. godište,Diesel,88 kW,karavan,5,128000 km,https://www.njuskalo.hr/auti/peugeot-308-sw-1.6-bluehdi-panorama-full-led-navigacija-kamera-kuka-oglas-40425117
23,45.82606,16.113707,Grad Zagreb,Sesvete,Peugeot,207 SW,4.500 €,2009. godište,Diesel,80 kW,karavan,5,203000 km,https://www.njuskalo.hr/auti/peugeot-207-sw-1.6-hdi-panorama-koza-automatska-klima-senzori-oglas-41982452
24,45.82606,16.113707,Grad Zagreb,Sesvete,Peugeot,407,5.500 €,2010. godište,Diesel,80 kW,limuzina,4,185714 km,https://www.njuskalo.hr/auti/peugeot-407-1.6-hdi-16v-navi-automatska-klima-oglas-41613028
25,45.82606,16.113707,Grad Zagreb,Sesvete,Peugeot,508 SW,6.800 €,2014. godište,Diesel,84 kW,karavan,5,214000 km,https://www.njuskalo.hr/auti/peugeot-508-sw-1.6-klima-navi-6-brzina-oglas-41732387
26,45.771672637113,15.944290689987,Grad Zagreb,Novi Zagreb - Zapad,Peugeot,3008,31.700 €,2021. godište,Diesel,96 kW,terensko vozilo / SUV / pick up,5,36000 km,https://www.njuskalo.hr/auti/peugeot-3008-1.5-bluehdi-gt-line-full-oprema-jamstvo-leasing-oglas-42113798
