linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.819824128917,16.099611241116,Grad Zagreb,Sesvete,Porsche,Cayenne,39.999 €,2013. godište,Diesel,283 kW,terensko vozilo / SUV / pick up,5,189000 km,https://www.njuskalo.hr/auti/porsche-cayenne-4.2-tdi-v8-450ks-turbo-look-maxhaust-panorama-led-21-oglas-42255794
2,45.825387127826,16.100648203652,Grad Zagreb,Sesvete,Porsche,Macan,46.999 €,2016. godište,Benzin,250 kW,terensko vozilo / SUV / pick up,5,158000 km,https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-340ks-pdk-f1-redizajn-chrono-bose-nappa-led-20-oglas-42283019
3,45.82606,16.113707,Grad Zagreb,Sesvete,Porsche,Macan,36.000 €,2015. godište,Diesel,190 kW,terensko vozilo / SUV / pick up,5,200000 km,https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-pdk-automatik-panorama-memorija-navi-oglas-40660248
4,43.506023,16.41648,Splitsko-dalmatinska,Split,Porsche,Macan,95.000 €,2021. godište,Benzin,280 kW,terensko vozilo / SUV / pick up,5,24000 km,https://www.njuskalo.hr/auti/porsche-macan-4x4-oglas-41664528
5,45.8091972976,15.916118766289,Grad Zagreb,Trešnjevka - Sjever,Porsche,Panamera,129.990 €,2021. godište,Hibrid,340 kW,limuzina,5,38500 km,https://www.njuskalo.hr/auti/porsche-panamera-4e-hybrid-sport-design-sport-chrono-oglas-41178898
6,45.814766,15.881865,Grad Zagreb,Stenjevec,Porsche,911,41.000 €,2003. godište,Benzin,235 kW,coupe,2,191000 km,https://www.njuskalo.hr/auti/porsche-911-carrera-4-reg-06-2023-izvrsno-stanje-oglas-38589998
7,45.812787557228,16.097596468553,Grad Zagreb,Sesvete,Porsche,Cayenne,8.599 €,2005. godište,Benzin,184 kW,terensko vozilo / SUV / pick up,5,227000 km,https://www.njuskalo.hr/auti/porsche-cayenne-3.2-v6-odlicno-stanje-hr-vozilo-plin-2027god-oglas-42264318
8,45.859297167029,16.022692504555,Grad Zagreb,Podsljeme,Porsche,Cayenne,124.800 €,2023. godište,Plug-in hibrid,250 kW,terensko vozilo / SUV / pick up,5,7000 km,https://www.njuskalo.hr/auti/porsche-cayenne-coupe-e-hybrid-automatik-platinum-panorama-pdv-oglas-42129666
9,45.81693691398828,15.946680442482663,Grad Zagreb,Črnomerec,Porsche,Macan,41.500 €,2015. godište,Diesel,190 kW,terensko vozilo / SUV / pick up,5,151000 km,https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-pdk-151.000-izvanredan-servis-098-9545829-oglas-41750382
10,45.827393,16.103964,Grad Zagreb,Sesvete,Porsche,Cayenne,24.999,2013. godište,Diesel,180 kW,terensko vozilo / SUV / pick up,5,330000 km,https://www.njuskalo.hr/auti/porsche-cayenne-3.0-v6-tdi-oglas-40798818
11,45.828332925967494,16.11604192428497,Grad Zagreb,Sesvete,Porsche,911,179.000 €,2023. godište,Benzin,283 kW,kabriolet,2,11000 km,https://www.njuskalo.hr/auti/porsche-911-911-automatik-oglas-41659344
13,45.8460003008131,17.364655794187474,Virovitičko-podravska,Virovitica,Porsche,Panamera,74.900 €,2017. godište,Hibrid,340 kW,coupe,4,123000 km,https://www.njuskalo.hr/auti/porsche-panamera-e-hybrid-sport-matrix-alu-21-profi-navi-oglas-41719178
14,45.823889737925,16.052061874232,Grad Zagreb,Donja Dubrava,Porsche,Panamera,103.500 €,2019. godište,Benzin,338 kW,karavan,5,127000 km,https://www.njuskalo.hr/auti/porsche-panamera-gts-sport-turismo-pdk-matrix-panorama-headup-21-oglas-41352744
15,45.823889737925,16.052061874232,Grad Zagreb,Donja Dubrava,Porsche,Cayenne,95.000 €,2019. godište,Benzin,250 kW,terensko vozilo / SUV / pick up,5,69000 km,https://www.njuskalo.hr/auti/porsche-cayenne-coupe-chrono-panorama-matrix-360-bose-22-pdv-oglas-40792038
16,45.823889737925,16.052061874232,Grad Zagreb,Donja Dubrava,Porsche,Panamera,1 €,2017. godište,Benzin,404 kW,coupe,5,113000 km,https://www.njuskalo.hr/auti/porsche-panamera-turbo-matrix-bose-keyless-go-zracni-ovjes-oglas-40455067
17,45.823889737925,16.052061874232,Grad Zagreb,Donja Dubrava,Porsche,Taycan,97.000 €,2020. godište,Električni,500 kW,limuzina,4,61000 km,https://www.njuskalo.hr/auti/porsche-taycan-turbo-chrono-zracni-ovjes-pano-matrix-hr-auto-21-oglas-41734571
18,45.823889737925,16.052061874232,Grad Zagreb,Donja Dubrava,Porsche,Macan,76.900 €,2022. godište,Benzin,195 kW,terensko vozilo / SUV / pick up,5,29000 km,https://www.njuskalo.hr/auti/porsche-macan-chrono-pdk-hr-auto-pano-kamera-koza-led-pdv-20-oglas-42280139
19,45.823889737925,16.052061874232,Grad Zagreb,Donja Dubrava,Porsche,Cayenne,71.500 €,2018. godište,Benzin,250 kW,terensko vozilo / SUV / pick up,5,159000 km,https://www.njuskalo.hr/auti/porsche-cayenne-tiptronic-3.0-v6-panorama-zracni-ovjes-kamera-22-oglas-40351823
