linenum,url
1,https://www.njuskalo.hr/auti/porsche-cayenne-4.2-tdi-v8-450ks-turbo-look-maxhaust-panorama-led-21-oglas-42255794
2,https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-340ks-pdk-f1-redizajn-chrono-bose-nappa-led-20-oglas-42283019
3,https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-pdk-automatik-panorama-memorija-navi-oglas-40660248
4,https://www.njuskalo.hr/auti/porsche-macan-4x4-oglas-41664528
5,https://www.njuskalo.hr/auti/porsche-panamera-4e-hybrid-sport-design-sport-chrono-oglas-41178898
6,https://www.njuskalo.hr/auti/porsche-911-carrera-4-reg-06-2023-izvrsno-stanje-oglas-38589998
7,https://www.njuskalo.hr/auti/porsche-cayenne-3.2-v6-odlicno-stanje-hr-vozilo-plin-2027god-oglas-42264318
8,https://www.njuskalo.hr/auti/porsche-cayenne-coupe-e-hybrid-automatik-platinum-panorama-pdv-oglas-42129666
9,https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-pdk-151.000-izvanredan-servis-098-9545829-oglas-41750382
10,https://www.njuskalo.hr/auti/porsche-cayenne-3.0-v6-tdi-oglas-40798818
11,https://www.njuskalo.hr/auti/porsche-911-911-automatik-oglas-41659344
12,https://www.njuskalo.hr/auti/porsche-macan-2.0-2019g-panorama-ime-kupca-prodajem-oglas-42315226
13,https://www.njuskalo.hr/auti/porsche-panamera-e-hybrid-sport-matrix-alu-21-profi-navi-oglas-41719178
14,https://www.njuskalo.hr/auti/porsche-panamera-gts-sport-turismo-pdk-matrix-panorama-headup-21-oglas-41352744
15,https://www.njuskalo.hr/auti/porsche-cayenne-coupe-chrono-panorama-matrix-360-bose-22-pdv-oglas-40792038
16,https://www.njuskalo.hr/auti/porsche-panamera-turbo-matrix-bose-keyless-go-zracni-ovjes-oglas-40455067
17,https://www.njuskalo.hr/auti/porsche-taycan-turbo-chrono-zracni-ovjes-pano-matrix-hr-auto-21-oglas-41734571
18,https://www.njuskalo.hr/auti/porsche-macan-chrono-pdk-hr-auto-pano-kamera-koza-led-pdv-20-oglas-42280139
19,https://www.njuskalo.hr/auti/porsche-cayenne-tiptronic-3.0-v6-panorama-zracni-ovjes-kamera-22-oglas-40351823
20,https://www.njuskalo.hr/auti/porsche-macan-3.0d-panorama-360-kamera-matrix-bose-koza-20-oglas-38782870
21,https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-pdk-led-panorama-360-kamera-20-alu-oglas-41619133
22,https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-pdk-oglas-41513142
23,https://www.njuskalo.hr/auti/porsche-macan-3.0d-pdk-led-panorama-kamera-koza-hr-auto-20-oglas-41483246
24,https://www.njuskalo.hr/auti/porsche-macan-3.0d-v6-pdk-led-acc-navi-koza-el-kuka-19-oglas-41948635
25,https://www.njuskalo.hr/auti/porsche-panamera-4-oglas-40661148
26,https://www.njuskalo.hr/auti/porsche-cayenne-automatik-oglas-42122954
27,https://www.njuskalo.hr/auti/porsche-panamera-4-pdk-4x4-navi-kupljen-hr-20-alu-oglas-40238545
28,https://www.njuskalo.hr/auti/porsche-macan-3.0d-mogucnost-leasinga-oglas-41734370
29,https://www.njuskalo.hr/auti/porsche-panamera-3.0i-hybrid-automatik-f1-garancija-servisna-oglas-34924465
30,https://www.njuskalo.hr/auti/porsche-carrera-992-1-vlasnik-porsche-approved-oglas-42019796
31,https://www.njuskalo.hr/auti/porsche-cayenne-diesel-3.0-v6-tdi-1-vlasnik-prekrasan-auto-oglas-38789492
32,https://www.njuskalo.hr/auti/porsche-cayenne-e-hybrid-coup-3.0-v6-tiptronic-462-ks-zracni-pano-oglas-42026397
33,https://www.njuskalo.hr/auti/porsche-panamera-diesel-oglas-40042038
34,https://www.njuskalo.hr/auti/porsche-macan-oglas-41346431
35,https://www.njuskalo.hr/auti/porsche-cayman-718-automatik-oglas-41208514
36,https://www.njuskalo.hr/auti/porsche-911-911-4s-pdk-automatik-oglas-41338232
37,https://www.njuskalo.hr/auti/porsche-cayenne-e-hybrid-coup-3.0-v6-tiptronic-462-ks-oglas-42264365
38,https://www.njuskalo.hr/auti/porsche-cayenne-3.0-v6-tdi-oglas-41766462
39,https://www.njuskalo.hr/auti/porsche-cayenne-3.0-v6-automatik-oglas-42001436
40,https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-pdk-automatik-oglas-40797000
41,https://www.njuskalo.hr/auti/porsche-cayenne-e-hybrid-automatik-oglas-41962257
42,https://www.njuskalo.hr/auti/porsche-cayenne-3.0-v6-tdi-platinum-pano-navi-servisna-kuka-top-oglas-40513395
43,https://www.njuskalo.hr/auti/porsche-cayenne-coupe-22-felge-matrix-crni-oglas-40760379
44,https://www.njuskalo.hr/auti/porsche-cayenne-platinum-oglas-41787576
45,https://www.njuskalo.hr/auti/porsche-cayenne-e-hybrid-coupe-platinum-edition-oglas-41626044
46,https://www.njuskalo.hr/auti/porsche-cayenne-gts-oglas-42125087
47,https://www.njuskalo.hr/auti/porsche-taycan-476-ks-zracni-kam-pano-oglas-42296752
48,https://www.njuskalo.hr/auti/porsche-taycan-476-ks-zracni-acc-kam-pano-oglas-42296751
49,https://www.njuskalo.hr/auti/porsche-taycan-476-ks-kam-acc-pano-oglas-42296750
50,https://www.njuskalo.hr/auti/porsche-taycan-476-ks-zracni-360-pano-head-oglas-42296749
51,https://www.njuskalo.hr/auti/taycan-oglas-42296748
52,https://www.njuskalo.hr/auti/porsche-taycan-408-ks-kam-pano-oglas-42296747
53,https://www.njuskalo.hr/auti/porsche-taycan-476-ks-zracni-kam-led-oglas-42296741
54,https://www.njuskalo.hr/auti/porsche-taycan-476-ks-zracni-acc-360-pano-head-oglas-42296733
