linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.287907,18.805677,Osječko-baranjska,Osijek,Renault,Espace,17.690 €,2015. godište,Diesel,118 kW,monovolumen,5,107000 km,https://www.njuskalo.hr/auti/renault-espace-dci-160-edc-107tkm-serv-navi-led-7sjedala-jamstvo-oglas-41527975
2,45.287907,18.805677,Osječko-baranjska,Osijek,Renault,Kadjar,18.690 €,2019. godište,Diesel,85 kW,terensko vozilo / SUV / pick up,5,72000 km,https://www.njuskalo.hr/auti/renault-kadjar-dci-115-72tkm-serv-navi-led-alu-pdc-kam-jamstvo-oglas-42006786
3,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Renault,Captur,8.666 €,2014. godište,Benzin,66 kW,terensko vozilo / SUV / pick up,5,88000 km,https://www.njuskalo.hr/auti/renault-captur-tce-90-top-ponuda-oglas-42245992
4,,,Grad Zagreb,,Renault,Twingo,13.871 €,2021. godište,Benzin,48 kW,hatchback,5,16096 km,https://www.njuskalo.hr/auti/renault-twingo-0.9-tce-bt-tempomat-oglas-41995922
5,,,Grad Zagreb,,Renault,Captur,13.999 €,2017. godište,Diesel,66 kW,terensko vozilo / SUV / pick up,5,88893 km,https://www.njuskalo.hr/auti/renault-captur-1.5-dci-tempomat-navi-bt-2-godine-jamstva-oglas-41590695
6,45.720218110747,16.048054347155,Zagrebačka,Velika Gorica - Okolica,Renault,Scenic,6.590 €,2013. godište,Diesel,81 kW,monovolumen,5,223000 km,https://www.njuskalo.hr/auti/renault-scenic-1.5-dci-bose-edition-oglas-41890869
7,45.720218110747,16.048054347155,Zagrebačka,Velika Gorica - Okolica,Renault,Megane Grandtour,5.590 €,2013. godište,Diesel,81 kW,karavan,5,202000 km,https://www.njuskalo.hr/auti/renault-megane-grandtour-1.5-dci-oglas-41780597
8,45.726434181687,16.038225348773,Zagrebačka,Velika Gorica - Okolica,Renault,Scenic,6.190 €,2013. godište,Diesel,70 kW,monovolumen,5,142000 km,https://www.njuskalo.hr/auti/renault-scenic-1.5-dci-oglas-41618537
9,45.727591343783,16.040986721832,Zagrebačka,Velika Gorica - Okolica,Renault,Scenic,6.490 €,2014. godište,Diesel,96 kW,monovolumen,5,203000 km,https://www.njuskalo.hr/auti/renault-scenic-1.6-dci-bose-edition-oglas-41467215
10,,,Grad Zagreb,,Renault,Scenic,16.198 €,2019. godište,Diesel,88 kW,monovolumen,5,86708 km,https://www.njuskalo.hr/auti/renault-scenic-dci-120-tempomat-bt-2-godine-jamstva-oglas-41635960
11,,,Grad Zagreb,,Renault,Megane,13.689 €,2020. godište,Diesel,85 kW,hatchback,5,98776 km,https://www.njuskalo.hr/auti/renault-megane-dci-115-senzori-tempomat-bt-2-godine-jamstva-oglas-41635962
12,45.51579417106837,18.540806473944183,Osječko-baranjska,Čepin,Renault,Twingo,5.900 €,2015. godište,Benzin,52 kW,hatchback,5,170000 km,https://www.njuskalo.hr/auti/renault-twingo-1.0-reg-3-24-oglas-42112378
13,45.510488793904,18.529623569128,Osječko-baranjska,Čepin,Renault,Megane,2.650 €,2005. godište,Benzin,83 kW,hatchback,5,210000 km,https://www.njuskalo.hr/auti/renault-megane-1.6-16v-reg-10-2024-oglas-42086346
14,45.51764615688398,18.521969710351225,Osječko-baranjska,Čepin,Renault,Megane,13.900 €,2017. godište,Diesel,81 kW,hatchback,5,120000 km,https://www.njuskalo.hr/auti/renault-megane-1.5-dci-bose-oglas-41988994
15,45.5060717918914,18.541266776413075,Osječko-baranjska,Čepin,Renault,Megane,9.500 €,2019. godište,Diesel,70 kW,hatchback,5,150000 km,https://www.njuskalo.hr/auti/renault-megane-1.5-dci-teretni-2-sjedala-sustavu-pdv-a-oglas-42176081
16,46.296703,16.244778,Varaždinska,Vidovec,Renault,Megane,7.650 €,2014. godište,Diesel,81 kW,limuzina,5,208000 km,https://www.njuskalo.hr/auti/renault-megane-1.5-dci-81-kw-6-brzina-registracija-13.07.2024-god-oglas-42201531
17,45.560787,18.65708,Osječko-baranjska,Osijek,Renault,Laguna,6.450 €,2014. godište,Diesel,81 kW,karavan,5,235000 km,https://www.njuskalo.hr/auti/renault-laguna-1.5-dci-eco-automatik-koza-navigacija-full-oglas-40730851
18,45.82657260353,16.15622014829,Grad Zagreb,Sesvete,Renault,5,3.200 €,1990. godište,Benzin,34 kW,limuzina,5,120000 km,https://www.njuskalo.hr/auti/renault-5-campus-1.1-benz-oglas-42131083
20,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Renault,Captur,14.290 €,2019. godište,Benzin,66 kW,terensko vozilo / SUV / pick up,5,34000 km,https://www.njuskalo.hr/auti/renault-captur-tce-samo-34000km-tempomat-led-bluetooth-telefon-oglas-41665314
21,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Renault,Megane Grandtour,11.930 €,2018. godište,Benzin,97 kW,karavan,5,186000 km,https://www.njuskalo.hr/auti/renault-megane-grandtour-tce-130-oglas-42132361
22,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Renault,Clio,6.990 €,2013. godište,Diesel,55 kW,hatchback,5,210000 km,https://www.njuskalo.hr/auti/renault-clio-1.5-dci-navi-media-ekran-tempomat-eco-led-bluetooth-oglas-42254291
23,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Renault,Talisman,17.300 €,2017. godište,Diesel,96 kW,karavan,5,98000 km,https://www.njuskalo.hr/auti/renault-talisman-dci-130-automatik-full-oprema-navi-3-moda-voznje-oglas-41776973
24,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Renault,Megane Grandtour,6.960 €,2014. godište,Diesel,81 kW,karavan,5,256000 km,https://www.njuskalo.hr/auti/renault-megane-grandtour-1.5-dci-oglas-41390395
25,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Renault,Scenic,5.460 €,2012. godište,Diesel,81 kW,monovolumen,5,329000 km,https://www.njuskalo.hr/auti/renault-scenic-1.5-dci-automatik-senzori-koza-tempomat-led-oglas-40600345
26,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Renault,Scenic,5.460 €,2012. godište,Diesel,81 kW,monovolumen,5,329000 km,https://www.njuskalo.hr/auti/renault-scenic-1.5-dci-automatik-senzori-koza-tempomat-led-oglas-40600345
27,45.56479227762,18.589939537326,Osječko-baranjska,Osijek - Okolica,Renault,Kadjar,16.899 €,2016. godište,Benzin,96 kW,terensko vozilo / SUV / pick up,5,49615 km,https://www.njuskalo.hr/auti/renault-kadjar-1.2-energy-tce-130-oglas-41918696
28,45.82847790034849,15.91535749360516,Grad Zagreb,Trešnjevka - Sjever,Renault,Twingo,9.690 €,2016. godište,Benzin,66 kW,limuzina,5,7000 km,https://www.njuskalo.hr/auti/renault-twingo-samo-7000km-90ks-oglas-42280005
29,45.817604905994,16.158298894612,Grad Zagreb,Sesvete,Renault,Grand Scenic,16.880 €,2016. godište,Diesel,96 kW,monovolumen,5,131000 km,https://www.njuskalo.hr/auti/renault-grand-scenic-1.6-dci-bose-7-sjedala-full-led-navi-cam-oglas-40968354
30,45.70543,16.114426,Zagrebačka,Velika Gorica - Okolica,Renault,Clio,10.700 €,2020. godište,Benzin,66 kW,hatchback,5,49000 km,https://www.njuskalo.hr/auti/renault-clio-tce-oglas-42296206
32,45.55216,18.70791,Osječko-baranjska,Osijek,Renault,Kadjar,14.500 €,2016. godište,Benzin,96 kW,terensko vozilo / SUV / pick up,5,92400 km,https://www.njuskalo.hr/auti/renault-kadjar-tce-130-oglas-42055207
33,45.5344015,18.6313195,Osječko-baranjska,Osijek,Renault,Captur,12.950 €,2016. godište,Diesel,66 kW,hatchback,4,91000 km,https://www.njuskalo.hr/auti/renault-captur-dci-90-navi-led-alu-17-tempomat-el-paket-oglas-41939621
34,45.5344015,18.6313195,Osječko-baranjska,Osijek,Renault,Captur,12.950 €,2017. godište,Benzin,66 kW,hatchback,4,77000 km,https://www.njuskalo.hr/auti/renault-captur-tce-77tkm-navi-led-kamera-gr-sjedala-el-paket-tempomat-oglas-42203553
35,46.195595,16.901182,Koprivničko-križevačka,Peteranec,Renault,Talisman,17.900 €,2019. godište,Diesel,96 kW,limuzina,5,41000 km,https://www.njuskalo.hr/auti/renault-talisman-1.6-dci-samo-40000-km-nov-auto-oglas-42206542
36,45.5344015,18.6313195,Osječko-baranjska,Osijek,Renault,Kadjar,15.650 €,2015. godište,Diesel,81 kW,hatchback,5,69000 km,https://www.njuskalo.hr/auti/renault-kadjar-dci-110.69tkm-navi-led-panorama-pdc-alu-17-tempomat-oglas-41237033
40,45.850586968718,16.064227729649,Grad Zagreb,Gornja Dubrava,Renault,Captur,12.000 €,2018. godište,Diesel,66 kW,terensko vozilo / SUV / pick up,5,100000 km,https://www.njuskalo.hr/auti/renault-captur-dci-energy-vidi-plati-vozi-oglas-41268043
41,45.808920815022,16.105707005618,Grad Zagreb,Sesvete,Renault,Twingo,7.950 €,2018. godište,Benzin,51 kW,hatchback,5,60000 km,https://www.njuskalo.hr/auti/renault-twingo-sce-oglas-42267358
42,45.545320821471,18.714755394724,Osječko-baranjska,Osijek,Renault,Scenic,2.600 €,2007. godište,Diesel,78 kW,monovolumen,5,249000 km,https://www.njuskalo.hr/auti/renault-scenic-1.5-dci-oglas-41979808
