linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.75264252993837,15.88951349258423,Grad Zagreb,Novi Zagreb - Zapad,Seat,Cordoba Vario,1.800 €,1999. godište,Benzin,74 kW,karavan,5,240 km,https://www.njuskalo.hr/auti/seat-cordoba-vario-1.6-sxe-oglas-42224130
2,45.765341506128,15.940638784217,Grad Zagreb,Novi Zagreb - Zapad,Seat,Arona,19.900 €,2022. godište,Benzin,81 kW,terensko vozilo / SUV / pick up,5,38256 km,https://www.njuskalo.hr/auti/seat-arona-1.0-tsi-fr-dsg-oglas-42319944
3,45.720218110747,16.048054347155,Zagrebačka,Velika Gorica - Okolica,Seat,Ibiza,5.990 €,2013. godište,Diesel,55 kW,limuzina,5,132600 km,https://www.njuskalo.hr/auti/seat-ibiza-1.2-tdi-oglas-41996939
4,45.726434181687,16.038225348773,Zagrebačka,Velika Gorica - Okolica,Seat,Ibiza,4.890 €,2012. godište,Diesel,55 kW,karavan,5,209000 km,https://www.njuskalo.hr/auti/seat-ibiza-st-1.2-tdi-oglas-41724031
5,45.727591343783,16.040986721832,Zagrebačka,Velika Gorica - Okolica,Seat,Ibiza,5.890 €,2014. godište,Benzin,63 kW,coupe,5,176800 km,https://www.njuskalo.hr/auti/seat-ibiza-1.2-tsi-style-oglas-41523077
6,45.5402708224451,18.530078260491464,Osječko-baranjska,Čepin,Seat,Leon,15.400 €,2016. godište,Diesel,135 kW,hatchback,5,170000 km,https://www.njuskalo.hr/auti/seat-leon-2.0-tdi-fr-dsg-oglas-41169231
7,43.760125927479,15.874343204845,Šibensko-kninska,Šibenik,Seat,Toledo,10.900 €,2016. godište,Diesel,66 kW,limuzina,5,72814 km,https://www.njuskalo.hr/auti/seat-toledo-1.4-tdi-reference-garancija-oglas-41643935
8,43.756662188171404,15.881393931128823,Šibensko-kninska,Šibenik,Seat,Toledo,10.900 €,2015. godište,Diesel,66 kW,limuzina,5,100863 km,https://www.njuskalo.hr/auti/seat-toledo-1.4-tdi-cr-reference-garancija-oglas-41643551
9,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Seat,Ibiza,9.490 €,2017. godište,Benzin,55 kW,hatchback,5,63000 km,https://www.njuskalo.hr/auti/seat-ibiza-1.0-senzori-media-ekran-oglas-40317292
10,45.568222,18.70535,Osječko-baranjska,Osijek,Seat,Cordoba,1.500 €,2002. godište,Diesel,50 kW,limuzina,4,216000 km,https://www.njuskalo.hr/auti/seat-cordoba-1.9-sdi-oglas-42114024
11,45.812918028312,16.104713664179,Grad Zagreb,Sesvete,Seat,Exeo,4.999 €,2012. godište,Diesel,88 kW,limuzina,5,360000 km,https://www.njuskalo.hr/auti/seat-exeo-2.0-tdi-sport-oglas-40740024
12,45.82606,16.113707,Grad Zagreb,Sesvete,VW,Up!,4.700 €,2012. godište,Benzin,44 kW,hatchback,3,151000 km,https://www.njuskalo.hr/auti/seat-mii-1.0-klima-servo-top-stanje-oglas-42286190
13,44.056565999904,15.323784891834,Zadarska,Sukošan,Seat,Leon,6.500 €,2010. godište,Diesel,77 kW,hatchback,5,144400 km,https://www.njuskalo.hr/auti/seat-leon-1.6-tdi-oglas-41077603
14,45.824652145,16.13291412,Grad Zagreb,Sesvete,Seat,Ibiza,1.999 €,2003. godište,Diesel,47 kW,hatchback,5,310000 km,https://www.njuskalo.hr/auti/seat-ibiza-1.9-sdi-klima-hr-auto-reg-5-24-model-2004-kartice-rate-oglas-41948384
15,45.824800105725,16.136219398786,Grad Zagreb,Sesvete,Seat,Ibiza,5.990 €,2011. godište,Diesel,55 kW,karavan,5,181000 km,https://www.njuskalo.hr/auti/seat-ibiza-1.2-tsi-eco-oprema-ime-kupca-model-2012-kartice-rate-oglas-41929639
16,45.8248,16.136219,Grad Zagreb,Sesvete,Seat,Ibiza,6.990 €,2017. godište,Diesel,55 kW,hatchback,5,179000 km,https://www.njuskalo.hr/auti/seat-ibiza-1.4-tdi-klima-reg-05-24-model-2018-kartice-rate-oglas-41535920
17,45.80128,15.78693,Zagrebačka,Sveta Nedelja,Seat,Leon,13.500 €,2017. godište,Benzin,81 kW,hatchback,5,60000 km,https://www.njuskalo.hr/auti/seat-leon-1.2-tsi-110-ks-prvi-vlasnik-garancija-1-god-60.000-km-oglas-42107130
20,45.835617525441,15.828450602066,Grad Zagreb,Podsused - Vrapče,Seat,Leon,13.999 €,2020. godište,Diesel,85 kW,karavan,5,150000 km,https://www.njuskalo.hr/auti/seat-leon-st-1.6-tdi-pdc-mfu-tempomat-gr-sj-1-vl-mog-jamstvo12mj-oglas-41678807
21,45.83554563659,15.818452524641,Grad Zagreb,Podsused - Vrapče,Seat,Mii,9.999 €,2019. godište,Benzin,44 kW,hatchback,5,49000 km,https://www.njuskalo.hr/auti/seat-mii-1.0-grij-sjedala-klima-elek-paket-1-vl-mog-jamstvo-oglas-40467926
22,46.049079519139,15.854235117897,Krapinsko-zagorska,Krapinske Toplice,Seat,Leon,12.750 €,2014. godište,Diesel,135 kW,hatchback,3,160700 km,https://www.njuskalo.hr/auti/seat-leon-2.0-tdi-fr-oglas-41531759
23,45.809227,15.914923,Grad Zagreb,Podsused - Vrapče,Seat,Mii,6.799 €,2013. godište,Benzin,55 kW,limuzina,3,86000 km,https://www.njuskalo.hr/auti/seat-mii-1.0-style-salsa-86.000-km-klima-servisna-navigacija-oglas-41507947
24,45.900753012428,16.852889843128,Bjelovarsko-bilogorska,Bjelovar,Seat,Arona,16.499 €,2019. godište,Diesel,70 kW,terensko vozilo / SUV / pick up,5,50100 km,https://www.njuskalo.hr/auti/seat-arona-1.6-tdi-oglas-41883854
25,45.88064069342564,16.418107679691033,Zagrebačka,Vrbovec,Seat,Leon,16.199 €,2018. godište,Diesel,,limuzina,5,103345 km,https://www.njuskalo.hr/auti/seat-leon-1.6-tdi-excellence-reg-godinu-dana-oglas-42188758
26,45.825111372574,16.136700811438,Grad Zagreb,Sesvete,Seat,Leon,12.599 €,2017. godište,Diesel,85 kW,karavan,5,96000 km,https://www.njuskalo.hr/auti/seat-leon-1.6-tdi-style-comfort-matrix-led-samo-96000km-oglas-41771304
28,45.74242894011,16.006070863345,Grad Zagreb,Novi Zagreb - Istok,Seat,Leon,16.200 €,2019. godište,Diesel,85 kW,hatchback,5,144000 km,https://www.njuskalo.hr/auti/seat-leon-1.6-tdi-xcellence-full-oprema-mj-rata-262.81-eur-oglas-42139298
29,45.828943003815674,16.000893405071032,Grad Zagreb,Maksimir,Seat,Toledo,10.600 €,2017. godište,Diesel,66 kW,limuzina,5,62000 km,https://www.njuskalo.hr/auti/seat-toledo-1.4-tdi-oglas-41689921
30,45.269400183231,18.802154854589,Vukovarsko-srijemska,Vinkovci,Seat,Leon,11.500 €,2017. godište,Benzin,92 kW,karavan,5,64000 km,https://www.njuskalo.hr/auti/seat-leon-1.4-tsi-oglas-41931608
31,45.269400183231,18.802154854589,Vukovarsko-srijemska,Vinkovci,Seat,Leon,20.500 €,2019. godište,Diesel,110 kW,hatchback,5,36000 km,https://www.njuskalo.hr/auti/seat-leon-2.0-tdi-oglas-41931471
32,45.816428751953,15.839509143373,Grad Zagreb,Podsused - Vrapče,Seat,Mii,15.199 €,2020. godište,Električni,65 kW,hatchback,5,13900 km,https://www.njuskalo.hr/auti/seat-mii-electric-automatik-domet-270km-oglas-38088154
33,45.812404064901,15.906421150924,Grad Zagreb,Stenjevec,Seat,Ateca,35.450 €,2023. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,8600 km,https://www.njuskalo.hr/auti/seat-ateca-2.0-tdi-dsg-fr-oglas-40471002
34,45.826584,16.129984,Grad Zagreb,Sesvete,Seat,Leon,18.900 €,2018. godište,Diesel,135 kW,limuzina,4,129000 km,https://www.njuskalo.hr/auti/seat-leon-fr-2.0-tdi-dsg-redizajn-reg-11-24-g-135kw-full-led-acc-oglas-42211771
35,45.990894,16.7724,Bjelovarsko-bilogorska,Rovišće,Seat,Toledo,10.199 €,2016. godište,Benzin,66 kW,limuzina,5,68000 km,https://www.njuskalo.hr/auti/seat-toledo-1.2-tsi-samo-68000-km-prvi-vlasnik-oglas-40847834
36,45.896873,16.83929,Bjelovarsko-bilogorska,Bjelovar,Seat,Mii,6.600 €,2018. godište,Benzin,44 kW,hatchback,3,149511 km,https://www.njuskalo.hr/auti/seat-mii-1.0-reference-klima-2-seta-guma-odlican-ime-kupca-oglas-42108431
37,45.182657825168,18.05055828324,Brodsko-posavska,Slavonski Brod,Seat,Ibiza,5.250 €,2009. godište,Diesel,59 kW,hatchback,5,190000 km,https://www.njuskalo.hr/auti/seat-ibiza-1.4-tdi-2010gd-md-fr-climatronic-remus-alu-media-kamera-kar-oglas-41933266
38,43.580139787486,16.597185404246,Splitsko-dalmatinska,Dugopolje,Seat,Mii,8.950 €,2017. godište,Benzin,44 kW,hatchback,5,99900 km,https://www.njuskalo.hr/auti/seat-mii-style-jamstvo-mod-2018-alu-pdc-maglenke-oglas-42281619
39,43.576479747712,16.591118469242,Splitsko-dalmatinska,Dugopolje,Seat,Leon,10.450 €,2013. godište,Diesel,77 kW,hatchback,5,142500 km,https://www.njuskalo.hr/auti/seat-leon-mod-2014-jamstvo-mf-alu-pdc-navigacija-oglas-42223975
40,45.561379540178,18.642231664976,Osječko-baranjska,Osijek,Seat,Ateca,19.999 €,2017. godište,Diesel,85 kW,terensko vozilo / SUV / pick up,5,99000 km,https://www.njuskalo.hr/auti/seat-ateca-1.6-tdi-oglas-40610397
42,43.504913,16.513908,Splitsko-dalmatinska,Split,Seat,Arona,16.400 €,2021. godište,Benzin,70 kW,terensko vozilo / SUV / pick up,5,12400 km,https://www.njuskalo.hr/auti/seat-arona-1.0-tsi-style-2021-godina-nije-uvoz-tvornicko-jamstvo-oglas-38938533
43,42.665687414992,18.084708837801,Dubrovačko-neretvanska,Dubrovnik - Okolica,Seat,Leon,25.999 €,2023. godište,Diesel,85 kW,hatchback,5,1 km,https://www.njuskalo.hr/auti/seat-leon-2.0-tdi-vozilo-odmah-dostupno-oglas-41284850
44,45.567597908083,16.634566783905,Sisačko-moslavačka,Popovača,Seat,Cordoba,2.550 €,2006. godište,Diesel,51 kW,limuzina,4,280000 km,https://www.njuskalo.hr/auti/seat-cordoba-1.4-tdi-oglas-41551539
46,45.231167965,13.59749885,Istarska,Poreč,Seat,Leon,11.000 €,2015. godište,Diesel,81 kW,karavan,5,170000 km,https://www.njuskalo.hr/auti/seat-leon-1.6-tdi-oglas-42234080
48,43.555198223687,16.43085781731,Splitsko-dalmatinska,Kaštela,Seat,Ibiza,4.850 €,2012. godište,Diesel,66 kW,hatchback,3,156000 km,https://www.njuskalo.hr/auti/seat-ibiza-1.6-tdi-oglas-42151394
51,44.062702,15.298773,Zadarska,Bibinje,Seat,Leon,5.300 €,2007. godište,Diesel,77 kW,limuzina,5,224000 km,https://www.njuskalo.hr/auti/seat-leon-1.9-tdi-oglas-41678877
53,46.316033007983,16.338159074272,Varaždinska,Varaždin,Seat,Ateca,18.500 €,2019. godište,Diesel,85 kW,terensko vozilo / SUV / pick up,5,112400 km,https://www.njuskalo.hr/auti/seat-ateca-1.6-tdi-style-17-alu-led-farovi-navi-kamera-jamstvo-p-oglas-42021689
