linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.823403364897,16.051969999304,Grad Zagreb,Donja Dubrava,Škoda,Octavia Combi,1 €,2019. godište,Diesel,110 kW,karavan,5,70000 km,https://www.njuskalo.hr/auti/skoda-octavia-2.0-tdi-style-alu-garancija-2-god-nije-uvoz-oglas-42286028
2,45.823403364897,16.051969999304,Grad Zagreb,Donja Dubrava,Škoda,Octavia,1 €,2019. godište,Diesel,110 kW,limuzina,5,55000 km,https://www.njuskalo.hr/auti/skoda-octavia-2.0-tdi-alu-tempomat-garancija-2-god-nije-uvoz-oglas-42238464
3,45.823403364897,16.051969999304,Grad Zagreb,Donja Dubrava,Škoda,Superb,22.990 €,2019. godište,Diesel,110 kW,limuzina,5,78000 km,https://www.njuskalo.hr/auti/skoda-superb-2.0-tdi-xenon-navi-koza-garancija-2-god-nije-uvoz-oglas-42231270
4,45.823403364897,16.051969999304,Grad Zagreb,Donja Dubrava,Škoda,Kodiaq,1 €,2018. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,125000 km,https://www.njuskalo.hr/auti/skoda-kodiaq-2.0-tdi-4x4-style-led-garancija-2-god-nije-uvoz-oglas-42212415
5,45.823403364897,16.051969999304,Grad Zagreb,Donja Dubrava,Škoda,Superb Combi,19.900 €,2019. godište,Diesel,110 kW,karavan,5,113000 km,https://www.njuskalo.hr/auti/skoda-superb-2.0-tdi-xenon-navigacija-alu-17-garancija-2-god-oglas-41672311
6,43.537946160621,16.274289923566,Splitsko-dalmatinska,Trogir - Okolica,Škoda,Superb,17.500 €,2016. godište,Diesel,88 kW,limuzina,5,113000 km,https://www.njuskalo.hr/auti/skoda-superb-1.6-tdi-ambition-oglas-42105585
7,45.77167,15.944289,Grad Zagreb,Novi Zagreb - Zapad,Škoda,Karoq,20.900 €,2020. godište,Diesel,85 kW,limuzina,5,130000 km,https://www.njuskalo.hr/auti/skoda-karoq-dsg-xenon-registriran-godinu-dana-oglas-41990167
8,45.77167,15.944289,Grad Zagreb,Novi Zagreb - Zapad,Škoda,Superb Combi,20.900 €,2020. godište,Diesel,110 kW,limuzina,5,108000 km,https://www.njuskalo.hr/auti/skoda-superb-combi-2.0-tdi-dsg-xenon-reg-12-mij-2024-oglas-42255566
9,,,Grad Zagreb,,Škoda,Octavia Combi,24.524 €,2020. godište,Diesel,85 kW,karavan,5,78249 km,https://www.njuskalo.hr/auti/skoda-octavia-combi-octavia-2.0-tdi-ambition-kamera-navi-tempomat-oglas-42054452
10,,,Grad Zagreb,,Škoda,Octavia,16.974 €,2019. godište,Benzin,85 kW,limuzina,5,74956 km,https://www.njuskalo.hr/auti/skoda-octavia-1.0-tsi-bt-tempomat-senzori-2-godine-jamstva-oglas-41930996
11,45.323034060772,14.46474896911,Primorsko-goranska,Rijeka,Škoda,Karoq,21.000 €,2018. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,53500 km,https://www.njuskalo.hr/auti/skoda-karoq-1.5-tsi-oglas-41880416
12,45.726434181687,16.038225348773,Zagrebačka,Velika Gorica - Okolica,Škoda,Fabia Combi,5.190 €,2013. godište,Benzin,63 kW,karavan,5,201000 km,https://www.njuskalo.hr/auti/skoda-fabia-combi-1.2-tsi-oglas-42261077
13,45.727591343783,16.040986721832,Zagrebačka,Velika Gorica - Okolica,Škoda,Fabia,6.290 €,2014. godište,Benzin,44 kW,limuzina,5,117300 km,https://www.njuskalo.hr/auti/skoda-fabia-1.2-cool-edition-oglas-42064124
14,45.726434181687,16.038225348773,Zagrebačka,Velika Gorica - Okolica,Škoda,Fabia,5.990 €,2013. godište,Diesel,55 kW,limuzina,5,192700 km,https://www.njuskalo.hr/auti/skoda-fabia-1.2-tdi-greenline-oglas-41582402
15,45.726434181687,16.038225348773,Zagrebačka,Velika Gorica - Okolica,Škoda,Fabia Combi,5.390 €,2013. godište,Diesel,55 kW,karavan,5,197000 km,https://www.njuskalo.hr/auti/skoda-fabia-combi-1.2-tdi-greenline-oglas-41574710
