linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.752642529938,15.889513492584,Grad Zagreb,Novi Zagreb - Zapad,Smart,fortwo coupe,4.299 €,2008. godište,Benzin,52 kW,hatchback,3,150 km,https://www.njuskalo.hr/auti/smart-fortwo-coupe-smart-fortwo-softouch-oglas-41681645
2,45.823386434974,16.071646213531,Grad Zagreb,Donja Dubrava,Smart,fortwo coupe,2.400 €,2004. godište,Diesel,30 kW,coupe,2,181000 km,https://www.njuskalo.hr/auti/smart-fortwo-coupe-smart-fortwo-cdi-oglas-42286662
3,45.82551,16.148489,Grad Zagreb,Sesvete,Smart,fortwo coupe,3.850 €,2006. godište,Benzin,45 kW,coupe,3,94000 km,https://www.njuskalo.hr/auti/smart-fortwo-coupe-smart-fortwo-cdi-oglas-42106154
5,43.494125,16.47758,Splitsko-dalmatinska,Split,Smart,fortwo coupe,10.900 €,2015. godište,Benzin,52 kW,coupe,3,89000 km,https://www.njuskalo.hr/auti/smart-fortwo-453-passion-automatik-led-panorama-alu-mf-oglas-41743125
6,45.780980346957,15.97634781889,Grad Zagreb,Novi Zagreb - Zapad,Smart,fortwo coupe,17.999,2020. godište,Plug-in hibrid,100 kW,coupe,3,3000 km,https://www.njuskalo.hr/auti/smart-fortwo-coupe-smart-eq-full-oprema-samo-3000-km-oglas-40775862
7,45.813067266322,15.98872860872,Grad Zagreb,Donji Grad,Smart,forfour,8.990 €,2016. godište,Benzin,52 kW,coupe,4,102000 km,https://www.njuskalo.hr/auti/smart-forfour-1.0-prime-oglas-42286922
8,45.829284716811,16.000753915955,Grad Zagreb,Maksimir,Smart,fortwo coupe,4.850 €,2011. godište,Diesel,40 kW,hatchback,3,160000 km,https://www.njuskalo.hr/auti/smart-for-two-0.8-cdi-auto-40kw-55ks-reg-5-24-xenon-klima-panorama-alu-oglas-42233451
9,45.829284716811,16.000753915955,Grad Zagreb,Maksimir,Smart,fortwo coupe,3.350 €,2008. godište,Benzin,45 kW,hatchback,3,220000 km,https://www.njuskalo.hr/auti/smart-for-two-1.0mhd-automatic-45w-62ks-reg-9-24-klima-alu-15-oglas-42183805
10,45.829284716811,16.000753915955,Grad Zagreb,Maksimir,Smart,fortwo coupe,4.150 €,2010. godište,Benzin,52 kW,hatchback,3,190000 km,https://www.njuskalo.hr/auti/smart-for-two-1.0-mhd-52kw-70ks-reg-2-24-klima-servo-panorama-alu-oglas-41989315
11,45.809227,15.914923,Grad Zagreb,Podsused - Vrapče,Smart,fortwo coupe,4.050 €,2009. godište,Benzin,52 kW,limuzina,3,72152 km,https://www.njuskalo.hr/auti/smart-fortwo-1.0-reg-1-godinu-passion-72.152-km-servisna-automatik-oglas-42236091
12,45.809113,15.905784,Grad Zagreb,Podsused - Vrapče,Smart,fortwo coupe,4.699 €,2009. godište,Benzin,62 kW,limuzina,3,126798 km,https://www.njuskalo.hr/auti/smart-fortwo-1.0-reg-1-godinu-62-kw-2009-god-servisna-klima-oglas-42213263
13,45.811676,15.897396,Grad Zagreb,Podsused - Vrapče,Smart,fortwo coupe,6.450 €,2012. godište,Benzin,52 kW,limuzina,3,104159 km,https://www.njuskalo.hr/auti/smart-fortwo-1-0-reg-1-godinu-passion-navi-felge-facelift-klima-oglas-42213086
14,45.809227,15.914923,Grad Zagreb,Podsused - Vrapče,Smart,fortwo coupe,6.099 €,2011. godište,Benzin,52 kW,limuzina,3,112067 km,https://www.njuskalo.hr/auti/smart-fortwo-1.0-mhd-2011-god-facelift-klima-servisna-alu-oglas-41481053
15,45.809227,15.914923,Grad Zagreb,Podsused - Vrapče,Smart,fortwo coupe,5.199 €,2012. godište,Benzin,52 kW,limuzina,3,117910 km,https://www.njuskalo.hr/auti/smart-fortwo-1.0-2012-god-klima-reg-1-godinu-koza-servisna-oglas-42112505
16,45.823868,16.125078,Grad Zagreb,Sesvete,Smart,forfour,6.999 €,2015. godište,Benzin,52 kW,limuzina,5,98000 km,https://www.njuskalo.hr/auti/smart-forfour-1.0-top-stanje-samo-98000km-klima-servo-oglas-39100057
17,45.765356611954,15.986133489265,Grad Zagreb,Novi Zagreb - Istok,Smart,EQ fortwo,17.700 €,2021. godište,Električni,60 kW,coupe,2,18250 km,https://www.njuskalo.hr/auti/smart-eq-fortwo-smart-eq-fortwo60kw-automatik-gar-1-god-registriran-oglas-41488648
18,45.786244643266,16.030064701587,Grad Zagreb,Peščenica - Žitnjak,Smart,EQ fortwo,18.900 €,2022. godište,Električni,60 kW,coupe,3,4362 km,https://www.njuskalo.hr/auti/smart-fortwo-coupe-smart-eq-automatik-oglas-40988147
19,45.80348,15.908546,Grad Zagreb,Stenjevec,Smart,fortwo coupe,7.150 €,2016. godište,Benzin,52 kW,hatchback,3,99025 km,https://www.njuskalo.hr/auti/smart-fortwo-1.0-reg-1-god-top-stanje-oglas-42287395
20,45.80348,15.908546,Grad Zagreb,Stenjevec,Smart,fortwo coupe,5.690 €,2014. godište,Benzin,44 kW,coupe,3,116233 km,https://www.njuskalo.hr/auti/smart-fortwo-coupe-fortwo-automatik-mhd-reg-1-god-oglas-42177531
