linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,46.17397,16.835346,Koprivničko-križevačka,Koprivnica,Ssang Yong,Musso,32.087 €,2023. godište,Diesel,149 kW,terensko vozilo / SUV / pick up,4,12 km,https://www.njuskalo.hr/auti/ssang-yong-musso-2.2-xdi-automatik-oglas-41512491
2,46.173968917057,16.835346221924,Koprivničko-križevačka,Koprivnica,Ssang Yong,Korando,26.199 €,2023. godište,Benzin,120 kW,terensko vozilo / SUV / pick up,5,6 km,https://www.njuskalo.hr/auti/ssang-yong-korando-1.5-t-gdi-vozilo-oglas-41671883
4,51.060799168943,10.610315161864,Njemačka,,Ssang Yong,Tivoli,22.605 €,2022. godište,Benzin,120 kW,terensko vozilo / SUV / pick up,5,10700 km,https://www.njuskalo.hr/auti/ssang-yong-tivoli-1.5-svojim-kamionima-uvozimo-registracije-oglas-42235347
5,45.550427574497,18.696462081657,Osječko-baranjska,Osijek,Ssang Yong,Korando,26.795 €,2023. godište,Benzin,120 kW,terensko vozilo / SUV / pick up,5,500 km,https://www.njuskalo.hr/auti/ssang-yong-korando-1.5-t-gdi-style-hr-testno-vozilo-oglas-41749486
6,45.550427574497,18.696462081657,Osječko-baranjska,Osijek,Ssang Yong,Korando,32.220 €,2023. godište,Benzin,120 kW,terensko vozilo / SUV / pick up,5,5000 km,https://www.njuskalo.hr/auti/ssang-yong-korando-1.5-t-gdi-exclusive-4wd-a-t-tvornicko-jamstvo-oglas-42199931
7,46.392597475777,16.425015639394,Međimurska,Čakovec,Ssang Yong,Korando,24.900 €,2023. godište,Benzin,120 kW,terensko vozilo / SUV / pick up,5,2000 km,https://www.njuskalo.hr/auti/ssang-yong-korando-1.5-t-gdi-oglas-41687757
8,44.10369505116,15.280064201921,Zadarska,Zadar,Ssang Yong,Korando,31.499 €,2023. godište,Benzin,120 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/ssang-yong-korando-1.5-t-gdi-exclusive-a-t-awd-oglas-42196304
9,45.37806904262,18.947325295419,Vukovarsko-srijemska,Vukovar,Ssang Yong,Rexton,2.990 €,2004. godište,Diesel,121 kW,terensko vozilo / SUV / pick up,5,225000 km,https://www.njuskalo.hr/auti/ssang-yong-rexton-270-xdi-sport-4x4-grij-sj-mem-siceva-automatik-oglas-37161018
10,45.340581775000004,14.41139077,Primorsko-goranska,Rijeka,Ssang Yong,Musso,47.499 €,2023. godište,Diesel,149 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/ssangyong-musso-grand-2.2-xdi-ultimate-4x4-isporuka-odmah-oglas-41789801
11,45.340581775,14.41139077,Primorsko-goranska,Rijeka,Ssang Yong,Korando,32.199 €,2023. godište,Benzin,120 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/ssang-yong-korando-1.5-t-gdi-160ks-exclusive-4x4-a-t-oglas-41636862
12,45.340581775,14.41139077,Primorsko-goranska,Rijeka,Ssang Yong,Musso,47.499 €,2023. godište,Diesel,149 kW,terensko vozilo / SUV / pick up,5,,https://www.njuskalo.hr/novi-auti/ssang-yong-musso-2.2-xdi-ultimate-awd-dostupni-brzu-isporuku-oglas-41672703
13,44.10369505116,15.280064201921,Zadarska,Zadar,Ssang Yong,Musso,42.400 €,2023. godište,Diesel,147 kW,terensko vozilo / SUV / pick up,4,1000 km,https://www.njuskalo.hr/auti/ssang-yong-musso-grand-2.2-xdi-ultimate-awd-automatik-oglas-41748725
14,44.10369505116,15.280064201921,Zadarska,Zadar,Ssang Yong,Korando,24.990 €,2023. godište,Benzin,120 kW,terensko vozilo / SUV / pick up,5,1000 km,https://www.njuskalo.hr/auti/ssang-yong-korando-1.5-t-gdi-style-oglas-41731983
15,45.550427574497,18.696462081657,Osječko-baranjska,Osijek,Ssang Yong,Musso,30.095 €,2023. godište,Diesel,148 kW,terensko vozilo / SUV / pick up,5,100 km,https://www.njuskalo.hr/auti/ssang-yong-musso-grand-2.2-xdi-ultimate-4wd-a-t-automatik-vozilo-oglas-41508391
20,51.061724496351,10.609391495846,Njemačka,,Ssang Yong,Korando,24.490 €,2020. godište,Benzin,120 kW,terensko vozilo / SUV / pick up,5,25266 km,https://www.njuskalo.hr/auti/ssangyong-korando1.5t-gdi-svojim-kamionima-uvozimo-registracije-oglas-41864659
21,51.061724496351,10.609391495846,Njemačka,,Ssang Yong,Rexton,29.832 €,2021. godište,Diesel,133 kW,terensko vozilo / SUV / pick up,5,82950 km,https://www.njuskalo.hr/auti/ssang-yong-rexton-2.2e-xdi-svojim-kamionima-uvozimo-registracije-oglas-41861664
22,51.061724496351,10.609391495846,Njemačka,,Ssang Yong,Tivoli,18.445 €,2022. godište,Benzin,120 kW,terensko vozilo / SUV / pick up,5,18120 km,https://www.njuskalo.hr/auti/ssang-yong-tivoli-1.5-svojim-kamionima-uvozimo-registracije-oglas-41858988
