linenum,url
1,https://www.njuskalo.hr/auti/ssang-yong-musso-2.2-xdi-automatik-oglas-41512491
2,https://www.njuskalo.hr/auti/ssang-yong-korando-1.5-t-gdi-vozilo-oglas-41671883
3,https://www.njuskalo.hr/auti/ssang-yong-actyon-2.0-d-4x4-kupljen-hrvatskoj-servisna-knjiga-oglas-42299791
4,https://www.njuskalo.hr/auti/ssang-yong-tivoli-1.5-svojim-kamionima-uvozimo-registracije-oglas-42235347
5,https://www.njuskalo.hr/auti/ssang-yong-korando-1.5-t-gdi-style-hr-testno-vozilo-oglas-41749486
6,https://www.njuskalo.hr/auti/ssang-yong-korando-1.5-t-gdi-exclusive-4wd-a-t-tvornicko-jamstvo-oglas-42199931
7,https://www.njuskalo.hr/auti/ssang-yong-korando-1.5-t-gdi-oglas-41687757
8,https://www.njuskalo.hr/novi-auti/ssang-yong-korando-1.5-t-gdi-exclusive-a-t-awd-oglas-42196304
9,https://www.njuskalo.hr/auti/ssang-yong-rexton-270-xdi-sport-4x4-grij-sj-mem-siceva-automatik-oglas-37161018
10,https://www.njuskalo.hr/novi-auti/ssangyong-musso-grand-2.2-xdi-ultimate-4x4-isporuka-odmah-oglas-41789801
11,https://www.njuskalo.hr/novi-auti/ssang-yong-korando-1.5-t-gdi-160ks-exclusive-4x4-a-t-oglas-41636862
12,https://www.njuskalo.hr/novi-auti/ssang-yong-musso-2.2-xdi-ultimate-awd-dostupni-brzu-isporuku-oglas-41672703
13,https://www.njuskalo.hr/auti/ssang-yong-musso-grand-2.2-xdi-ultimate-awd-automatik-oglas-41748725
14,https://www.njuskalo.hr/auti/ssang-yong-korando-1.5-t-gdi-style-oglas-41731983
15,https://www.njuskalo.hr/auti/ssang-yong-musso-grand-2.2-xdi-ultimate-4wd-a-t-automatik-vozilo-oglas-41508391
16,https://www.njuskalo.hr/auti/ssang-yong-musso-2.2-svojim-kamionima-uvozimo-registracije-oglas-41933369
17,https://www.njuskalo.hr/auti/ssang-yong-tivoli-1.5gdi-t-svojim-kamionima-uvozimo-registracije-oglas-41933282
18,https://www.njuskalo.hr/auti/ssang-yong-korando-1.5-t-gdi-svojim-kamionima-uvozimo-registracij-oglas-41933223
19,https://www.njuskalo.hr/auti/ssang-yong-rexton-4x4-svojim-kamionima-uvozimo-registracije-oglas-41933169
20,https://www.njuskalo.hr/auti/ssangyong-korando1.5t-gdi-svojim-kamionima-uvozimo-registracije-oglas-41864659
21,https://www.njuskalo.hr/auti/ssang-yong-rexton-2.2e-xdi-svojim-kamionima-uvozimo-registracije-oglas-41861664
22,https://www.njuskalo.hr/auti/ssang-yong-tivoli-1.5-svojim-kamionima-uvozimo-registracije-oglas-41858988
23,https://www.njuskalo.hr/auti/ssang-yong-musso-grand-automatik-oglas-41143799
24,https://www.njuskalo.hr/auti/ssang-yong-korando-1.5-t-gdi-oglas-41191165
25,https://www.njuskalo.hr/auti/ssang-yong-musso-602-el-d-oglas-31002644
26,https://www.njuskalo.hr/auti/ssang-yong-korando-2.0-gotovina-kredit-leasing-oglas-39033240
27,https://www.njuskalo.hr/auti/ssang-yong-tivoli-1.6-e-xdi-gotvina-kredit-leasing-oglas-39032883
28,https://www.njuskalo.hr/auti/ssang-yong-rexton-2.2d-gotovina-kredit-leasing-oglas-39032764
