linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.8081,15.921169,Grad Zagreb,Podsused - Vrapče,Subaru,XV,12.499 €,2014. godište,Diesel,108 kW,terensko vozilo / SUV / pick up,5,204000 km,https://www.njuskalo.hr/auti/subaru-xv-2.0-d-4x4-2014-god-204.000-km-servisna-gume-oglas-42244991
2,45.23364938645,16.543126769957,Sisačko-moslavačka,Hrvatska Kostajnica,Subaru,Outback,1.900 €,2007. godište,Benzin,180 kW,karavan,5,300 km,https://www.njuskalo.hr/auti/subaru-outback-3.0-zn-oglas-42021174
3,45.492786679931,16.3430654136,Sisačko-moslavačka,Sisak,Subaru,Legacy,9.999 €,2012. godište,Benzin,110 kW,karavan,5,274000 km,https://www.njuskalo.hr/auti/subaru-legacy-2.0-ab-automatik-oglas-42203669
4,45.54461,18.642807,Osječko-baranjska,Osijek,Subaru,Forester,5.990 €,2008. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,315000 km,https://www.njuskalo.hr/auti/subaru-forester-2.0b-4x4-plin-klima-reg-4.2024-oglas-42108852
5,45.80176,15.915322,Grad Zagreb,Stenjevec,Subaru,Impreza,5.650 €,2008. godište,Benzin,79 kW,hatchback,5,218000 km,https://www.njuskalo.hr/auti/subaru-imptrza-1.5-plin-odlican-oglas-38800874
7,45.831077647983,15.947126302553,Grad Zagreb,Črnomerec,Subaru,Forester,10.900 €,2010. godište,Benzin,110 kW,terensko vozilo / SUV / pick up,5,173000 km,https://www.njuskalo.hr/auti/subaru-forester-2.0-x-rr-awd-oglas-41724759
9,45.809566,15.788639,Zagrebačka,Sveta Nedelja,Subaru,Libero,5.600 €,1999. godište,Benzin,38 kW,kombibus,5,6 km,https://www.njuskalo.hr/auti/subaru-libero-1.2-4wd-oglas-42292217
10,45.82782839655446,15.98287463274885,Grad Zagreb,Gornji Grad - Medveščak,Subaru,Forester,7.500 €,2006. godište,Benzin,116 kW,terensko vozilo / SUV / pick up,5,244000 km,https://www.njuskalo.hr/auti/subaru-forester-2.0-awd-oglas-42277908
11,45.71794963041262,16.05478377726688,Zagrebačka,Velika Gorica,Subaru,Outback,56.694,2023. godište,Benzin,124 kW,karavan,5,,https://www.njuskalo.hr/novi-auti/subaru-outback-2.5i-premium-awd-lineatronic-cvt-oglas-41149444
12,43.568254246949,16.334388944117,Splitsko-dalmatinska,Kaštela,Subaru,XV,37.900 €,2023. godište,Benzin,110 kW,hatchback,5,12000 km,https://www.njuskalo.hr/auti/subaru-xv-2.0-style-oglas-41467711
13,45.801253425376494,15.895125375454603,Grad Zagreb,Stenjevec,Subaru,XV,18.000 €,2018. godište,Benzin,84 kW,terensko vozilo / SUV / pick up,5,89000 km,https://www.njuskalo.hr/auti/subaru-xv-1.6-cvt-automatik-oglas-41738738
14,45.82161,16.022615,Grad Zagreb,Maksimir,Subaru,Legacy,4.800 €,2006. godište,Benzin,121 kW,limuzina,4,285000 km,https://www.njuskalo.hr/auti/subaru-legacy-2.0-benzin-oglas-42221900
15,45.80153,15.902869,Grad Zagreb,Stenjevec,Subaru,Impreza,3.200 €,2011. godište,Diesel,110 kW,hatchback,5,237000 km,https://www.njuskalo.hr/auti/subaru-impreza-2.0-d-oglas-35987638
16,45.738533685843,15.797734317589,Zagrebačka,Samobor - Okolica,Subaru,Legacy,4.100 €,2003. godište,Benzin,115 kW,karavan,5,336197 km,https://www.njuskalo.hr/auti/subaru-legacy-2.5-automatik-oglas-42270164
17,45.718026188418,16.053796086554,Zagrebačka,Velika Gorica,Subaru,XV,33.800 €,2023. godište,Benzin,84 kW,hatchback,5,,https://www.njuskalo.hr/novi-auti/subaru-xv-1.6-4dvenure-oglas-42055081
18,45.794163880069,15.784665717055,Zagrebačka,Sveta Nedelja,Subaru,Legacy,7.500 €,2010. godište,Benzin,110 kW,limuzina,4,262000 km,https://www.njuskalo.hr/auti/subaru-legacy-2.0-bifuel-awd-oglas-41386250
