linenum,url
1,https://www.njuskalo.hr/auti/subaru-xv-2.0-d-4x4-2014-god-204.000-km-servisna-gume-oglas-42244991
2,https://www.njuskalo.hr/auti/subaru-outback-3.0-zn-oglas-42021174
3,https://www.njuskalo.hr/auti/subaru-legacy-2.0-ab-automatik-oglas-42203669
4,https://www.njuskalo.hr/auti/subaru-forester-2.0b-4x4-plin-klima-reg-4.2024-oglas-42108852
5,https://www.njuskalo.hr/auti/subaru-imptrza-1.5-plin-odlican-oglas-38800874
6,https://www.njuskalo.hr/auti/subaru-outback-2.0-d-cvt-full-oprema-hr-auto-1-vlasnik-oglas-42177227
7,https://www.njuskalo.hr/auti/subaru-forester-2.0-x-rr-awd-oglas-41724759
8,https://www.njuskalo.hr/auti/subaru-impreza-2.0-d-sport-4q-xenon-temp-handsfree-aut-klima-oglas-41745526
9,https://www.njuskalo.hr/auti/subaru-libero-1.2-4wd-oglas-42292217
10,https://www.njuskalo.hr/auti/subaru-forester-2.0-awd-oglas-42277908
11,https://www.njuskalo.hr/novi-auti/subaru-outback-2.5i-premium-awd-lineatronic-cvt-oglas-41149444
12,https://www.njuskalo.hr/auti/subaru-xv-2.0-style-oglas-41467711
13,https://www.njuskalo.hr/auti/subaru-xv-1.6-cvt-automatik-oglas-41738738
14,https://www.njuskalo.hr/auti/subaru-legacy-2.0-benzin-oglas-42221900
15,https://www.njuskalo.hr/auti/subaru-impreza-2.0-d-oglas-35987638
16,https://www.njuskalo.hr/auti/subaru-legacy-2.5-automatik-oglas-42270164
17,https://www.njuskalo.hr/novi-auti/subaru-xv-1.6-4dvenure-oglas-42055081
18,https://www.njuskalo.hr/auti/subaru-legacy-2.0-bifuel-awd-oglas-41386250
19,https://www.njuskalo.hr/auti/subaru-impreza-2.5-wrx-sti-oglas-37469596
20,https://www.njuskalo.hr/auti/subaru-justy-1.0-klima-zamjena-maxi-skuter-oglas-41816111
21,https://www.njuskalo.hr/auti/subaru-xv-2.0-style-extra-oglas-41382418
22,https://www.njuskalo.hr/auti/subaru-outback-awd-2.5i-cvt-automatik-active-pack-oglas-39774909
23,https://www.njuskalo.hr/auti/subaru-legacy-3.0-b-automatik-oglas-42221742
24,https://www.njuskalo.hr/auti/subaru-impreza-2.5-wrx-turbo-oglas-39176332
25,https://www.njuskalo.hr/auti/subaru-outback-2.0-d-oglas-41531640
26,https://www.njuskalo.hr/auti/subaru-impreza-1.6i-style-automatic-oglas-41522992
27,https://www.njuskalo.hr/auti/subaru-impreza-1.6i-pure-oglas-41522676
28,https://www.njuskalo.hr/auti/subaru-forester-2.0-awd-automatik-oglas-40465515
29,https://www.njuskalo.hr/auti/subaru-impreza-1.5-awd-plin-oglas-36204570
30,https://www.njuskalo.hr/auti/subaru-impreza-1.6i-automatik-oglas-42176428
31,https://www.njuskalo.hr/auti/subaru-legacy-2.0-bezin-plin-4x4.165-ks-oglas-42176123
32,https://www.njuskalo.hr/auti/subaru-xv-1.6-cvt-oglas-41929532
33,https://www.njuskalo.hr/auti/subaru-impreza-1.6i-style-navi-oglas-41513130
34,https://www.njuskalo.hr/auti/subaru-justy-1.0-oglas-42148595
35,https://www.njuskalo.hr/auti/subaru-outback-2.5-automatik-oglas-42148569
36,https://www.njuskalo.hr/novi-auti/subaru-outback-2.5i-premium-awd-cvt-oglas-41128968
37,https://www.njuskalo.hr/auti/subaru-xv-2.0-cvt-automatik-oglas-42124878
38,https://www.njuskalo.hr/auti/subaru-forester-2.0-x-td-awd-oglas-42120679
39,https://www.njuskalo.hr/auti/subaru-forester-2.0-d-4x4-automatik-kamera-tempomat-xenon-led-oglas-41588298
40,https://www.njuskalo.hr/novi-auti/subaru-outback-2.5i-oglas-42054247
41,https://www.njuskalo.hr/novi-auti/subaru-forester-2.0i-mhev-oglas-42054184
42,https://www.njuskalo.hr/auti/subaru-solterra-bev-svojim-kamionima-uvozimo-registracije-oglas-42041536
43,https://www.njuskalo.hr/auti/subaru-svx-1.6i-automatik-svojim-kamionima-uvozimo-registracije-oglas-42041483
