linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.830723700533,16.094344701508,Grad Zagreb,Sesvete,Suzuki,Swift,19.202,2023. godište,Benzin,61 kW,hatchback,5,,https://www.njuskalo.hr/novi-auti/suzuki-swift-1.2-hyb-gl-premium-4wd-oglas-42319673
2,45.174404,18.002365,Brodsko-posavska,Slavonski Brod,Suzuki,Swift,11.500 €,2017. godište,Benzin,82 kW,hatchback,5,37000 km,https://www.njuskalo.hr/auti/suzuki-swift-1.0-top-stanje-jamstvo-2017god-37tkm-ime-kupca-oglas-42149660
3,46.319793858572,16.328926732854,Varaždinska,Varaždin,Suzuki,SX4 S-Cross,11.000 €,2015. godište,Benzin,88 kW,terensko vozilo / SUV / pick up,5,103000 km,https://www.njuskalo.hr/auti/suzuki-sx4-cross-1.6-elegance-oglas-42319507
4,45.72231327445602,16.055723220487884,Zagrebačka,Velika Gorica,Suzuki,Vitara,19.500 €,2022. godište,Benzin,95 kW,terensko vozilo / SUV / pick up,5,33000 km,https://www.njuskalo.hr/auti/suzuki-vitara-1.4-oglas-42319485
5,45.719923863145866,16.057837685538576,Zagrebačka,Velika Gorica,Suzuki,SX4 S-Cross,24.041,2023. godište,Benzin,95 kW,hatchback,5,,https://www.njuskalo.hr/novi-auti/suzuki-sx4-cross-1.4-gl-premium-2wd-hybrid-oglas-42319451
7,45.809227,15.914923,Grad Zagreb,Podsused - Vrapče,Suzuki,Swift,6.555 €,2011. godište,Benzin,69 kW,limuzina,3,124872 km,https://www.njuskalo.hr/auti/suzuki-swift-1.2-glx-reg-1-godinu-klima-servisna-2011-godina-oglas-42266416
8,43.528562804607,16.46011532392,Splitsko-dalmatinska,Split,Suzuki,Vitara,12.000 €,2017. godište,Benzin,88 kW,terensko vozilo / SUV / pick up,5,274091 km,https://www.njuskalo.hr/auti/suzuki-vitara-1.6-plin-2017-oglas-42318984
10,43.518303275872,16.430010346049,Splitsko-dalmatinska,Split,Suzuki,Vitara,14.999 €,2017. godište,Diesel,88 kW,terensko vozilo / SUV / pick up,5,105000 km,https://www.njuskalo.hr/auti/suzuki-vitara-1.6-ddid-xenon-led-kamera-navi-tempomat-alu-17-servis-oglas-42149041
11,45.730336907865,15.911014080048,Grad Zagreb,Zagreb - Okolica,Suzuki,SX4 S-Cross,16.400 €,2017. godište,Benzin,82 kW,hatchback,5,89000 km,https://www.njuskalo.hr/auti/suzuki-sx4-cross-1.0-gratis-prijenos-nije-uvoz-servisna-odlican-auto-oglas-40121766
12,45.834118,16.061285,Grad Zagreb,Gornja Dubrava,Suzuki,SX4 S-Cross,9.980 €,2015. godište,Diesel,88 kW,hatchback,5,153825 km,https://www.njuskalo.hr/auti/suzuki-sx4-cross-2015g-1.6-ddis-120ks-alu-perla-boja-servisna-9980e-oglas-41930044
13,45.978153,15.9268265,Krapinsko-zagorska,Stubičke Toplice,Suzuki,Celerio,8.800 €,2018. godište,Benzin,50 kW,limuzina,5,38500 km,https://www.njuskalo.hr/auti/suzuki-celerio-1.0-oglas-41666196
14,45.755880199376755,16.074775718183204,Zagrebačka,Velika Gorica - Okolica,Suzuki,SX4,7.750 €,2012. godište,Benzin,88 kW,monovolumen,5,134000 km,https://www.njuskalo.hr/auti/suzuki-sx4-1.6-gs-automatic-124-tkm-nov-nov-hr-auto-oglas-41749805
15,45.808044,15.74135,Zagrebačka,Samobor,Suzuki,Samurai,1.999,1995. godište,Benzin,,limuzina,5,200000 km,https://www.njuskalo.hr/auti/suzuki-samurai-4-4-oglas-42316832
16,45.360453344378,14.489014148712,Primorsko-goranska,Čavle,Suzuki,Swift,3.100 €,2008. godište,Benzin,67 kW,limuzina,5,178500 km,https://www.njuskalo.hr/auti/suzuki-swift-1.3-glx-oglas-42315197
17,45.51665463348797,18.72758030891418,Osječko-baranjska,Osijek - Okolica,Suzuki,Vitara,15.650 €,2017. godište,Benzin,88 kW,terensko vozilo / SUV / pick up,5,79500 km,https://www.njuskalo.hr/auti/suzuki-vitara-1.6-automatik-navigacija-kamera-oglas-42294358
18,45.54518175211,18.644002245647,Osječko-baranjska,Osijek,Suzuki,SX4,5.250 €,2007. godište,Diesel,66 kW,terensko vozilo / SUV / pick up,5,158200 km,https://www.njuskalo.hr/auti/suzuki-sx4-1.6-ddis-klima-ime-kupca-oglas-42007016
19,45.81304,15.8677635,Grad Zagreb,Podsused - Vrapče,Suzuki,SX4 S-Cross,27.900 €,2023. godište,Benzin,75 kW,hatchback,5,20208 km,https://www.njuskalo.hr/auti/suzuki-sx4-cross-1.5-glx-automatik-full-oprema-2023-oglas-42093683
20,45.828169550584,15.979146192377,Grad Zagreb,Gornji Grad - Medveščak,Suzuki,Vitara,14.400 €,2015. godište,Diesel,88 kW,terensko vozilo / SUV / pick up,5,87000 km,https://www.njuskalo.hr/auti/suzuki-vitara-1.6-ddis-klima-koza-navi-alu-top-oglas-41345064
21,45.826188183354,15.980671065911,Grad Zagreb,Gornji Grad - Medveščak,Suzuki,Swift,13.500 €,2016. godište,Benzin,100 kW,limuzina,2,81458 km,https://www.njuskalo.hr/auti/suzuki-swift-1.6-sport-oglas-38888861
22,46.321953571183,16.304747447118,Varaždinska,Varaždin - Okolica,Suzuki,Vitara,13.500 €,2016. godište,Benzin,88 kW,terensko vozilo / SUV / pick up,5,129000 km,https://www.njuskalo.hr/auti/suzuki-vitara-1.6-oglas-42303697
23,43.75617951725934,15.779483062916748,Šibensko-kninska,Vodice,Suzuki,Swift,10.499 €,2018. godište,Benzin,82 kW,hatchback,5,47000 km,https://www.njuskalo.hr/auti/suzuki-swift-1.0-boosterjet-112-ks-2018-g-tamno-crveni-vrhunski-oglas-42045770
24,43.75292309281283,15.77578886272753,Šibensko-kninska,Vodice,Suzuki,Swift,11.999 €,2015. godište,Benzin,69 kW,hatchback,5,76000 km,https://www.njuskalo.hr/auti/suzuki-swift-1.2-benz-2015-g-redizajn-atraktivan-oglas-41869147
26,45.502228,16.330463,Sisačko-moslavačka,Sisak - Okolica,Suzuki,Swift,7.499 €,2014. godište,Diesel,55 kW,hatchback,5,156000 km,https://www.njuskalo.hr/auti/suzuki-swift-1.3-ddis-klima-led-jamstvo-oglas-40969086
