linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,43.561360664999995,16.384907655,Splitsko-dalmatinska,Kaštela,Tesla,Model 3,28.500 €,2019. godište,Električni,375 kW,limuzina,5,82500 km,https://www.njuskalo.hr/auti/tesla-model-3-standard-oglas-41535777
2,45.81511844627917,15.965519921512326,Grad Zagreb,Gornji Grad - Medveščak,Tesla,Model S,34.000 €,2017. godište,Električni,386 kW,limuzina,5,259000 km,https://www.njuskalo.hr/auti/tesla-model-awd-75d-automatik-oglas-42261260
3,45.794215021572,15.919646155361,Grad Zagreb,Trešnjevka - Jug,Tesla,Model 3,34.900 €,2021. godište,Električni,,limuzina,4,67000 km,https://www.njuskalo.hr/auti/tesla-model-3-lr-oglas-42293612
4,45.680397,15.741911,Zagrebačka,Klinča Sela,Tesla,Model 3,39.750 €,2023. godište,Električni,,limuzina,5,10000 km,https://www.njuskalo.hr/auti/tesla-model-3-rear-wheel-drive-oglas-42256989
5,45.798564586922,16.015955512675,Grad Zagreb,Peščenica - Žitnjak,Tesla,Model S,43.000 €,2017. godište,Električni,235 kW,limuzina,5,39726 km,https://www.njuskalo.hr/auti/tesla-model-002-oglas-41981316
6,46.38842,16.434668,Međimurska,Čakovec,Tesla,Model 3,35.500 €,2019. godište,Električni,340 kW,limuzina,5,99000 km,https://www.njuskalo.hr/auti/tesla-model-3-long-range-awd-automatik-oglas-41758308
7,45.478455515,15.543639615,Karlovačka,Karlovac,Tesla,Model S,37.000 €,2015. godište,Električni,568 kW,limuzina,5,263000 km,https://www.njuskalo.hr/auti/tesla-model-p90d-automatik-oglas-41340510
8,45.478455515,15.543639615,Karlovačka,Karlovac,Tesla,Model X,55.500 €,2017. godište,Električni,386 kW,terensko vozilo / SUV / pick up,5,75000 km,https://www.njuskalo.hr/auti/tesla-model-x-90d-dual-motor-awd-autopilot-6-sjedala-oglas-41772137
9,45.478455515,15.543639615,Karlovačka,Karlovac,Tesla,Model X,48.000 €,2018. godište,Električni,311 kW,terensko vozilo / SUV / pick up,5,220000 km,https://www.njuskalo.hr/auti/tesla-model-x-100d-dual-motor-full-oprema-autopilot-6-sjedala-oglas-41997264
10,45.781188924487,15.974338972726,Grad Zagreb,Novi Zagreb - Zapad,Tesla,Model 3,33.500 €,2020. godište,Električni,384 kW,limuzina,5,51500 km,https://www.njuskalo.hr/auti/tesla-model-3-performance-oglas-41558078
11,45.798001742005,15.900017356773,Grad Zagreb,Stenjevec,Tesla,Model 3,35.000 €,2020. godište,Električni,239 kW,limuzina,5,58000 km,https://www.njuskalo.hr/auti/tesla-model-3-sr-automatik-oglas-41589199
12,45.798001742005,15.900017356773,Grad Zagreb,Stenjevec,Tesla,Model S,45.000 €,2017. godište,Električni,311 kW,limuzina,5,136000 km,https://www.njuskalo.hr/auti/tesla-model-s90d-free-suc-napredni-autopilot-oglas-42282017
13,45.522208729175,15.546959441668,Karlovačka,Karlovac,Tesla,Model 3,37.999 €,2021. godište,Električni,380 kW,limuzina,4,96000 km,https://www.njuskalo.hr/auti/tesla-model-3-performance-2021-oglas-40369948
14,45.82684,16.01614,Grad Zagreb,Maksimir,Tesla,Model S,29.990 €,2017. godište,Električni,280 kW,limuzina,5,215300 km,https://www.njuskalo.hr/auti/tesla-model-75-oglas-39556992
15,44.960826575281175,13.853106064223823,Istarska,Vodnjan,Tesla,Model 3,38.000 €,2021. godište,Električni,,limuzina,5,115000 km,https://www.njuskalo.hr/auti/tesla-model-3-sedan-automatik-oglas-42274950
16,45.48389,15.560915,Karlovačka,Karlovac,Tesla,Model S,36.800 €,2017. godište,Električni,245 kW,limuzina,4,88000 km,https://www.njuskalo.hr/auti/tesla-model-75-oglas-39663062
17,45.705542577389,16.397837558926,Zagrebačka,Ivanić-Grad,Tesla,Model 3,34.000 €,2020. godište,Električni,235 kW,limuzina,5,75000 km,https://www.njuskalo.hr/auti/tesla-model-3-sr-oglas-42268884
18,45.564402252171,18.65896684726,Osječko-baranjska,Osijek,Tesla,Model S,42.000 €,2016. godište,Električni,515 kW,limuzina,4,54000 km,https://www.njuskalo.hr/auti/tesla-model-p90-automatik-oglas-39427760
19,45.78221990049015,16.15667354672626,Zagrebačka,Rugvica,Tesla,Model 3,37.900 €,2021. godište,Električni,324 kW,limuzina,4,68000 km,https://www.njuskalo.hr/auti/tesla-model-3-lr-autopilot-pdv-oglas-41160080
20,45.831114111808,15.947267568788,Grad Zagreb,Črnomerec,Tesla,Model 3,45.000 €,2021. godište,Električni,515 kW,limuzina,4,25000 km,https://www.njuskalo.hr/auti/tesla-model-3-performance-automatik-oglas-42264547
