linenum,url
1,https://www.njuskalo.hr/auti/tesla-model-3-standard-oglas-41535777
2,https://www.njuskalo.hr/auti/tesla-model-awd-75d-automatik-oglas-42261260
3,https://www.njuskalo.hr/auti/tesla-model-3-lr-oglas-42293612
4,https://www.njuskalo.hr/auti/tesla-model-3-rear-wheel-drive-oglas-42256989
5,https://www.njuskalo.hr/auti/tesla-model-002-oglas-41981316
6,https://www.njuskalo.hr/auti/tesla-model-3-long-range-awd-automatik-oglas-41758308
7,https://www.njuskalo.hr/auti/tesla-model-p90d-automatik-oglas-41340510
8,https://www.njuskalo.hr/auti/tesla-model-x-90d-dual-motor-awd-autopilot-6-sjedala-oglas-41772137
9,https://www.njuskalo.hr/auti/tesla-model-x-100d-dual-motor-full-oprema-autopilot-6-sjedala-oglas-41997264
10,https://www.njuskalo.hr/auti/tesla-model-3-performance-oglas-41558078
11,https://www.njuskalo.hr/auti/tesla-model-3-sr-automatik-oglas-41589199
12,https://www.njuskalo.hr/auti/tesla-model-s90d-free-suc-napredni-autopilot-oglas-42282017
13,https://www.njuskalo.hr/auti/tesla-model-3-performance-2021-oglas-40369948
14,https://www.njuskalo.hr/auti/tesla-model-75-oglas-39556992
15,https://www.njuskalo.hr/auti/tesla-model-3-sedan-automatik-oglas-42274950
16,https://www.njuskalo.hr/auti/tesla-model-75-oglas-39663062
17,https://www.njuskalo.hr/auti/tesla-model-3-sr-oglas-42268884
18,https://www.njuskalo.hr/auti/tesla-model-p90-automatik-oglas-39427760
19,https://www.njuskalo.hr/auti/tesla-model-3-lr-autopilot-pdv-oglas-41160080
20,https://www.njuskalo.hr/auti/tesla-model-3-performance-automatik-oglas-42264547
21,https://www.njuskalo.hr/auti/tesla-model-3-performance-automatik-dual-motor-pdv-oglas-41101562
22,https://www.njuskalo.hr/auti/tesla-model-3-325-ks-acc-kam-pano-shz-oglas-42026504
23,https://www.njuskalo.hr/auti/tesla-model-x-100d-421-ks-zracni-acc-kam-pano-shz-oglas-42026598
24,https://www.njuskalo.hr/auti/tesla-model-x-75d-333-ks-zracni-acc-kam-pano-shz-oglas-42026642
25,https://www.njuskalo.hr/auti/tesla-model-3-long-range-automatik-oglas-40641476
26,https://www.njuskalo.hr/auti/tesla-model-3-dual-motor-autopilot-19tkm-full-oglas-41055489
27,https://www.njuskalo.hr/auti/tesla-model-3-performance-oglas-41762345
28,https://www.njuskalo.hr/auti/model-85-besplatno-punjenje-oglas-41345827
29,https://www.njuskalo.hr/auti/tesla-model-s85-free-supercharger-automatik-oglas-41745843
30,https://www.njuskalo.hr/auti/tesla-model-75-475-ks-led-pano-kam-shz-oglas-42230025
31,https://www.njuskalo.hr/auti/tesla-model-3-long-range-acceleration-boost-oglas-42221945
32,https://www.njuskalo.hr/auti/tesla-model-y-long-range-dual-motor-oglas-42220917
33,https://www.njuskalo.hr/auti/tesla-model-3-range-plus-oglas-42216130
34,https://www.njuskalo.hr/auti/tesla-model-x-100d-oglas-42216115
35,https://www.njuskalo.hr/auti/tesla-model-3-longe-range-dual-motor-automatik-oglas-41771607
36,https://www.njuskalo.hr/auti/tesla-model-y-awd-lr-automatik-oglas-40790214
37,https://www.njuskalo.hr/auti/tesla-model-100d-awd-adapt-led-cockpit-autopilot-kamera-alu-21-oglas-40799479
38,https://www.njuskalo.hr/auti/tesla-model-100d-long-range-awd-full-led-cockpit-autopilot-oglas-40382881
39,https://www.njuskalo.hr/auti/tesla-model-x-90d-automatik-full-oprema-525ks-4zimske-gume-felge-oglas-38551210
40,https://www.njuskalo.hr/auti/tesla-model-3-performance-awd-510-ks-pano-autopilot-led-kam-shz-asis-oglas-42153735
41,https://www.njuskalo.hr/auti/tesla-model-3-performance-awd-510-ks-pano-autopilot-led-kam-shz-acc-oglas-42136824
42,https://www.njuskalo.hr/auti/tesla-model-y-awd-345-ks-pano-autopilot-acc-led-kam-shz-nav-asist-oglas-42136789
43,https://www.njuskalo.hr/auti/tesla-model-3-long-range-4x4-awd-dugi-domet-oglas-40396376
44,https://www.njuskalo.hr/auti/tesla-model-3-sr-automatik-oglas-41570200
45,https://www.njuskalo.hr/auti/tesla-model-3-performance-510-ks-pano-autopilot-virt-kam-led-awd-shz-oglas-42111133
46,https://www.njuskalo.hr/auti/tesla-model-3-standard-range-automatik-oglas-41775759
47,https://www.njuskalo.hr/auti/tesla-model-y-performance-75kwh-wltp-514km-pano-kam-360-1-vlasnik-oglas-40734182
48,https://www.njuskalo.hr/auti/tesla-model-y-long-range-dual-motor-bat-75kwh-wltp-533km-pano-1-vl-oglas-40734085
49,https://www.njuskalo.hr/auti/tesla-model-x-100d-4x4-dual-motors-wltp-523km-auto-pilot-acc-panorama-oglas-40733444
50,https://www.njuskalo.hr/auti/tesla-model-y-long-range-dual-motor-bat-75kwh-wltp-533km-pano-1-vl-oglas-40733905
51,https://www.njuskalo.hr/auti/tesla-model-x-75d-4x4-nedc-417km-7-sjedala-koza-navi-kam-led-alu-1-vl-oglas-40727532
52,https://www.njuskalo.hr/auti/tesla-model-3-sr-automatik-oglas-40768739
53,https://www.njuskalo.hr/auti/tesla-model-x-p100d-772-ks-pano-zracni-led-kam-shz-nav-asist-oglas-42070633
54,https://www.njuskalo.hr/auti/tesla-model-3-performance-510-ks-pano-autopilot-led-acc-kam-shz-asis-oglas-42070627
55,https://www.njuskalo.hr/auti/tesla-model-3-performance-510-ks-pano-autopilot-kam-acc-shz-led-asis-oglas-42070625
56,https://www.njuskalo.hr/auti/tesla-model-y-long-range-dual-motor-oglas-42069459
57,https://www.njuskalo.hr/auti/tesla-model-long-range-oglas-40496983
58,https://www.njuskalo.hr/auti/tesla-model-3-performance-510-ks-pano-autopilot-led-kam-acc-pdc-nav-oglas-42062346
59,https://www.njuskalo.hr/auti/tesla-model-3-sr-oglas-41989084
60,https://www.njuskalo.hr/auti/tesla-model-3-elektricno-vozilo-automatik-oglas-41924773
61,https://www.njuskalo.hr/auti/tesla-model-100d-sustavu-pdv-a-oglas-38331427
62,https://www.njuskalo.hr/auti/tesla-model-x-75d-besplatno-punjenje-automatik-oglas-41492175
63,https://www.njuskalo.hr/auti/tesla-model-p75d-svojim-kamionima-uvozimo-registracije-oglas-41753119
64,https://www.njuskalo.hr/auti/tesla-model-x-2023-god-7-sjedala-autopilot-oglas-41680619
65,https://www.njuskalo.hr/auti/tesla-model-3-limuzina-automatik-oglas-41668181
66,https://www.njuskalo.hr/auti/tesla-model-85-free-suc-automatik-oglas-36216812
67,https://www.njuskalo.hr/auti/tesla-model-60-tech-paket-automatik-oglas-30367225
68,https://www.njuskalo.hr/auti/tesla-model-x-90d-automatik-oglas-30372203
69,https://www.njuskalo.hr/auti/tesla-model-60-facelift-oglas-31184077
70,https://www.njuskalo.hr/auti/tesla-model-x-334pk-75d-autopilot-oglas-31283902
