linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.813237797238,15.936891759448,Grad Zagreb,Črnomerec,Toyota,Yaris,5.900 €,2012. godište,Benzin,51 kW,hatchback,3,61942 km,https://www.njuskalo.hr/auti/toyota-yaris-1.0-vvt-61000-km-oglas-38887566
2,45.832939631599,17.385907436796,Virovitičko-podravska,Virovitica,Toyota,Yaris,4.260 €,2009. godište,Benzin,74 kW,hatchback,5,227000 km,https://www.njuskalo.hr/auti/toyota-yaris-1.3-parking-senzori-eco-oglas-40096094
3,45.77054079305213,15.964131127384785,Grad Zagreb,Trnje,Toyota,Yaris,8.500 €,2012. godište,Benzin,73 kW,limuzina,5,106000 km,https://www.njuskalo.hr/auti/toyota-yaris-1.3-3-vvt-106.000-km-nije-uvoz-oglas-42280963
4,44.056565999904,15.323784891834,Zadarska,Sukošan,Toyota,Yaris,6.600 €,2011. godište,Benzin,73 kW,hatchback,5,155000 km,https://www.njuskalo.hr/auti/toyota-yaris-1.3-3-vvt-oglas-41400729
6,45.824800105725,16.136219398786,Grad Zagreb,Sesvete,Toyota,Yaris,3.299 €,2008. godište,Benzin,51 kW,coupe,3,350000 km,https://www.njuskalo.hr/auti/toyota-yaris-1.0-vvt-hr-auto-klima-reg9-24-model-2009-kartice-oglas-41466650
7,45.453495,16.40022,Sisačko-moslavačka,Sisak,Toyota,Aygo,4.899 €,2011. godište,Benzin,50 kW,limuzina,5,122000 km,https://www.njuskalo.hr/auti/toyota-aygo-1.0-vvt-oglas-42203535
9,45.54278,18.750555,Osječko-baranjska,Osijek,Toyota,Auris,9.600 €,2013. godište,Diesel,,hatchback,5,140100 km,https://www.njuskalo.hr/auti/toyota-auris-1.4-d-4d-oglas-42319251
10,42.65870064708,18.080061566513,Dubrovačko-neretvanska,Dubrovnik,Toyota,Yaris,13.700 €,2017. godište,Benzin,82 kW,hatchback,5,94300 km,https://www.njuskalo.hr/auti/toyota-yaris-1.5-vvt-oglas-42202637
11,45.80068508239053,15.846886429997907,Grad Zagreb,Podsused - Vrapče,Toyota,Auris,13.899 €,2016. godište,Hibrid,73 kW,hatchback,5,90000 km,https://www.njuskalo.hr/auti/toyota-auris-1.8-oglas-41107170
12,45.807826930621,15.843424059338,Grad Zagreb,Podsused - Vrapče,Toyota,iQ,4.299 €,2010. godište,Benzin,50 kW,hatchback,3,158000 km,https://www.njuskalo.hr/auti/toyota-iq-1.0-vvt-oglas-41390822
