linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,46.306277758029,16.340087786313,Varaždinska,Varaždin,Volvo,V60,38.500 €,2019. godište,Diesel,110 kW,karavan,5,47000 km,https://www.njuskalo.hr/auti/volvo-v60-d3-automatik-2021-servisna-jamstvo-oglas-41761625
4,,,Grad Zagreb,,Volvo,XC60,50.801 €,2021. godište,Diesel,145 kW,terensko vozilo / SUV / pick up,5,86534 km,https://www.njuskalo.hr/auti/volvo-xc60-b4-d-r-design-360-kamera-navi-tempomat-jamstvo-oglas-42258849
5,,,Grad Zagreb,,Volvo,XC90,82.993 €,2021. godište,Diesel,173 kW,terensko vozilo / SUV / pick up,5,19867 km,https://www.njuskalo.hr/auti/volvo-xc90-b5-inscription-7-sjedala-kuka-kamera-360-tvornicko-jamstvo-oglas-42237384
6,,,Grad Zagreb,,Volvo,XC60,44.775 €,2020. godište,Diesel,140 kW,terensko vozilo / SUV / pick up,5,76824 km,https://www.njuskalo.hr/auti/volvo-xc60-d4-inscription-navi-kamera-tempomat-jamstvo-oglas-42237383
7,,,Grad Zagreb,,Volvo,XC60,57.996 €,2021. godište,Diesel,173 kW,terensko vozilo / SUV / pick up,5,44029 km,https://www.njuskalo.hr/auti/volvo-xc60-b5-d-r-design-awd-kuka-navi-kamera-tvornicko-jamstvo-oglas-42179490
8,,,Grad Zagreb,,Volvo,XC60,58.953 €,2023. godište,Hibrid,145 kW,terensko vozilo / SUV / pick up,5,13400 km,https://www.njuskalo.hr/auti/volvo-xc60-2.0-d-kamera-navi-tempomat-jamstvo-oglas-42136753
9,,,Grad Zagreb,,Volvo,XC60,42.962 €,2019. godište,Diesel,140 kW,terensko vozilo / SUV / pick up,5,33691 km,https://www.njuskalo.hr/auti/volvo-xc60-d4-business-kamera-navi-tempomat-jamstvo-oglas-42136752
10,,,Grad Zagreb,,Volvo,XC60,45.891 €,2020. godište,Diesel,140 kW,terensko vozilo / SUV / pick up,5,83758 km,https://www.njuskalo.hr/auti/volvo-xc60-d4-r-design-kuka-navi-kamera-jamstvo-oglas-42102107
11,,,Grad Zagreb,,Volvo,XC60,61.189 €,2022. godište,Diesel,145 kW,terensko vozilo / SUV / pick up,5,21605 km,https://www.njuskalo.hr/auti/volvo-xc60-b4-awd-r-design-panorama-kamera-navi-tvornicko-jamstvo-oglas-42136751
12,,,Grad Zagreb,,Volvo,S60,34.395 €,2019. godište,Benzin,140 kW,limuzina,4,58242 km,https://www.njuskalo.hr/auti/volvo-s60-t4-r-design-kamera-navi-tempomat-oglas-42102106
13,,,Grad Zagreb,,Volvo,XC60,60.865 €,2022. godište,Diesel,145 kW,terensko vozilo / SUV / pick up,5,23503 km,https://www.njuskalo.hr/auti/volvo-xc60-b4-r-design-kuka-awd-panorama-tvornicko-jamstvo-oglas-42070514
14,,,Grad Zagreb,,Volvo,XC60,59.714 €,2022. godište,Diesel,145 kW,terensko vozilo / SUV / pick up,5,11425 km,https://www.njuskalo.hr/auti/volvo-xc60-b4-r-design-panorama-navi-kamera-360-tvornicko-jamstvo-oglas-42070513
