linenum,url
1,https://www.njuskalo.hr/auti/volvo-v60-d3-automatik-2021-servisna-jamstvo-oglas-41761625
2,https://www.njuskalo.hr/auti/volvo-c30-1.6-d-drive-kinetic-2010-reg-5-24-gume-servisna-odlican-oglas-41982769
3,https://www.njuskalo.hr/auti/volvo-v40-d2-r-design-120ks-led-nav-temp-alu-koz-pdc-mf-klim-top-oglas-42319868
4,https://www.njuskalo.hr/auti/volvo-xc60-b4-d-r-design-360-kamera-navi-tempomat-jamstvo-oglas-42258849
5,https://www.njuskalo.hr/auti/volvo-xc90-b5-inscription-7-sjedala-kuka-kamera-360-tvornicko-jamstvo-oglas-42237384
6,https://www.njuskalo.hr/auti/volvo-xc60-d4-inscription-navi-kamera-tempomat-jamstvo-oglas-42237383
7,https://www.njuskalo.hr/auti/volvo-xc60-b5-d-r-design-awd-kuka-navi-kamera-tvornicko-jamstvo-oglas-42179490
8,https://www.njuskalo.hr/auti/volvo-xc60-2.0-d-kamera-navi-tempomat-jamstvo-oglas-42136753
9,https://www.njuskalo.hr/auti/volvo-xc60-d4-business-kamera-navi-tempomat-jamstvo-oglas-42136752
10,https://www.njuskalo.hr/auti/volvo-xc60-d4-r-design-kuka-navi-kamera-jamstvo-oglas-42102107
11,https://www.njuskalo.hr/auti/volvo-xc60-b4-awd-r-design-panorama-kamera-navi-tvornicko-jamstvo-oglas-42136751
12,https://www.njuskalo.hr/auti/volvo-s60-t4-r-design-kamera-navi-tempomat-oglas-42102106
13,https://www.njuskalo.hr/auti/volvo-xc60-b4-r-design-kuka-awd-panorama-tvornicko-jamstvo-oglas-42070514
14,https://www.njuskalo.hr/auti/volvo-xc60-b4-r-design-panorama-navi-kamera-360-tvornicko-jamstvo-oglas-42070513
15,https://www.njuskalo.hr/auti/volvo-xc60-b4-r-design-panorama-awd-kuka-tvornicko-jamstvo-oglas-42070512
16,https://www.njuskalo.hr/auti/volvo-xc60-b4-4awd-navi-kamera-tempomat-jamstvo-oglas-42013164
